ID	OpenNeuroID	Group_label	Gender	Gender	Age(Year;Month)	Major/field
2101	1	L2_Beijing	2	F	23	n/a
2102	2	L2_Beijing	2	F	31	n/a
2003	3	L2_Beijing	2	F	20	n/a
2104	4	L2_Beijing	1	M	31	Linguistics
2005	5	L2_Beijing	2	F	29	n/a
2006	6	L2_Beijing	1	M	33	Applied Psychology 
2007	7	L2_Beijing	2	F	26	public international law
2008	8	L2_Beijing	2	F	35	computer technology
2009	9	L2_Beijing	2	F	23	n/a
2010	10	L2_Beijing	2	F	31	electronic engineering
2011	11	L2_Beijing	1	M	21	linguistics
2012	12	L2_Beijing	2	F	24	life science
2013	13	L2_Beijing	2	F	19	communication and information system
2014	14	L2_Beijing	2	F	23	history
2015	15	L2_Beijing	2	F	23	physical-chemistry
2016	16	L2_Beijing	2	F	23	n/a
2017	17	L2_Beijing	1	M	38	fiance
2218	18	L2_Beijing	2	F	35	n/a
2019	19	L2_Beijing	2	F	19	applied linguistics (SLA)
2020	20	L2_Beijing	1	M	24	Linguistics and Applied Linguistics
2021	21	L2_Beijing	2	F	23	Teaching Chinese to Speakers of Other Languages
2022	22	L2_Beijing	2	F	24	n/a
2123	23	L2_Beijing	2	F	24	Communication Engineering
2024	24	L2_Beijing	1	M	34	English, Teaching Chinese as a second language
2025	25	L2_Beijing	2	F	25	Linguistics and applied linguistics
2026	26	L2_Beijing	2	F	22	Business administration
2027	27	L2_Beijing	1	M	21	n/a
2128	28	L2_Beijing	2	F	22	Linguistics
3101	29	L2_PSU	1	M	21	Communication
3002	30	L2_PSU	1	M	26	Materials Science &Engineering
3003	31	L2_PSU	2	F	19	n/a
3004	32	L2_PSU	1	M	29	Computer science
3005	33	L2_PSU	2	F	19	Psychology
3106	34	L2_PSU	1	M	21	Measurant and Control Technology And Instrumentation
3007	35	L2_PSU	1	M	21	IST
3008	36	L2_PSU	1	M	33	n/a
3009	37	L2_PSU	1	M	21	Hospitality Management
3010	38	L2_PSU	1	M	23	n/a
3011	39	L2_PSU	1	M	22	Chemical engineering and Psychology
3012	40	L2_PSU	1	M	29	Psychology
3013	41	L2_PSU	1	M	21	Hospitality Management
3014	42	L2_PSU	1	M	30	Engineering
3015	43	L2_PSU	1	M	27	Petroleum Engineering
3016	44	L2_PSU	1	M	21	Psychology
3017	45	L2_PSU	1	M	30	Petroleum Engineering
3018	46	L2_PSU	1	M	25	materials science
3019	47	L2_PSU	1	M	22	hospitality management
3020	48	L2_PSU	2	F	27	Psychology
3021	49	L2_PSU	2	F	28	Transportation
3122	50	L2_PSU	1	M	28	Biotechnology
3023	51	L2_PSU	1	M	27	n/a
3024	52	L2_PSU	2	F	25	Geology
3025	53	L2_PSU	2	F	24	Media Studies
3026	54	L2_PSU	2	F	20	Psychology
3127	55	L2_PSU	2	F	23	Supply Chain and Information System, Labor and Employment Relations
3128	56	L2_PSU	2	F	20	Undecided
