onset	duration	trial_type	correctness	StimVar	behav_unlabeled	Rsponse	Stimulus	cond
0.0	0.0	congruent_incorrect	incorrect	incongruent	0	2	692	cond002
0.0	1.0	incongruent_incorrect	incorrect	incongruent	0	2	692	cond004
2.5	1.0	incongruent_correct	correct	incongruent	1	2	624	cond003
5.0	1.0	congruent_correct	correct	congruent	1	1	1477	cond001
7.5	1.0	congruent_correct	correct	congruent	1	1	578	cond001
10.0	1.0	incongruent_correct	correct	incongruent	1	2	510	cond003
12.5	1.0	incongruent_correct	correct	incongruent	1	2	468	cond003
20.0	1.0	incongruent_correct	correct	incongruent	1	2	609	cond003
22.5	1.0	incongruent_correct	correct	incongruent	1	2	462	cond003
25.0	1.0	congruent_correct	correct	congruent	1	1	518	cond001
27.5	1.0	congruent_correct	correct	congruent	1	1	343	cond001
30.0	1.0	congruent_correct	correct	congruent	1	1	483	cond001
32.5	1.0	congruent_correct	correct	congruent	1	1	345	cond001
45.0	1.0	congruent_correct	correct	congruent	1	1	512	cond001
47.5	1.0	congruent_correct	correct	congruent	1	1	436	cond001
50.0	1.0	incongruent_correct	correct	incongruent	1	2	490	cond003
52.5	1.0	incongruent_correct	correct	incongruent	1	2	383	cond003
55.0	1.0	congruent_correct	correct	congruent	1	1	515	cond001
57.5	1.0	incongruent_correct	correct	incongruent	1	2	423	cond003
65.0	1.0	congruent_correct	correct	congruent	1	1	517	cond001
67.5	1.0	incongruent_correct	correct	incongruent	1	2	425	cond003
70.0	1.0	incongruent_correct	correct	incongruent	1	2	382	cond003
72.5	1.0	incongruent_correct	correct	incongruent	1	2	412	cond003
75.0	1.0	congruent_correct	correct	congruent	1	1	447	cond001
77.5	1.0	congruent_correct	correct	congruent	1	1	396	cond001
80.0	1.0	congruent_correct	correct	congruent	1	1	458	cond001
82.5	1.0	congruent_correct	correct	congruent	1	1	311	cond001
85.0	1.0	congruent_correct	correct	congruent	1	1	330	cond001
87.5	1.0	incongruent_incorrect	incorrect	incongruent	0	2	384	cond004
90.0	1.0	incongruent_correct	correct	incongruent	1	2	467	cond003
92.5	1.0	congruent_correct	correct	congruent	1	1	497	cond001
95.0	1.0	incongruent_correct	correct	incongruent	1	2	444	cond003
97.5	1.0	incongruent_correct	correct	incongruent	1	2	402	cond003
