onset	duration	trial_type	correctness	StimVar	behav_unlabeled	Rsponse	Stimulus	cond
0.0	1.0	congruent_correct	correct	congruent	1	1	494	cond001
0.0	0.0	congruent_incorrect	incorrect	congruent	1	1	494	cond002
2.5	1.0	congruent_correct	correct	congruent	1	1	363	cond001
10.0	1.0	incongruent_correct	correct	incongruent	1	2	714	cond003
12.5	1.0	incongruent_correct	correct	incongruent	1	2	471	cond003
15.0	1.0	incongruent_correct	correct	incongruent	1	2	475	cond003
17.5	1.0	incongruent_correct	correct	incongruent	1	2	447	cond003
25.0	1.0	congruent_correct	correct	congruent	1	1	534	cond001
27.5	1.0	congruent_correct	correct	congruent	1	1	377	cond001
30.0	1.0	incongruent_correct	correct	incongruent	1	2	446	cond003
32.5	1.0	congruent_correct	correct	congruent	1	1	459	cond001
35.0	1.0	incongruent_correct	correct	incongruent	1	2	423	cond003
37.5	1.0	congruent_correct	correct	congruent	1	1	438	cond001
40.0	1.0	congruent_correct	correct	congruent	1	1	505	cond001
42.5	1.0	incongruent_correct	correct	incongruent	1	2	479	cond003
45.0	1.0	incongruent_correct	correct	incongruent	1	2	395	cond003
47.5	1.0	incongruent_correct	correct	incongruent	1	2	503	cond003
50.0	1.0	incongruent_correct	correct	incongruent	1	2	549	cond003
52.5	1.0	incongruent_correct	correct	incongruent	1	2	432	cond003
60.0	1.0	congruent_correct	correct	congruent	1	1	503	cond001
62.5	1.0	congruent_correct	correct	congruent	1	1	355	cond001
65.0	1.0	congruent_correct	correct	congruent	1	1	395	cond001
67.5	1.0	congruent_correct	correct	congruent	1	1	453	cond001
75.0	1.0	congruent_correct	correct	congruent	1	1	475	cond001
77.5	1.0	congruent_correct	correct	congruent	1	1	319	cond001
80.0	1.0	congruent_correct	correct	congruent	1	1	476	cond001
82.5	1.0	incongruent_correct	correct	incongruent	1	2	522	cond003
85.0	1.0	incongruent_correct	correct	incongruent	1	2	437	cond003
87.5	1.0	congruent_correct	correct	congruent	1	1	600	cond001
90.0	1.0	incongruent_incorrect	incorrect	incongruent	0	2	670	cond004
92.5	1.0	congruent_correct	correct	congruent	1	1	588	cond001
95.0	1.0	congruent_correct	correct	congruent	1	1	592	cond001
97.5	1.0	incongruent_correct	correct	incongruent	1	2	627	cond003
100.0	1.0	congruent_correct	correct	congruent	1	1	393	cond001
102.5	1.0	incongruent_correct	correct	incongruent	1	2	662	cond003
105.0	1.0	incongruent_correct	correct	incongruent	1	2	635	cond003
107.5	1.0	incongruent_correct	correct	incongruent	1	2	610	cond003
110.0	1.0	congruent_correct	correct	congruent	1	1	645	cond001
112.5	1.0	congruent_correct	correct	congruent	1	1	607	cond001
120.0	1.0	congruent_correct	correct	congruent	1	1	647	cond001
122.5	1.0	congruent_correct	correct	congruent	1	1	372	cond001
