onset	duration	trial_type	key	RT
7	7	belief	2	2.643
20	7	belief	2	2.898
33	7	photo	2	1.908
46	7	belief	2	2.65
59	7	belief	2	3.968
72	7	photo	1	2.615
85	7	photo	2	2.924
98	7	belief	1	3.129
111	7	photo	2	3.138
124	7	belief	1	2.387
