onset	duration	response_time	response	correct	trial_type	corr_ans	thoughtNumber	Thought	Intensity	probenumber	eventType
0	32.0274590000045	n/a	n/a	n/a	n/a	n/a	1	packing	low	n/a	Thoughtblock
32.0274590000045	1.94762869999977	1.08272700000089	2	2.0	go	1	1	packing	low	n/a	SART
33.9750877000042	1.99788170002284	0.608000300038839	2	2.0	go	1	1	packing	low	n/a	SART
35.9729694000271	1.99796249999781	n/a	None	None	nogo	1	1	packing	low	n/a	SART
37.9709319000249	2.00750189999235	0.570405699982075	2	2.0	go	1	1	packing	low	n/a	SART
39.9784338000172	1.99264519999269	0.540387999993982	2	2.0	go	1	1	packing	low	n/a	SART
41.9710790000099	2.00872559999698	0.516062300011981	2	2.0	go	1	1	packing	low	n/a	SART
43.9798046000069	1.99779260001378	0.433172499993816	2	2.0	go	1	1	packing	low	n/a	SART
45.9775972000207	2.02098159998422	0.464333299983991	2	2.0	go	1	1	packing	low	n/a	SART
47.9985788000049	1.97917700000107	0.294454199989559	2	2.0	go	1	1	packing	low	n/a	SART
49.977755800006	2.00473840002087	0.458500600012485	2	2.0	go	1	1	packing	low	n/a	SART
51.9824942000268	1.99283409997588	n/a	None	None	nogo	1	1	packing	low	n/a	SART
53.9753283000027	2.01861590001499	n/a	None	2.0	go	0	1	packing	low	n/a	SART
55.9939442000177	1.98561239999253	n/a	None	None	nogo	1	1	packing	low	n/a	SART
57.9795566000103	2.00175820000004	0.378262300015194	2	2.0	go	1	1	packing	low	n/a	SART
59.9813148000103	2.00404860000708	0.533653400023468	2	2.0	go	1	1	packing	low	n/a	SART
61.9853634000174	2.00093209999613	n/a	None	None	nogo	1	1	packing	low	n/a	SART
63.9862955000135	1.99113459998625	n/a	None	2.0	go	0	1	packing	low	n/a	SART
65.9774300999998	2.01095790002728	n/a	None	None	nogo	1	1	packing	low	n/a	SART
67.988388000027	1.98636949999491	0.466701900004409	2	2.0	go	1	1	packing	low	n/a	SART
69.974757500022	2.25119539999287	n/a	n/a	n/a	n/a	n/a	1	packing	low	n/a	Reflect
72.2259529000148	5.01258400001097	4.96057560000918	10.0	n/a	n/a	n/a	1	packing	low	1	ThoughtProbe
77.2385369000258	2.22630969999591	2.14999790000729	35.0	n/a	n/a	n/a	1	packing	low	2	ThoughtProbe
79.4648466000217	2.80677520000609	2.73729219997767	80.0	n/a	n/a	n/a	1	packing	low	3	ThoughtProbe
82.2716218000278	3.04729989997577	2.9608247000142	0.0	n/a	n/a	n/a	1	packing	low	4	ThoughtProbe
85.3189217000036	2.70034360000864	2.4468496000045	0.0	n/a	n/a	n/a	1	packing	low	5	ThoughtProbe
88.0192653000122	1.73696549999295	1.74654379999265	40.0	n/a	n/a	n/a	1	packing	low	6	ThoughtProbe
89.7562308000051	10.3204871000198	n/a	n/a	n/a	n/a	n/a	1	packing	low	n/a	Fixation
100.076717900025	32.1498459999857	n/a	n/a	n/a	n/a	n/a	2	unzipped pockets	high	n/a	Thoughtblock
132.226563900011	1.80595000000903	0.740307600004598	2	2.0	go	1	2	unzipped pockets	high	n/a	SART
134.03251390002	2.01066319999518	n/a	None	None	nogo	1	2	unzipped pockets	high	n/a	SART
136.043177100015	2.00002969999332	0.294678599981125	2	2.0	go	1	2	unzipped pockets	high	n/a	SART
138.043206800008	1.98932330001844	0.395549200009555	2	2.0	go	1	2	unzipped pockets	high	n/a	SART
140.032530100027	2.01110449997941	0.540231199964182	2	2.0	go	1	2	unzipped pockets	high	n/a	SART
142.043634600006	1.99401610001223	0.439468399999896	2	2.0	go	1	2	unzipped pockets	high	n/a	SART
144.037650700018	2.012691299984	0.61315520000062	2	2.0	go	1	2	unzipped pockets	high	n/a	SART
146.050342000002	1.9944273000001	0.519574399979319	2	2.0	go	1	2	unzipped pockets	high	n/a	SART
148.044769300002	2.00921410002047	0.623089200031245	2	None	nogo	0	2	unzipped pockets	high	n/a	SART
150.053983400023	1.99242989998311	0.61142000000109	2	2.0	go	1	2	unzipped pockets	high	n/a	SART
152.046413300006	1.99100179999368	n/a	None	None	nogo	1	2	unzipped pockets	high	n/a	SART
154.0374151	2.00972780000302	0.708336300012888	2	2.0	go	1	2	unzipped pockets	high	n/a	SART
156.047142900003	2.00057830000878	1.19882530000177	2	2.0	go	1	2	unzipped pockets	high	n/a	SART
158.047721200011	2.00206880000769	n/a	None	None	nogo	1	2	unzipped pockets	high	n/a	SART
160.049790000019	2.01265329998569	0.313099799997872	2	2.0	go	1	2	unzipped pockets	high	n/a	SART
162.062443300005	1.97091980002006	n/a	None	None	nogo	1	2	unzipped pockets	high	n/a	SART
164.033363100025	2.01149469998199	0.476544399978593	2	2.0	go	1	2	unzipped pockets	high	n/a	SART
166.044857800007	2.1059981000144	n/a	n/a	n/a	n/a	n/a	2	unzipped pockets	high	n/a	Reflect
168.150855900021	3.26822179998271	3.13313740000012	10.0	n/a	n/a	n/a	2	unzipped pockets	high	1	ThoughtProbe
171.419077700004	2.08991520002019	1.86513109999942	30.0	n/a	n/a	n/a	2	unzipped pockets	high	2	ThoughtProbe
173.508992900024	1.30394809998688	1.23124500000267	70.0	n/a	n/a	n/a	2	unzipped pockets	high	3	ThoughtProbe
174.812941000011	3.00442790001398	2.9049943999853	0.0	n/a	n/a	n/a	2	unzipped pockets	high	4	ThoughtProbe
177.817368900025	2.26162259999546	2.19169490001514	0.0	n/a	n/a	n/a	2	unzipped pockets	high	5	ThoughtProbe
180.07899150002	2.14216250000754	2.15249300000141	40.0	n/a	n/a	n/a	2	unzipped pockets	high	6	ThoughtProbe
182.221154000028	13.8634603999963	n/a	n/a	n/a	n/a	n/a	2	unzipped pockets	high	n/a	Fixation
196.084614400024	32.0728816999763	n/a	n/a	n/a	n/a	n/a	3	locked door	high	n/a	Thoughtblock
228.157496100001	1.90224049999961	1.27621280000312	2	2.0	go	1	3	locked door	high	n/a	SART
230.0597366	2.01005150002311	0.589951500005554	2	2.0	go	1	3	locked door	high	n/a	SART
232.069788100023	1.98879599999054	0.475564499996835	2	2.0	go	1	3	locked door	high	n/a	SART
234.058584100014	2.0146808999998	0.483092699985718	2	2.0	go	1	3	locked door	high	n/a	SART
236.073265000014	1.99356410000473	0.657803599984618	2	2.0	go	1	3	locked door	high	n/a	SART
238.066829100018	2.00722959998529	0.645930600003339	2	2.0	go	1	3	locked door	high	n/a	SART
240.074058700004	1.99750900000799	0.617041500023333	2	2.0	go	1	3	locked door	high	n/a	SART
242.071567700012	1.99460619999445	n/a	None	None	nogo	1	3	locked door	high	n/a	SART
244.066173900006	2.00837460000184	0.332754500035662	2	2.0	go	1	3	locked door	high	n/a	SART
246.074548500008	1.98443320000661	1.00819130000309	2	None	nogo	0	3	locked door	high	n/a	SART
248.058981700015	1.99457410001196	0.565189499990083	2	2.0	go	1	3	locked door	high	n/a	SART
250.053555800027	2.00969019997865	n/a	None	None	nogo	1	3	locked door	high	n/a	SART
252.063246000005	1.99775890001911	0.410747899994021	2	2.0	go	1	3	locked door	high	n/a	SART
254.061004900024	2.00598669997999	0.431054599990603	2	2.0	go	1	3	locked door	high	n/a	SART
256.066991600004	2.01277960001607	n/a	None	None	nogo	1	3	locked door	high	n/a	SART
258.07977120002	1.98987749998923	0.476927199983038	2	2.0	go	1	3	locked door	high	n/a	SART
260.06964870001	1.99339779998991	n/a	None	None	nogo	1	3	locked door	high	n/a	SART
262.063046499999	1.99781350002741	0.465594300010707	2	2.0	go	1	3	locked door	high	n/a	SART
264.060860000027	2.27099109999835	n/a	n/a	n/a	n/a	n/a	3	locked door	high	n/a	Reflect
266.331851100025	3.904807599989	3.78125689999433	15.0	n/a	n/a	n/a	3	locked door	high	1	ThoughtProbe
270.236658700014	2.7967071000021	2.49032400001306	40.0	n/a	n/a	n/a	3	locked door	high	2	ThoughtProbe
273.033365800016	1.84077569999499	1.74371039998368	75.0	n/a	n/a	n/a	3	locked door	high	3	ThoughtProbe
274.874141500011	3.09641759999795	2.87060640001437	0.0	n/a	n/a	n/a	3	locked door	high	4	ThoughtProbe
277.970559100009	1.71363280000514	1.67619399999967	10.0	n/a	n/a	n/a	3	locked door	high	5	ThoughtProbe
279.684191900014	2.01716190000298	2.01941609999631	35.0	n/a	n/a	n/a	3	locked door	high	6	ThoughtProbe
281.701353800017	12.462852800003	n/a	n/a	n/a	n/a	n/a	3	locked door	high	n/a	Fixation
294.16420660002	32.0320903999964	n/a	n/a	n/a	n/a	n/a	4	skiing 	low	n/a	Thoughtblock
326.196297000017	1.92595400000573	0.972948300011922	2	2.0	go	1	4	skiing 	low	n/a	SART
328.122251000023	2.00829569998314	0.623862000007648	2	2.0	go	1	4	skiing 	low	n/a	SART
330.130546700006	1.99170929999673	0.566519300016807	2	2.0	go	1	4	skiing 	low	n/a	SART
332.122256000002	1.9888049000001	0.683441900007892	2	2.0	go	1	4	skiing 	low	n/a	SART
334.111060900002	1.99384640000062	0.391447300033178	2	2.0	go	1	4	skiing 	low	n/a	SART
336.104907300003	2.02054700002191	0.45294630000717	2	2.0	go	1	4	skiing 	low	n/a	SART
338.125454300025	1.98328479999327	0.613221299980069	2	2.0	go	1	4	skiing 	low	n/a	SART
340.108739100018	2.00131359999068	0.57516469998518	2	2.0	go	1	4	skiing 	low	n/a	SART
342.110052700009	2.00230280001415	n/a	None	None	nogo	1	4	skiing 	low	n/a	SART
344.112355500023	1.99943719999283	0.5572625999921	2	2.0	go	1	4	skiing 	low	n/a	SART
346.111792700016	2.01108950001071	n/a	None	None	nogo	1	4	skiing 	low	n/a	SART
348.122882200027	1.9976222999976	0.473482000001241	2	2.0	go	1	4	skiing 	low	n/a	SART
350.120504500024	1.99913109999034	n/a	None	None	nogo	1	4	skiing 	low	n/a	SART
352.119635600015	1.99722630000906	0.540948300011223	2	2.0	go	1	4	skiing 	low	n/a	SART
354.116861900024	2.03194299997995	0.93092099999194	2	2.0	go	1	4	skiing 	low	n/a	SART
356.148804900004	1.97306869999738	n/a	None	None	nogo	1	4	skiing 	low	n/a	SART
358.121873600001	1.99541860001045	0.627962000027765	2	2.0	go	1	4	skiing 	low	n/a	SART
360.117292200011	2.00935440001194	n/a	None	None	nogo	1	4	skiing 	low	n/a	SART
362.126646600023	1.9959009999875	0.399486099981004	2	2.0	go	1	4	skiing 	low	n/a	SART
364.122547600011	2.1266767999914	n/a	n/a	n/a	n/a	n/a	4	skiing 	low	n/a	Reflect
