onset	duration	response_time	response	correct	trial_type	corr_ans	thoughtNumber	Thought	Intensity	probenumber	eventType
0	32.1563186999992	n/a	n/a	n/a	n/a	n/a	1	unzipped pockets	high	n/a	Thoughtblock
32.1563186999992	1.82387870000093	n/a	None	2.0	go	0	1	unzipped pockets	high	n/a	SART
33.9801974000002	1.98724590000347	n/a	None	None	nogo	1	1	unzipped pockets	high	n/a	SART
35.9674433000037	2.01529409998329	0.400060200016014	2	2.0	go	1	1	unzipped pockets	high	n/a	SART
37.9827373999869	1.98640020002495	0.304828400025144	2	2.0	go	1	1	unzipped pockets	high	n/a	SART
39.9691376000119	2.01458659998025	0.377350999973714	2	2.0	go	1	1	unzipped pockets	high	n/a	SART
41.9837241999921	1.97514620001311	0.314870300004259	2	2.0	go	1	1	unzipped pockets	high	n/a	SART
43.9588704000053	2.01108389999717	0.310194299992872	2	2.0	go	1	1	unzipped pockets	high	n/a	SART
45.9699543000024	2.00223799998639	0.293776900012745	2	None	nogo	0	1	unzipped pockets	high	n/a	SART
47.9721922999888	2.02054930001032	0.505253400013316	2	2.0	go	1	1	unzipped pockets	high	n/a	SART
49.9927415999991	1.97664000000805	0.403323899983661	2	2.0	go	1	1	unzipped pockets	high	n/a	SART
51.9693816000072	2.00597430000198	0.708115799963707	2	2.0	go	1	1	unzipped pockets	high	n/a	SART
53.9753559000092	2.00645459999214	n/a	None	None	nogo	1	1	unzipped pockets	high	n/a	SART
55.9818105000013	1.98093429999426	0.470625699992524	2	2.0	go	1	1	unzipped pockets	high	n/a	SART
57.9627447999956	2.01042780000716	0.359654700005194	2	2.0	go	1	1	unzipped pockets	high	n/a	SART
59.9731726000027	2.00756850000471	n/a	None	None	nogo	1	1	unzipped pockets	high	n/a	SART
61.9807411000074	1.9979720999836	0.402055699989432	2	2.0	go	1	1	unzipped pockets	high	n/a	SART
63.978713199991	1.98621380000259	n/a	None	None	nogo	1	1	unzipped pockets	high	n/a	SART
65.9649269999936	1.99811800001771	0.263527200004319	2	2.0	go	1	1	unzipped pockets	high	n/a	SART
67.9630450000113	2.3830142999941	n/a	n/a	n/a	n/a	n/a	1	unzipped pockets	high	n/a	Reflect
70.3460593000054	9.66544879999128	9.64595379997627	25.0	n/a	n/a	n/a	1	unzipped pockets	high	1	ThoughtProbe
80.0115080999967	8.7458653000067	8.45162819998222	75.0	n/a	n/a	n/a	1	unzipped pockets	high	2	ThoughtProbe
88.7573734000034	6.84497020000708	6.82046620000619	80.0	n/a	n/a	n/a	1	unzipped pockets	high	3	ThoughtProbe
95.6023436000105	0.400410299975192	n/a	None	n/a	n/a	n/a	1	unzipped pockets	high	4	ThoughtProbe
