onset	duration	trial_type	trial_code	valence	arousal
5.511	15	NEU	NEU24	6	1
22.5361	11	Q	Q_NEU24	6	1
40.5944	15	CON	NEU5	7	2
57.6194	11	Q	Q_NEU5	7	2
75.4445	15	CON	NEU3	4	6
92.4695	11	Q	Q_NEU3	4	6
109.0278	15	NEU	NEU6	6	0
126.0529	11	Q	Q_NEU6	6	0
143.3612	15	CON	NEU2	7	2
160.3862	11	Q	Q_NEU2	7	2
178.1946	15	NEU	NEU12	7	4
195.2196	11	Q	Q_NEU12	7	4
213.0363	15	NEU	NEU30	6	4
230.0613	11	Q	Q_NEU30	6	4
246.6197	15	CON	NEU22	none	none
263.6447	11	Q	Q_NEU22	none	none
