onset	duration	trial_type	trial_code	valence	arousal
6.2636	15	CON	NEU17	2	7
23.2886	11	Q	Q_NEU17	2	7
40.097	15	NEU	NEU1	4	1
57.122	11	Q	Q_NEU1	4	1
75.4304	15	CON	NEU27	none	0
92.4554	11	Q	Q_NEU27	none	0
109.5137	15	CON	NEU10	6	0
126.5388	11	Q	Q_NEU10	6	0
143.5971	15	NEU	NEU11	6	1
160.6221	11	Q	Q_NEU11	6	1
178.6805	15	CON	NEU18	9	6
195.7055	11	Q	Q_NEU18	9	6
213.7639	15	NEU	NEU23	4	1
230.7889	11	Q	Q_NEU23	4	1
248.6056	15	NEU	NEU9	6	1
265.6306	11	Q	Q_NEU9	6	1
