onset	duration	trial_type	trial_code	valence	arousal
7.2683	15	CON	NEU16	7	6
24.2934	11	Q	Q_NEU16	7	6
41.3517	15	NEU	NEU14	6	4
58.3767	11	Q	Q_NEU14	6	4
75.1851	15	NEU	NEU15	3	6
92.2101	11	Q	Q_NEU15	3	6
110.2685	15	CON	NEU26	none	6
127.2935	11	Q	Q_NEU26	none	6
143.8602	15	CON	NEU25	6	1
160.8852	11	Q	Q_NEU25	6	1
177.7019	15	NEU	NEU29	2	7
194.7269	11	Q	Q_NEU29	2	7
212.2853	15	CON	NEU4	none	0
229.3186	11	Q	Q_NEU4	none	0
247.627	15	NEU	NEU21	4	4
264.6515	11	Q	Q_NEU21	4	4
