onset	duration	trial_type	phase
0.000	4.002	M_D1	fixation
4.002	8.006	M_D1	image
12.008	48.033	M_D1	intention
60.041	8.006	Lujo_dign	choice
68.047	0.000	Rec_Lujo_dign	recognition
28.019	4.003	M_ND2	fixation
32.022	8.005	M_ND2	image
40.027	48.034	M_ND2	intention
88.061	8.005	Lujo_dign	choice
96.066	0.000	Rec_Lujo_dign	recognition
56.039	4.002	L_D6	fixation
60.041	8.006	L_D6	image
68.047	48.033	L_D6	intention
116.080	8.006	Lujo_dign	choice
124.086	0.000	Rec_Lujo_dign	recognition
84.058	4.003	L_D3	fixation
88.061	8.005	L_D3	image
96.066	48.034	L_D3	intention
144.100	8.005	Lujo_dign	choice
152.105	0.000	Rec_Lujo_dign	recognition
112.077	4.003	L_D1	fixation
116.080	8.006	L_D1	image
124.086	160.111	L_D1	intention
284.197	8.005	Lujo_dign	choice
292.202	0.000	Rec_Lujo_dign	recognition
140.097	4.003	L_D5	fixation
144.100	8.005	L_D5	image
152.105	328.228	L_D5	intention
480.333	8.005	Lujo_dign	choice
488.338	0.000	Rec_Lujo_dign	recognition
168.116	4.003	M_D6	fixation
172.119	8.006	M_D6	image
180.125	440.305	M_D6	intention
620.430	8.006	Lujo_dign	choice
628.436	0.000	Rec_Lujo_dign	recognition
196.136	4.003	M_ND5	fixation
200.139	8.005	M_ND5	image
208.144	524.364	M_ND5	intention
732.508	8.005	Lujo_dign	choice
740.513	0.000	Rec_Lujo_dign	recognition
224.155	4.003	M_ND3	fixation
228.158	8.006	M_ND3	image
236.164	16.011	M_ND3	intention
252.175	4.002	M_D5	fixation
256.177	8.006	M_D5	image
264.183	16.011	M_D5	intention
280.194	4.003	L_ND7	fixation
284.197	8.005	L_ND7	image
292.202	16.011	L_ND7	intention
308.213	4.003	M_ND4	fixation
312.216	8.006	M_ND4	image
320.222	16.011	M_ND4	intention
336.233	4.003	M_ND7	fixation
340.236	8.005	M_ND7	image
348.241	16.011	M_ND7	intention
364.252	4.003	L_ND2	fixation
368.255	8.006	L_ND2	image
376.261	16.011	L_ND2	intention
392.272	4.003	L_ND4	fixation
396.275	8.005	L_ND4	image
404.280	16.011	L_ND4	intention
420.291	4.003	M_D2	fixation
424.294	8.006	M_D2	image
432.300	16.011	M_D2	intention
448.311	4.002	M_ND1	fixation
452.313	8.006	M_ND1	image
460.319	16.011	M_ND1	intention
476.330	4.003	L_D4	fixation
480.333	8.005	L_D4	image
488.338	16.012	L_D4	intention
504.350	4.002	L_ND6	fixation
508.352	8.006	L_ND6	image
516.358	16.011	L_ND6	intention
532.369	4.003	M_D4	fixation
536.372	8.005	M_D4	image
544.377	16.011	M_D4	intention
560.388	4.003	L_ND1	fixation
564.391	8.006	L_ND1	image
572.397	16.011	L_ND1	intention
588.408	4.003	M_D7	fixation
592.411	8.005	M_D7	image
600.416	16.011	M_D7	intention
616.427	4.003	L_D2	fixation
620.430	8.006	L_D2	image
628.436	16.011	L_D2	intention
644.447	4.002	M_D3	fixation
648.449	8.006	M_D3	image
656.455	16.011	M_D3	intention
672.466	4.003	L_ND3	fixation
676.469	8.005	L_ND3	image
684.474	16.012	L_ND3	intention
700.486	4.002	M_ND6	fixation
704.488	8.006	M_ND6	image
712.494	16.011	M_ND6	intention
728.505	4.003	L_D7	fixation
732.508	8.005	L_D7	image
740.513	16.011	L_D7	intention
756.524	4.003	L_ND5	fixation
760.527	8.006	L_ND5	image
768.533	0.000	L_ND5	intention
