onset	duration	sample	stimuli	name	response_time	value
8.78	0	8781	 horse.wav	DIN1	1312	1
13.78	0	13781	 bicycle.wav	DIN1	1881	1
18.78	0	18781	 fire.wav	DIN1	1295	1
23.78	0	23781	 canary.wav	DIN1	1435	1
29.78	0	29781	 car.wav	DIN1	1914	1
35.78	0	35781	 chair.wav	DIN1	Rien	0
41.78	0	41781	 clearingthroat.wav	DIN1	2380	1
47.78	0	47781	 coin.wav	DIN1	2482	1
52.78	0	52781	 cricket.wav	DIN1	Rien	0
57.78	0	57781	 cutlery.wav	DIN1	Rien	0
62.78	0	62781	 donkey.wav	DIN1	1997	1
68.78	0	68781	 drum.wav	DIN1	2345	1
74.78	0	74781	 elephant.wav	DIN1	2885	1
80.78	0	80781	 whistlehuman.wav	DIN1	1627	1
85.779	0	85780	 firetruck.wav	DIN1	2554	1
91.779	0	91780	 fly.wav	DIN1	1708	1
96.779	0	96780	 wind.wav	DIN1	Rien	0
101.779	0	101780	 gong.wav	DIN1	2427	1
106.778	0	106779	 guitar.wav	DIN1	1721	1
112.779	0	112780	 budgie.wav	DIN1	Rien	0
117.778	0	117779	 laugh.wav	DIN1	1728	1
123.778	0	123779	 machinegun.wav	DIN1	Rien	0
128.779	0	128780	 match.wav	DIN1	2343	1
133.779	0	133780	 mosquitos.wav	DIN1	2410	1
138.778	0	138779	 burp.wav	DIN1	1782	1
144.778	0	144779	 owl.wav	DIN1	1872	1
150.778	0	150779	 parrot.wav	DIN1	Rien	0
155.778	0	155779	 phone.wav	DIN1	1930	1
160.778	0	160779	 pig.wav	DIN1	1580	1
165.779	0	165780	 plane.wav	DIN1	1729	1
171.778	0	171779	 rain.wav	DIN1	1488	1
176.778	0	176779	 rooster.wav	DIN1	2609	1
182.778	0	182779	 sheep.wav	DIN1	2154	1
187.778	0	187779	 snore.wav	DIN1	2525	1
193.777	0	193778	 toilet.wav	DIN1	1836	1
199.777	0	199778	 trumpet.wav	DIN1	1900	1
204.777	0	204778	 vacuum.wav	DIN1	Rien	0
210.777	0	210778	 whip.wav	DIN1	Rien	0
215.777	0	215778	 sneeze.wav	DIN1	1520	1
220.777	0	220778	 windchimes.wav	DIN1	2712	1
225.776	0	225777	 yawn.wav	DIN1	1757	1
231.777	0	231778	 wolf.wav	DIN1	2475	1
237.777	0	237778	 chicken.wav	DIN1	1834	1
243.777	0	243778	 whistle.wav	DIN1	2666	1
249.777	0	249778	 waterbubbling.wav	DIN1	1814	1
255.777	0	255778	 turkey.wav	DIN1	2769	1
261.777	0	261778	 train.wav	DIN1	Rien	0
267.777	0	267778	 tambourine.wav	DIN1	Rien	0
273.776	0	273777	 noisyminer.wav	DIN1	Rien	0
278.777	0	278778	 saxophone.wav	DIN1	2083	1
284.776	0	284777	 river.wav	DIN1	2892	1
289.776	0	289777	 radio.wav	DIN1	2404	1
294.777	0	294778	 cat.wav	DIN1	1235	1
299.775	0	299776	 piano.wav	DIN1	1390	1
304.775	0	304776	 pen.wav	DIN1	2902	1
309.775	0	309776	 paper.wav	DIN1	1624	1
314.775	0	314776	 ocean.wav	DIN1	Rien	0
319.775	0	319776	 musicbox.wav	DIN1	Rien	0
324.775	0	324776	 monkey.wav	DIN1	2245	1
330.775	0	330776	 maracas.wav	DIN1	2709	1
336.774	0	336775	 lion.wav	DIN1	2757	0
341.775	0	341776	 baby.wav	DIN1	2092	1
347.774	0	347775	 helicopter.wav	DIN1	1726	1
352.775	0	352776	 bee.wav	DIN1	2340	1
357.775	0	357776	 gargle.wav	DIN1	2422	1
363.776	0	363777	 footsteps.wav	DIN1	2195	0
369.775	0	369776	 flute.wav	DIN1	1801	1
375.775	0	375776	 firealarm.wav	DIN1	1777	1
381.775	0	381776	 duck.wav	DIN1	Rien	0
387.775	0	387776	 door.wav	DIN1	1839	1
392.775	0	392776	 dog.wav	DIN1	1413	1
397.775	0	397776	 crow.wav	DIN1	Rien	0
403.775	0	403776	 cow.wav	DIN1	2017	1
408.774	0	408775	 clock.wav	DIN1	2309	1
413.774	0	413775	 pigeon.wav	DIN1	Rien	0
419.773	0	419774	 cannon.wav	DIN1	2261	0
424.773	0	424774	 goose.wav	DIN1	Rien	0
430.773	0	430774	 frog.wav	DIN1	1788	1
436.773	0	436774	 broom.wav	DIN1	Rien	0
442.774	0	442775	 kookaburra.wav	DIN1	1540	0
