onset	duration	sample	stimuli	name	response_time	value
6.054	0	6055	PARACHUT	DIN1	2198	1
10.554	0	10555	RULER	DIN1	904	1
15.054	0	15055	FISH	DIN1	778	1
20.554	0	20555	TENTE	DIN1	1028	1
26.054	0	26055	TURTLE	DIN1	791	1
31.554	0	31555	FOX	DIN1	881	1
37.054	0	37055	BANANA	DIN1	1092	1
42.554	0	42555	EAR	DIN1	798	1
48.054	0	48055	UMBRELLA	DIN1	1424	1
53.554	0	53555	LEG	DIN1	747	1
59.054	0	59055	frenchcr	DIN1	773	1
63.554	0	63555	MOON	DIN1	831	1
68.054	0	68055	FLOWER	DIN1	945	1
72.554	0	72555	KITE	DIN1	898	1
78.054	0	78055	SANDWICH	DIN1	853	1
82.554	0	82555	LLAMA	DIN1	934	1
87.054	0	87055	ANCHOR	DIN1	1079	1
91.553	0	91554	BENCH	DIN1	912	1
96.053	0	96054	BOW	DIN1	1130	1
101.553	0	101554	DOLPHIN	DIN1	812	1
107.053	0	107054	LOCK	DIN1	847	1
111.553	0	111554	CHIMNEY	DIN1	1136	1
116.053	0	116054	FEATHER	DIN1	1074	1
120.552	0	120553	JELLYFIS	DIN1	803	1
125.052	0	125053	LEOPARD	DIN1	916	1
130.551	0	130552	CHEESE	DIN1	1958	1
135.052	0	135053	STRAWBER	DIN1	1025	1
139.552	0	139553	PINEAPPL	DIN1	1177	1
144.052	0	144053	ONION	DIN1	1066	1
148.552	0	148553	rugbybal	DIN1	868	1
154.052	0	154053	TABLE	DIN1	790	1
159.552	0	159553	GRAPES	DIN1	1153	1
164.052	0	164053	ARROW	DIN1	1082	1
169.552	0	169553	SALTSHAK	DIN1	Rien	0
175.052	0	175053	TENNISRA	DIN1	720	1
179.552	0	179553	APPLE	DIN1	1049	1
184.052	0	184053	PALMTREE	DIN1	1362	1
189.552	0	189553	LIGHTBUL	DIN1	1525	1
194.052	0	194053	SPIDER	DIN1	814	1
199.552	0	199553	RHINOCER	DIN1	Rien	0
205.052	0	205053	AXE	DIN1	827	1
209.551	0	209552	TELEVISI	DIN1	773	1
215.051	0	215052	ALLIGATO	DIN1	736	1
219.551	0	219552	BALL	DIN1	753	1
225.051	0	225052	WELL	DIN1	1131	1
229.551	0	229552	LADDER	DIN1	877	1
234.051	0	234052	PLUG	DIN1	1293	1
239.55	0	239551	RING	DIN1	1104	1
245.05	0	245051	MOTORCYC	DIN1	826	1
249.55	0	249551	THUMB	DIN1	932	1
255.05	0	255051	BELT	DIN1	1031	1
259.55	0	259551	LEAF	DIN1	1256	1
264.05	0	264051	CACTUS	DIN1	738	1
269.55	0	269551	LAMP	DIN1	748	1
275.05	0	275051	RAKE	DIN1	1007	1
279.55	0	279551	CRAB	DIN1	1831	1
285.05	0	285051	HAT	DIN1	914	1
290.55	0	290551	TOMATO	DIN1	1221	1
296.05	0	296051	GARBAGEC	DIN1	815	1
301.55	0	301551	BOOT	DIN1	1226	1
307.05	0	307051	CLOWN	DIN1	885	1
311.55	0	311551	BARREL	DIN1	Rien	0
317.05	0	317051	CAKE	DIN1	865	1
322.549	0	322550	SOCK	DIN1	1187	1
327.049	0	327050	SUITCASE	DIN1	1413	1
332.549	0	332550	TOTEMPOL	DIN1	926	1
338.049	0	338050	FLAG	DIN1	1001	1
343.549	0	343550	BALLOON	DIN1	812	1
349.049	0	349050	DINOSAUR	DIN1	767	1
353.548	0	353549	CROWN	DIN1	848	1
358.048	0	358049	BED	DIN1	1017	1
363.548	0	363549	STARFISH	DIN1	2108	1
368.048	0	368049	SHARK	DIN1	813	1
373.548	0	373549	SCORPION	DIN1	951	1
378.048	0	378049	RABBIT	DIN1	688	1
382.548	0	382549	DRESS	DIN1	1130	1
387.048	0	387049	YOYO	DIN1	1579	1
391.548	0	391549	PEAR	DIN1	988	1
396.048	0	396049	HOUSE	DIN1	958	1
401.548	0	401549	LADYBUG	DIN1	873	1
