onset	duration	trial_type	sample	value
42.46	0.64	Stand	10615	2
43.1	0.64	Stand	10775	2
43.74	0.64	Stand	10935	2
44.38	0.64	Stand	11095	2
45.02	0.64	Stand	11255	2
45.66	0.64	Stand	11415	2
46.3	0.64	Stand	11575	2
46.94	0.64	Stand	11735	2
47.58	0.64	Stand	11895	2
48.22	0.64	Stand	12055	2
48.86	0.64	Stand	12215	2
49.5	0.64	Stand	12375	2
50.14	0.64	Stand	12535	2
50.78	0.64	Stand	12695	2
51.42	0.64	Large dev	12855	4
52.06	0.64	Stand	13015	2
52.7	0.64	Stand	13175	2
53.34	0.64	Inter dev	13335	6
53.98	0.64	Stand	13495	2
54.62	0.64	Stand	13655	2
55.9	0.64	Stand	13975	2
56.54	0.64	Stand	14135	2
57.18	0.64	Stand	14295	2
57.82	0.64	Stand	14455	2
59.1	0.64	Stand	14775	2
59.74	0.64	Large dev	14935	4
60.38	0.64	Stand	15095	2
61.02	0.64	Stand	15255	2
61.66	0.64	Large dev	15415	4
62.3	0.64	Stand	15575	2
62.94	0.64	Inter dev	15735	6
63.58	0.64	Stand	15895	2
64.22	0.64	Stand	16055	2
64.86	0.64	Stand	16215	2
65.5	0.64	Stand	16375	2
66.14	0.64	Large dev	16535	4
66.78	0.64	Stand	16695	2
67.42	0.64	Stand	16855	2
68.06	0.64	Inter dev	17015	6
68.7	0.64	Stand	17175	2
69.34	0.64	Stand	17335	2
69.98	0.64	Stand	17495	2
70.62	0.64	Inter dev	17655	6
71.26	0.64	Stand	17815	2
72.54	0.64	Stand	18135	2
73.18	0.64	Stand	18295	2
73.82	0.64	Large dev	18455	4
74.46	0.64	Stand	18615	2
75.1	0.64	Stand	18775	2
75.74	0.64	Stand	18935	2
76.38	0.64	Inter dev	19095	6
77.02	0.64	Stand	19255	2
77.66	0.64	Stand	19415	2
78.94	0.64	Stand	19735	2
79.58	0.64	Stand	19895	2
80.22	0.64	Stand	20055	2
80.86	0.64	Inter dev	20215	6
81.5	0.64	Stand	20375	2
82.14	0.64	Stand	20535	2
82.78	0.64	Stand	20695	2
83.42	0.64	Stand	20855	2
84.7	0.64	Stand	21175	2
85.34	0.64	Stand	21335	2
85.98	0.64	Inter dev	21495	6
86.62	0.64	Stand	21655	2
87.26	0.64	Large dev	21815	4
87.9	0.64	Stand	21975	2
88.54	0.64	Stand	22135	2
89.82	0.64	Stand	22455	2
90.46	0.64	Stand	22615	2
91.1	0.64	Stand	22775	2
91.74	0.64	Inter dev	22935	6
92.38	0.64	Stand	23095	2
93.02	0.64	Stand	23255	2
93.66	0.64	Stand	23415	2
94.3	0.64	Large dev	23575	4
94.94	0.64	Stand	23735	2
95.58	0.64	Stand	23895	2
96.22	0.64	Inter dev	24055	6
96.86	0.64	Stand	24215	2
97.5	0.64	Stand	24375	2
98.14	0.64	Stand	24535	2
99.42	0.64	Stand	24855	2
100.06	0.64	Large dev	25015	4
100.7	0.64	Stand	25175	2
101.34	0.64	Stand	25335	2
101.98	0.64	Inter dev	25495	6
102.62	0.64	Stand	25655	2
103.26	0.64	Stand	25815	2
104.54	0.64	Stand	26135	2
105.18	0.64	Stand	26295	2
105.82	0.64	Stand	26455	2
106.46	0.64	Stand	26615	2
107.1	0.64	Large dev	26775	4
107.74	0.64	Stand	26935	2
109.02	0.64	Stand	27255	2
109.66	0.64	Stand	27415	2
110.3	0.64	Inter dev	27575	6
110.94	0.64	Stand	27735	2
111.58	0.64	Stand	27895	2
112.22	0.64	Stand	28055	2
112.86	0.64	Stand	28215	2
113.5	0.64	Inter dev	28375	6
114.14	0.64	Stand	28535	2
114.78	0.64	Stand	28695	2
115.42	0.64	Inter dev	28855	6
116.06	0.64	Stand	29015	2
116.7	0.64	Stand	29175	2
117.34	0.64	Stand	29335	2
118.62	0.64	Stand	29655	2
119.26	0.64	Stand	29815	2
119.9	0.64	Inter dev	29975	6
120.54	0.64	Stand	30135	2
121.18	0.64	Stand	30295	2
121.82	0.64	Large dev	30455	4
122.46	0.64	Stand	30615	2
123.1	0.64	Stand	30775	2
124.38	0.64	Stand	31095	2
125.02	0.64	Inter dev	31255	6
125.66	0.64	Stand	31415	2
126.94	0.64	Stand	31735	2
127.58	0.64	Inter dev	31895	6
128.22	0.64	Stand	32055	2
128.86	0.64	Stand	32215	2
129.5	0.64	Stand	32375	2
130.78	0.64	Stand	32695	2
131.42	0.64	Inter dev	32855	6
132.06	0.64	Stand	33015	2
132.7	0.64	Stand	33175	2
133.34	0.64	Stand	33335	2
133.98	0.64	Large dev	33495	4
134.62	0.64	Stand	33655	2
135.26	0.64	Stand	33815	2
135.9	0.64	Stand	33975	2
137.18	0.64	Stand	34295	2
137.82	0.64	Large dev	34455	4
138.46	0.64	Stand	34615	2
139.1	0.64	Stand	34775	2
139.74	0.64	Stand	34935	2
140.38	0.64	Inter dev	35095	6
141.02	0.64	Stand	35255	2
141.66	0.64	Stand	35415	2
142.3	0.64	Large dev	35575	4
142.94	0.64	Stand	35735	2
143.58	0.64	Stand	35895	2
144.22	0.64	Stand	36055	2
144.86	0.64	Large dev	36215	4
145.5	0.64	Stand	36375	2
146.14	0.64	Stand	36535	2
146.78	0.64	Inter dev	36695	6
147.42	0.64	Stand	36855	2
148.06	0.64	Stand	37015	2
148.7	0.64	Stand	37175	2
149.34	0.64	Stand	37335	2
149.98	0.64	Large dev	37495	4
150.62	0.64	Stand	37655	2
151.26	0.64	Stand	37815	2
152.54	0.64	Stand	38135	2
153.18	0.64	Stand	38295	2
153.82	0.64	Inter dev	38455	6
154.46	0.64	Stand	38615	2
155.1	0.64	Large dev	38775	4
155.74	0.64	Stand	38935	2
156.38	0.64	Stand	39095	2
157.66	0.64	Stand	39415	2
158.3	0.64	Inter dev	39575	6
158.94	0.64	Stand	39735	2
159.58	0.64	Stand	39895	2
160.22	0.64	Large dev	40055	4
160.86	0.64	Stand	40215	2
161.5	0.64	Stand	40375	2
162.14	0.64	Stand	40535	2
162.78	0.64	Stand	40695	2
163.42	0.64	Large dev	40855	4
164.06	0.64	Stand	41015	2
164.7	0.64	Stand	41175	2
165.34	0.64	Stand	41335	2
165.98	0.64	Inter dev	41495	6
166.62	0.64	Stand	41655	2
167.9	0.64	Stand	41975	2
168.54	0.64	Stand	42135	2
169.18	0.64	Large dev	42295	4
169.82	0.64	Stand	42455	2
170.46	0.64	Stand	42615	2
171.1	0.64	Stand	42775	2
171.74	0.64	Stand	42935	2
172.38	0.64	Large dev	43095	4
173.02	0.64	Stand	43255	2
173.66	0.64	Stand	43415	2
174.3	0.64	Stand	43575	2
174.94	0.64	Stand	43735	2
175.58	0.64	Inter dev	43895	6
176.22	0.64	Stand	44055	2
176.86	0.64	Stand	44215	2
177.5	0.64	Stand	44375	2
178.14	0.64	Large dev	44535	4
178.78	0.64	Stand	44695	2
179.42	0.64	Stand	44855	2
180.7	0.64	Stand	45175	2
181.34	0.64	Stand	45335	2
181.98	0.64	Stand	45495	2
182.62	0.64	Stand	45655	2
183.26	0.64	Large dev	45815	4
183.9	0.64	Stand	45975	2
184.54	0.64	Stand	46135	2
185.18	0.64	Stand	46295	2
185.82	0.64	Stand	46455	2
187.1	0.64	Stand	46775	2
187.74	0.64	Stand	46935	2
188.38	0.64	Stand	47095	2
189.02	0.64	Inter dev	47255	6
189.66	0.64	Stand	47415	2
190.3	0.64	Stand	47575	2
190.94	0.64	Stand	47735	2
191.58	0.64	Stand	47895	2
192.22	0.64	Inter dev	48055	6
192.86	0.64	Stand	48215	2
193.5	0.64	Stand	48375	2
194.14	0.64	Stand	48535	2
195.42	0.64	Stand	48855	2
196.06	0.64	Stand	49015	2
196.7	0.64	Large dev	49175	4
197.34	0.64	Stand	49335	2
197.98	0.64	Inter dev	49495	6
198.62	0.64	Stand	49655	2
199.26	0.64	Stand	49815	2
199.9	0.64	Stand	49975	2
200.54	0.64	Stand	50135	2
201.18	0.64	Large dev	50295	4
201.82	0.64	Stand	50455	2
202.46	0.64	Stand	50615	2
203.1	0.64	Stand	50775	2
204.38	0.64	Stand	51095	2
205.02	0.64	Inter dev	51255	6
205.66	0.64	Stand	51415	2
206.3	0.64	Stand	51575	2
207.58	0.64	Stand	51895	2
208.22	0.64	Stand	52055	2
208.86	0.64	Stand	52215	2
209.5	0.64	Stand	52375	2
210.14	0.64	Large dev	52535	4
210.78	0.64	Stand	52695	2
211.42	0.64	Stand	52855	2
212.06	0.64	Stand	53015	2
212.7	0.64	Inter dev	53175	6
213.34	0.64	Stand	53335	2
213.98	0.64	Stand	53495	2
214.62	0.64	Stand	53655	2
215.9	0.64	Stand	53975	2
216.54	0.64	Stand	54135	2
