onset	duration	stimulus
16.1	3	tasteless
26.7	3	control
31.7	3	rinse
48.4	3	tasteless
60	3	tasteless
76.6	3	tasteless
91.3	3	tasteless
103.9	3	0cal
111.9	3	rinse
127.6	3	0cal
131.6	3	rinse
150.2	3	112.5cal
155.2	3	rinse
173.9	3	tasteless
187.5	3	control
191.5	3	rinse
210.2	3	0cal
216.2	3	rinse
231.9	3	112.5cal
241.9	3	rinse
257.5	3	150
264.5	3	rinse
280.2	3	150
285.2	3	rinse
299.9	3	150
309.9	3	rinse
328.6	3	0cal
335.6	3	rinse
353.3	3	150
357.3	3	rinse
373.9	3	control
379.9	3	rinse
400.6	3	112.5cal
408.6	3	rinse
424.2	3	0cal
434.2	3	rinse
450.9	3	150
456.9	3	rinse
477.6	3	control
485.6	3	rinse
501.2	3	150
506.2	3	rinse
523.9	3	0cal
528.9	3	rinse
549.6	3	control
554.6	3	rinse
569.3	3	112.5cal
573.3	3	rinse
590.9	3	tasteless
602.6	3	112.5cal
607.6	3	rinse
628.2	3	control
635.2	3	rinse
652.9	3	control
662.9	3	rinse
678.6	3	112.5cal
685.6	3	rinse
702.2	3	0cal
707.2	3	rinse
721.9	3	150
729.9	3	rinse
745.6	3	112.5cal
751.6	3	rinse
