onset	duration	stimulus
16.2	3	0cal
21.2	3	rinse
41.9	3	0cal
51.9	3	rinse
70.1	3	112.5cal
72.6	3	rinse
93.2	3	0cal
98.2	3	rinse
114.9	3	0cal
122.9	3	rinse
140	3	150
142.5	3	rinse
159.7	3	112.5cal
165.2	3	rinse
180.9	3	0cal
186.9	3	rinse
205	3	112.5cal
212.5	3	rinse
231.7	3	tasteless
244.3	3	112.5cal
245.8	3	rinse
267	3	tasteless
281.6	3	control
289.1	3	rinse
307.3	3	112.5cal
311.8	3	rinse
327.5	3	0cal
331.5	3	rinse
351.6	3	tasteless
362.2	3	control
366.7	3	rinse
384.9	3	control
390.4	3	rinse
409.6	3	tasteless
421.2	3	control
422.7	3	rinse
439.9	3	150
445.4	3	rinse
465.6	3	control
468.1	3	rinse
488.2	3	tasteless
504.9	3	150
506.4	3	rinse
524.5	3	112.5cal
528	3	rinse
548.2	3	tasteless
561.8	3	150
565.3	3	rinse
586.5	3	control
590	3	rinse
613.1	3	150
617.6	3	rinse
640.8	3	150
643.3	3	rinse
662.5	3	150
670	3	rinse
688.1	3	control
690.6	3	rinse
711.8	3	tasteless
723.4	3	112.5cal
725.9	3	rinse
740.6	3	0cal
747.6	3	rinse
