onset	duration	begsample	endsample	offset
14.5184	2	36297	41296	-2500
15.5836	2	38960	43959	-2500
16.5996	2	41500	46499	-2500
17.8136	2	44535	49534	-2500
18.9768	2	47443	52442	-2500
20.094	2	50236	55235	-2500
21.008	2	52521	57520	-2500
22.1712	2	55429	60428	-2500
23.1872	2	57969	62968	-2500
24.152	2	60381	65380	-2500
25.1224	2	62807	67806	-2500
26.0372	2	65094	70093	-2500
26.9512	2	67379	72378	-2500
27.9676	2	69920	74919	-2500
28.8304	2	72077	77076	-2500
29.8464	2	74617	79616	-2500
31.0096	2	77525	82524	-2500
32.1728	2	80433	85432	-2500
32.9856	2	82465	87464	-2500
33.8996	2	84750	89749	-2500
34.9668	2	87418	92417	-2500
35.8808	2	89703	94702	-2500
36.7952	2	91989	96988	-2500
37.862	2	94656	99655	-2500
38.8772	2	97194	102193	-2500
39.8932	2	99734	104733	-2500
41.1072	2	102769	107768	-2500
42.1744	2	105437	110436	-2500
43.1396	2	107850	112849	-2500
43.9576	2	109895	114894	-2500
44.9224	2	112307	117306	-2500
46.1356	2	115340	120339	-2500
47.1016	2	117755	122754	-2500
48.0668	2	120168	125167	-2500
48.884	2	122211	127210	-2500
50.0468	2	125118	130117	-2500
51.114	2	127786	132785	-2500
51.9268	2	129818	134817	-2500
52.9932	2	132484	137483	-2500
53.958	2	134896	139895	-2500
54.974	2	137436	142435	-2500
55.7872	2	139469	144468	-2500
56.9504	2	142377	147376	-2500
58.0164	2	145042	150041	-2500
59.1804	2	147952	152951	-2500
60.1952	2	150489	155488	-2500
61.1604	2	152902	157901	-2500
62.0756	2	155190	160189	-2500
63.1416	2	157855	162854	-2500
64.2088	2	160523	165522	-2500
65.1228	2	162808	167807	-2500
66.24	2	165601	170600	-2500
67.104	2	167761	172760	-2500
68.018	2	170046	175045	-2500
69.034	2	172586	177585	-2500
69.9992	2	174999	179998	-2500
70.964	2	177411	182410	-2500
72.1272	2	180319	185318	-2500
72.9912	2	182479	187478	-2500
74.0064	2	185017	190016	-2500
75.1192	2	187799	192798	-2500
76.1352	2	190339	195338	-2500
77.2524	2	193132	198131	-2500
78.4156	2	196040	201039	-2500
79.5328	2	198833	203832	-2500
80.5996	2	201500	206499	-2500
81.7628	2	204408	209407	-2500
82.6268	2	206568	211567	-2500
83.79	2	209476	214475	-2500
84.704	2	211761	216760	-2500
85.5672	2	213919	218918	-2500
86.634	2	216586	221585	-2500
87.548	2	218871	223870	-2500
88.6152	2	221539	226538	-2500
89.7324	2	224332	229331	-2500
90.5452	2	226364	231363	-2500
91.5104	2	228777	233776	-2500
92.4244	2	231062	236061	-2500
93.5876	2	233970	238969	-2500
94.7008	2	236753	241752	-2500
95.8636	2	239660	244659	-2500
97.0776	2	242695	247694	-2500
