onset	duration	trial	value	instruction
14997	6	1	1	rest
20931	1	1	2	ready
21931	6	1	3	task
27930	8	1	4	interval
35961	6	2	1	rest
41921	1	2	2	ready
42917	6	2	3	task
48925	8	2	4	interval
56972	6	3	1	rest
62934	1	3	2	ready
63925	6	3	3	task
69925	8	3	4	interval
77961	6	4	1	rest
83935	1	4	2	ready
84927	6	4	3	task
90925	8	4	4	interval
98966	6	5	1	rest
104937	1	5	2	ready
105944	6	5	3	task
111952	8	5	4	interval
119972	6	6	1	rest
125936	1	6	2	ready
126940	6	6	3	task
132931	8	6	4	interval
140976	6	7	1	rest
146938	1	7	2	ready
147934	6	7	3	task
153934	8	7	4	interval
161984	6	8	1	rest
167938	1	8	2	ready
168942	6	8	3	task
174942	8	8	4	interval
182979	6	9	1	rest
188966	1	9	2	ready
189958	6	9	3	task
195964	8	9	4	interval
203985	6	10	1	rest
209965	1	10	2	ready
210957	6	10	3	task
216949	8	10	4	interval
224993	6	11	1	rest
230972	1	11	2	ready
231965	6	11	3	task
237966	8	11	4	interval
245991	6	12	1	rest
251955	1	12	2	ready
252949	6	12	3	task
258954	8	12	4	interval
266989	6	13	1	rest
272953	1	13	2	ready
273972	6	13	3	task
279952	8	13	4	interval
287991	6	14	1	rest
293956	1	14	2	ready
294958	6	14	3	task
300955	8	14	4	interval
309002	6	15	1	rest
314960	1	15	2	ready
315976	6	15	3	task
321957	8	15	4	interval
330006	6	16	1	rest
335963	1	16	2	ready
336979	6	16	3	task
342982	8	16	4	interval
351001	6	17	1	rest
356983	1	17	2	ready
357993	6	17	3	task
363967	8	17	4	interval
372006	6	18	1	rest
377990	1	18	2	ready
378971	6	18	3	task
384974	8	18	4	interval
393008	6	19	1	rest
398973	1	19	2	ready
399971	6	19	3	task
405970	8	19	4	interval
414005	6	20	1	rest
419977	1	20	2	ready
420969	6	20	3	task
426972	8	20	4	interval
