onset	duration	Scoring2	Has_Arousal
1.99999921023846	30	1	0
31.9999992102385	30	1	0
61.9999992102385	30	1	0
91.9999992102385	30	1	0
121.999999210238	30	1	0
151.999999210238	30	1	0
181.999999210238	30	1	0
211.999999210238	30	1	0
241.999999210238	30	1	0
271.999999210238	30	1	0
301.999999210238	30	1	0
331.999999210238	30	1	0
361.999999210238	30	1	0
391.999999210238	30	1	0
421.999999210238	30	1	0
451.999999210238	30	1	0
481.999999210238	30	1	0
511.999999210238	30	1	0
541.999999210238	30	1	0
571.999999210238	30	1	0
601.999999210238	30	1	0
631.999999210238	30	1	0
661.999999210238	30	1	0
691.999999210238	30	1	0
721.999999210238	30	1	0
751.999999210238	30	1	0
781.999999210238	30	1	0
811.999999210238	30	1	0
841.999999210238	30	1	0
871.999999210238	30	1	0
901.999999210238	30	1	0
931.999999210238	30	1	0
961.999999210238	30	1	0
991.999999210238	30	1	0
1021.99999921024	30	3	0
1051.99999921024	30	3	2
1081.99999921024	30	1	0
1111.99999921024	30	3	0
1141.99999921024	30	3	1
1171.99999921024	30	3	0
1201.99999921024	30	1	1
1231.99999921024	30	1	0
1261.99999921024	30	1	0
1291.99999921024	30	1	0
1321.99999921024	30	3	1
1351.99999921024	30	1	1
1381.99999921024	30	1	0
1411.99999921024	30	1	0
1441.99999921024	30	3	1
1471.99999921024	30	1	0
1501.99999921024	30	1	0
1531.99999921024	30	3	0
1561.99999921024	30	3	1
1591.99999921024	30	3	0
1621.99999921024	30	3	0
1651.99999921024	30	3	0
1681.99999921024	30	1	1
1711.99999921024	30	3	0
1741.99999921024	30	4	0
1771.99999921024	30	4	0
1801.99999921024	30	4	0
1831.99999921024	30	4	0
1861.99999921024	30	4	0
1891.99999921024	30	4	1
1921.99999921024	30	4	0
1951.99999921024	30	1	1
1981.99999921024	30	1	0
2011.99999921024	30	3	0
2041.99999921024	30	3	0
2071.99999921024	30	4	0
2101.99999921024	30	4	0
2131.99999921024	30	4	0
2161.99999921024	30	4	0
2191.99999921024	30	4	0
2221.99999921024	30	4	0
