onset	duration	event_type
1.7144939899	1.0	type1_color4_cuep
9.214963913	3	type1_color4_searchp
13.2479190826	1.7113283041617808	type1_color2_cuep
20.0146210194	3	type1_color2_searchp
24.0480690002	1.0797751623277096	type1_color1_cuep
27.6813731194	3	type1_color1_searchp
31.714728117	1.5848931924611136	type2_color3_cuep
36.7815139294	3	type2_color3_searchp
40.8147521019	1.1659144011798317	type2_color5_cuep
44.815005064	3	type2_color5_searchp
48.8480451107	1.9952623149688795	type2_color1_cuep
58.5150051117	3	type2_color1_searchp
62.5482809544	1.3593563908785256	type2_color2_cuep
68.1650619507	3	type2_color2_searchp
72.1983549595	1.4677992676220695	type3_color1_cuep
76.7985551357	3	type3_color1_searchp
80.8317329884	1.5848931924611136	type3_color5_cuep
88.2484970093	3	type3_color5_searchp
92.3651111126	1.7113283041617808	type1_color4_cuep
101.1152989864	3	type1_color4_searchp
105.1486449242	1.0797751623277096	type2_color3_cuep
110.532004118	3	type2_color3_searchp
114.5652699471	1.9952623149688795	type2_color2_cuep
122.0154900551	3	type2_color2_searchp
126.0653691292	1.847849797422291	type3_color2_cuep
133.6655769348	3	type3_color2_searchp
137.6988239288	1.847849797422291	type2_color4_cuep
144.8155829906	3	type2_color4_searchp
148.8487961292	1.5848931924611136	type3_color3_cuep
155.6990509033	3	type3_color3_searchp
159.7323269844	1.7113283041617808	type3_color1_cuep
164.9159300327	3	type3_color1_searchp
168.9490520954	1.1659144011798317	type1_color3_cuep
175.9658250809	3	type1_color3_searchp
179.9991650581	1.0	type3_color4_cuep
184.8492350578	3	type3_color4_searchp
188.9158699512	1.847849797422291	type2_color4_cuep
197.2660059929	3	type2_color4_searchp
201.2993171215	1.2589254117941673	type2_color1_cuep
207.2994561195	3	type2_color1_searchp
211.3327100277	1.4677992676220695	type1_color5_cuep
215.3495140076	3	type1_color5_searchp
219.4495429993	1.1659144011798317	type1_color5_cuep
227.1162319183	3	type1_color5_searchp
231.1494519711	1.4677992676220695	type1_color2_cuep
238.0998389721	3	type1_color2_searchp
242.1329400539	1.0797751623277096	type3_color4_cuep
249.5497500896	3	type3_color4_searchp
253.5830280781	1.2589254117941673	type1_color1_cuep
257.9664731026	3	type1_color1_searchp
261.9997689724	1.3593563908785256	type3_color2_cuep
267.6332979202	3	type3_color2_searchp
271.6997420788	1.0	type3_color3_cuep
277.5498659611	3	type3_color3_searchp
281.583272934	1.2589254117941673	type1_color3_cuep
286.7001979351	3	type1_color3_searchp
290.7999789715	1.9952623149688795	type2_color5_cuep
297.083591938	3	type2_color5_searchp
301.1167399883	1.3593563908785256	type3_color5_cuep
308.3169009686	3	type3_color5_searchp
