onset	duration	event_type
1.0388360023	1.4677992676220695	type3_color4_cuep
7.9557609558	3	type3_color4_searchp
11.9889838696	1.4677992676220695	type3_color5_cuep
19.9558329582	3	type3_color5_searchp
23.9891979694	1.0	type2_color1_cuep
29.7392539978	3	type2_color1_searchp
33.7724688053	1.847849797422291	type2_color5_cuep
39.8902277946	3	type2_color5_searchp
43.9725708961	1.1659144011798317	type2_color4_cuep
52.6894288063	3	type2_color4_searchp
56.722689867	1.0	type3_color3_cuep
61.572868824	3	type3_color3_searchp
65.6061148643	1.3593563908785256	type1_color4_cuep
69.7728409767	3	type1_color4_searchp
73.8062059879	1.7113283041617808	type1_color3_cuep
81.3565328121	3	type1_color3_searchp
85.4562277794	1.1659144011798317	type3_color2_cuep
90.0897138119	3	type3_color2_searchp
94.1231088638	1.9952623149688795	type3_color2_cuep
104.0898909569	3	type3_color2_searchp
108.1231188774	1.0	type2_color3_cuep
115.6233429909	3	type2_color3_searchp
119.6565718651	1.0797751623277096	type1_color2_cuep
125.4900739193	3	type1_color2_searchp
129.5232858658	1.4677992676220695	type3_color3_cuep
134.4734978676	3	type3_color3_searchp
138.5067379475	1.9952623149688795	type2_color2_cuep
146.356910944	3	type2_color2_searchp
150.3902349472	1.5848931924611136	type3_color1_cuep
154.8070499897	3	type3_color1_searchp
158.840326786	1.0797751623277096	type1_color4_cuep
163.057038784	3	type1_color4_searchp
167.0902428627	1.9952623149688795	type2_color1_cuep
172.9404978752	3	type2_color1_searchp
177.0236678123	1.2589254117941673	type3_color1_cuep
183.5738008022	3	type3_color1_searchp
187.6071438789	1.1659144011798317	type1_color2_cuep
193.5240528584	3	type1_color2_searchp
197.5572469234	1.7113283041617808	type1_color5_cuep
207.0240879059	3	type1_color5_searchp
211.0572879314	1.3593563908785256	type1_color5_cuep
217.6740949154	3	type1_color5_searchp
221.7073628902	1.2589254117941673	type1_color1_cuep
228.4076159	3	type1_color1_searchp
232.4409079552	1.7113283041617808	type1_color1_cuep
237.6245098114	3	type1_color1_searchp
241.7242648602	1.847849797422291	type3_color4_cuep
246.7076849937	3	type3_color4_searchp
250.740945816	1.5848931924611136	type2_color5_cuep
258.3079898357	3	type2_color5_searchp
262.4077179432	1.847849797422291	type2_color4_cuep
268.791274786	3	type2_color4_searchp
272.8911969662	1.0797751623277096	type2_color3_cuep
277.1079509258	3	type2_color3_searchp
281.1412258148	1.5848931924611136	type2_color2_cuep
289.2248067856	3	type2_color2_searchp
293.3247139454	1.3593563908785256	type1_color3_cuep
302.8748857975	3	type1_color3_searchp
306.9080908299	1.2589254117941673	type3_color5_cuep
312.0082848072	3	type3_color5_searchp
