onset	duration	event_type
1.3714921474	1.4677992676220695	type1_color4_cuep
5.6716141701	3	type1_color4_searchp
9.7049040794	1.9952623149688795	type3_color1_cuep
14.83821702	3	type3_color1_searchp
18.8715729713	1.0	type3_color5_cuep
24.6217861176	3	type3_color5_searchp
28.6549761295	1.4677992676220695	type2_color4_cuep
36.6220240593	3	type2_color4_searchp
40.7218220234	1.0797751623277096	type2_color5_cuep
46.0886590481	3	type2_color5_searchp
50.1219091415	1.847849797422291	type3_color5_cuep
56.4720401764	3	type3_color5_searchp
60.5052750111	1.3593563908785256	type3_color2_cuep
64.988713026	3	type3_color2_searchp
69.0220620632	1.847849797422291	type1_color2_cuep
75.6222531796	3	type1_color2_searchp
79.6554830074	1.0797751623277096	type2_color2_cuep
85.0222730637	3	type2_color2_searchp
89.0555460453	1.7113283041617808	type1_color3_cuep
93.8890171051	3	type1_color3_searchp
97.9223041534	1.7113283041617808	type2_color4_cuep
104.8889811039	3	type2_color4_searchp
108.9224011898	1.0	type2_color5_cuep
115.1892821789	3	type2_color5_searchp
119.2224721909	1.847849797422291	type1_color5_cuep
127.8059780598	3	type1_color5_searchp
131.9392399788	1.5848931924611136	type3_color3_cuep
136.0726971626	3	type3_color3_searchp
140.1059770584	1.1659144011798317	type3_color3_cuep
144.106110096	3	type3_color3_searchp
148.2060301304	1.4677992676220695	type1_color1_cuep
154.9395580292	3	type1_color1_searchp
158.9728460312	1.2589254117941673	type1_color5_cuep
167.6063210964	3	type1_color5_searchp
171.6395580769	1.0797751623277096	type2_color1_cuep
176.2063980103	3	type2_color1_searchp
180.2397670746	1.9952623149688795	type3_color2_cuep
186.0904929638	3	type3_color2_searchp
190.1230361462	1.1659144011798317	type2_color1_cuep
197.5064611435	3	type2_color1_searchp
201.5398221016	1.0	type2_color3_cuep
206.8065600395	3	type2_color3_searchp
210.8399050236	1.3593563908785256	type1_color4_cuep
216.0400421619	3	type1_color4_searchp
220.0733211041	1.2589254117941673	type1_color3_cuep
223.8735699654	3	type1_color3_searchp
227.906717062	1.2589254117941673	type3_color1_cuep
232.8402950764	3	type3_color1_searchp
236.9067940712	1.7113283041617808	type1_color1_cuep
245.4569470882	3	type1_color1_searchp
249.4901759624	1.9952623149688795	type1_color2_cuep
255.3402199745	3	type1_color2_searchp
259.4402840137	1.3593563908785256	type3_color4_cuep
265.0903980732	3	type3_color4_searchp
269.1237401962	1.5848931924611136	type3_color4_cuep
273.5404911041	3	type3_color4_searchp
277.623773098	1.5848931924611136	type2_color2_cuep
284.8406209946	3	type2_color2_searchp
288.8738820553	1.1659144011798317	type2_color3_cuep
295.8907029629	3	type2_color3_searchp
