onset	duration	event_type
1.2578752041	1.3593563908785256	type2_color3_cuep
6.4579761028	3	type2_color3_searchp
10.557888031	1.0	type1_color3_cuep
14.3747220039	3	type1_color3_searchp
18.4078481197	1.0797751623277096	type1_color2_cuep
24.2247731686	3	type1_color2_searchp
28.2579731941	1.7113283041617808	type2_color4_cuep
35.0256011486	3	type2_color4_searchp
39.0582401752	1.2589254117941673	type3_color2_cuep
45.0582289696	3	type3_color2_searchp
49.0915641785	1.9952623149688795	type1_color2_cuep
58.8750700951	3	type1_color2_searchp
62.9083302021	1.847849797422291	type2_color5_cuep
68.2417161465	3	type2_color5_searchp
72.4750721455	1.4677992676220695	type1_color1_cuep
76.4920179844	3	type1_color1_searchp
80.5250811577	1.9952623149688795	type2_color1_cuep
86.2919611931	3	type2_color1_searchp
90.3252761364	1.0797751623277096	type2_color2_cuep
96.6753811836	3	type2_color2_searchp
100.7087011337	1.0	type2_color3_cuep
104.5421030521	3	type2_color3_searchp
108.5753161907	1.3593563908785256	type3_color3_cuep
113.3921840191	3	type3_color3_searchp
117.4754340649	1.847849797422291	type2_color4_cuep
124.8091111183	3	type2_color4_searchp
128.8422260284	1.5848931924611136	type3_color1_cuep
135.3923690319	3	type3_color1_searchp
139.4256260395	1.1659144011798317	type3_color4_cuep
145.8590559959	3	type3_color4_searchp
149.9257471561	1.1659144011798317	type3_color3_cuep
154.2258741856	3	type3_color3_searchp
158.2592051029	1.5848931924611136	type1_color1_cuep
163.6925981045	3	type1_color1_searchp
167.7258679867	1.9952623149688795	type3_color5_cuep
174.9926040173	3	type3_color5_searchp
179.0259561539	1.847849797422291	type3_color2_cuep
187.7262730598	3	type3_color2_searchp
191.7594070435	1.2589254117941673	type3_color1_cuep
200.8761119843	3	type3_color1_searchp
204.9094371796	1.3593563908785256	type1_color5_cuep
212.7596890926	3	type1_color5_searchp
216.7929999828	1.4677992676220695	type2_color1_cuep
222.5430281162	3	type2_color1_searchp
226.5764169693	1.2589254117941673	type3_color5_cuep
234.3270280361	3	type3_color5_searchp
238.3597941399	1.7113283041617808	type2_color5_cuep
244.8099451065	3	type2_color5_searchp
248.8432149887	1.1659144011798317	type1_color4_cuep
256.5099570751	3	type1_color4_searchp
260.6767191887	1.7113283041617808	type3_color4_cuep
266.6600790024	3	type3_color4_searchp
270.6933801174	1.4677992676220695	type2_color2_cuep
275.2935101986	3	type2_color2_searchp
279.3267910481	1.5848931924611136	type1_color5_cuep
286.0102720261	3	type1_color5_searchp
290.0435421467	1.0	type1_color4_cuep
296.8935711384	3	type1_color4_searchp
300.9269340038	1.0797751623277096	type1_color3_cuep
305.8604099751	3	type1_color3_searchp
