onset	duration	event_type
1.1277730465	1.9952623149688795	type2_color2_cuep
5.9445490837	3	type2_color2_searchp
9.9778599739	1.0	type2_color1_cuep
16.1613581181	3	type2_color1_searchp
20.1946210861	1.3593563908785256	type3_color3_cuep
26.2946360111	3	type3_color3_searchp
30.3280279636	1.2589254117941673	type1_color2_cuep
37.4283139706	3	type1_color2_searchp
41.4779601097	1.7113283041617808	type3_color5_cuep
50.8449480534	3	type3_color5_searchp
54.8782999516	1.4677992676220695	type3_color3_cuep
59.8283660412	3	type3_color3_searchp
63.8617179394	1.847849797422291	type1_color1_cuep
70.9784770012	3	type1_color1_searchp
75.0950400829	1.2589254117941673	type1_color4_cuep
82.8120191097	3	type1_color4_searchp
86.8452320099	1.0797751623277096	type2_color2_cuep
92.2119390965	3	type2_color2_searchp
96.2452321053	1.1659144011798317	type1_color5_cuep
100.2453379631	3	type1_color5_searchp
104.278635025	1.0	type1_color5_cuep
111.2287759781	3	type1_color5_searchp
115.2621381283	1.7113283041617808	type3_color5_cuep
122.8121349812	3	type3_color5_searchp
126.9121310711	1.7113283041617808	type3_color1_cuep
131.7455720901	3	type3_color1_searchp
135.7789070606	1.3593563908785256	type2_color3_cuep
141.329018116	3	type2_color3_searchp
145.362210989	1.0	type1_color4_cuep
150.2292361259	3	type1_color4_searchp
154.32903409	1.5848931924611136	type3_color2_cuep
162.4125599861	3	type3_color2_searchp
166.4458229542	1.1659144011798317	type1_color2_cuep
172.7292311192	3	type1_color2_searchp
176.7625720501	1.5848931924611136	type2_color4_cuep
181.4792730808	3	type2_color4_searchp
185.5792820454	1.4677992676220695	type3_color4_cuep
192.5968930721	3	type3_color4_searchp
196.6293780804	1.0797751623277096	type3_color1_cuep
201.9794721603	3	type3_color1_searchp
206.0127601624	1.0797751623277096	type1_color1_cuep
209.6461970806	3	type1_color1_searchp
213.6794710159	1.9952623149688795	type3_color4_cuep
222.1796300411	3	type3_color4_searchp
226.2129781246	1.4677992676220695	type2_color4_cuep
231.1465990543	3	type2_color4_searchp
235.1797180176	1.1659144011798317	type1_color3_cuep
240.1965830326	3	type1_color3_searchp
244.2296710014	1.3593563908785256	type2_color1_cuep
249.8465600014	3	type2_color1_searchp
253.9298360348	1.2589254117941673	type1_color3_cuep
261.0299611092	3	type1_color3_searchp
265.0633809567	1.5848931924611136	type2_color3_cuep
273.1301310062	3	type2_color3_searchp
277.1633491516	1.847849797422291	type2_color5_cuep
283.4302000999	3	type2_color5_searchp
287.4634671211	1.9952623149688795	type2_color5_cuep
294.7302839756	3	type2_color5_searchp
298.7635800838	1.847849797422291	type3_color2_cuep
307.1804020405	3	type3_color2_searchp
