onset	duration	sample	value	gid
69.0625	n/a	70721	1111	0
69.0625	n/a	70721	1231	0
69.0625	n/a	70721	1311	1249
80.3642578125	n/a	82294	2110	0
107.1064453125	n/a	109678	1312	1249
107.1064453125	n/a	109678	1311	1047
126.6787109375	n/a	129720	2120	0
131.12890625	n/a	134277	1312	1047
131.12890625	n/a	134277	1321	4000
139.2890625	n/a	142633	2120	0
144.064453125	n/a	147523	1322	4000
144.064453125	n/a	147523	1311	1141
152.6376953125	n/a	156302	2110	0
153.2099609375	n/a	156888	1312	1141
153.2099609375	n/a	156888	1311	1187
164.7734375	n/a	168729	2110	0
165.34375	n/a	169313	1312	1187
165.34375	n/a	169313	1311	1132
173.28515625	n/a	177445	2120	0
176.1015625	n/a	180329	1312	1132
176.1015625	n/a	180329	1311	1133
189.65234375	n/a	194205	2110	0
190.2236328125	n/a	194790	1312	1133
190.2236328125	n/a	194790	1311	1156
197.083984375	n/a	201815	2110	0
197.6572265625	n/a	202402	1312	1156
197.6572265625	n/a	202402	1311	1021
206.8623046875	n/a	211828	2110	0
207.4345703125	n/a	212414	1312	1021
207.4345703125	n/a	212414	1311	1178
217.57421875	n/a	222797	2110	0
218.146484375	n/a	223383	1312	1178
218.146484375	n/a	223383	1311	1023
228.978515625	n/a	234475	2110	0
229.55078125	n/a	235061	1312	1023
229.55078125	n/a	235061	1311	1013
243.693359375	n/a	249543	2110	0
244.2666015625	n/a	250130	1312	1013
244.2666015625	n/a	250130	1311	1219
256.017578125	n/a	262163	2110	0
256.5908203125	n/a	262750	1312	1219
256.5908203125	n/a	262750	1311	1114
268.5615234375	n/a	275008	2110	0
269.1337890625	n/a	275594	1312	1114
269.1337890625	n/a	275594	1311	1186
280.6884765625	n/a	287426	2110	0
281.26171875	n/a	288013	1312	1186
281.26171875	n/a	288013	1321	4011
293.2568359375	n/a	300296	2120	0
298.1162109375	n/a	305272	1322	4011
298.1162109375	n/a	305272	1311	1163
309.599609375	n/a	317031	2110	0
310.1748046875	n/a	317620	1312	1163
310.1748046875	n/a	317620	1311	1006
317.4638671875	n/a	325084	2110	0
318.03515625	n/a	325669	1312	1006
318.03515625	n/a	325669	1311	1174
325.6875	n/a	333505	2110	0
326.2958984375	n/a	334128	1312	1174
326.2958984375	n/a	334128	1232	0
333.7587890625	n/a	341770	1231	0
333.7587890625	n/a	341770	1331	4033
347.0947265625	n/a	355426	2120	0
351.0732421875	n/a	359500	1332	4033
351.0732421875	n/a	359500	1311	1108
360.7021484375	n/a	369360	2110	0
364.7958984375	n/a	373552	1312	1108
364.7958984375	n/a	373552	1311	1170
370.333984375	n/a	379223	2110	0
370.9052734375	n/a	379808	1312	1170
370.9052734375	n/a	379808	1311	1063
387.29296875	n/a	396589	2110	0
392.0263671875	n/a	401436	1312	1063
392.0263671875	n/a	401436	1311	1111
403.150390625	n/a	412827	2110	0
403.72265625	n/a	413413	1312	1111
403.72265625	n/a	413413	1311	1061
414.34765625	n/a	424293	2110	0
414.9189453125	n/a	424878	1312	1061
414.9189453125	n/a	424878	1311	1143
419.67578125	n/a	429749	2110	0
420.248046875	n/a	430335	1312	1143
420.248046875	n/a	430335	1311	1079
436.59375	n/a	447073	2110	0
437.162109375	n/a	447655	1312	1079
437.162109375	n/a	447655	1311	1128
442.25390625	n/a	452869	2110	0
442.826171875	n/a	453455	1312	1128
442.826171875	n/a	453455	1311	1202
452.96484375	n/a	463837	2110	0
453.537109375	n/a	464423	1312	1202
453.537109375	n/a	464423	1331	4034
460.841796875	n/a	471903	2110	0
461.4140625	n/a	472489	1332	4034
461.4140625	n/a	472489	1311	1060
477.7373046875	n/a	489204	2120	0
481.6533203125	n/a	493214	1312	1060
481.6533203125	n/a	493214	1311	1020
496.12109375	n/a	508029	2120	0
499.0986328125	n/a	511078	1312	1020
499.0986328125	n/a	511078	1311	1120
514.671875	n/a	527025	2120	0
516.6728515625	n/a	529074	1312	1120
516.6728515625	n/a	529074	1341	4038
533.9111328125	n/a	546726	2120	0
536.255859375	n/a	549127	1342	4038
536.255859375	n/a	549127	1311	1116
546.462890625	n/a	559579	2110	0
547.0361328125	n/a	560166	1312	1116
547.0361328125	n/a	560166	1311	1007
559.6865234375	n/a	573120	2110	0
