onset	duration	trial_type	accuracy	response_time
8.8	2	maint	1	1.056
12.434	2	rest	n/a	n/a
23.184	2	maint	1	0.928
27.484	2	rest	n/a	n/a
38.034	2	maint	1	1.175
41.935	2	rest	n/a	n/a
53.268	2	remov	0	0
58.335	2	rest	n/a	n/a
69.619	2	encod	0	1.369
73.869	2	rest	n/a	n/a
84.519	2	maint	1	1.273
88.769	2	rest	n/a	n/a
99.086	2	remov	1	1.371
103.203	2	rest	n/a	n/a
113.903	2	encod	0	0
118.703	2	rest	n/a	n/a
129.637	2	remov	0	0
134.87	2	rest	n/a	n/a
145.77	2	encod	0	1.651
150.054	2	rest	n/a	n/a
160.488	2	maint	1	0.956
164.521	2	rest	n/a	n/a
174.821	2	maint	1	1.128
179.005	2	rest	n/a	n/a
190.255	2	maint	1	1.135
194.422	2	rest	n/a	n/a
205.289	2	maint	1	1.837
210.355	2	rest	n/a	n/a
221.772	2	maint	1	0.902
226.006	2	rest	n/a	n/a
235.906	2	encod	1	1.638
240.323	2	rest	n/a	n/a
250.406	2	remov	0	0
255.657	2	rest	n/a	n/a
266.974	2	remov	0	1.49
271.24	2	rest	n/a	n/a
281.824	2	remov	0	0
287.191	2	rest	n/a	n/a
298.291	2	encod	1	0.721
302.091	2	rest	n/a	n/a
312.441	2	maint	1	0.887
316.508	2	rest	n/a	n/a
327.608	2	remov	0	0
332.708	2	rest	n/a	n/a
343.192	2	encod	1	1.095
347.292	2	rest	n/a	n/a
357.526	2	remov	1	1.46
361.726	2	rest	n/a	n/a
372.776	2	remov	1	1.451
377.726	2	rest	n/a	n/a
388.96	2	maint	1	1.171
393.043	2	rest	n/a	n/a
404.11	2	encod	1	1.46
408.894	2	rest	n/a	n/a
419.244	2	encod	1	1.869
424.077	2	rest	n/a	n/a
434.578	2	maint	1	1.112
439.044	2	rest	n/a	n/a
449.061	2	remov	0	0
454.278	2	rest	n/a	n/a
