onset	duration	block	trial	phase	trialtype	category	pairnum	accuracy	test_RT
305.097961	4.01715680999996	2	20	test	AB	Face	1	1	1353.31618959
317.116803	4.01960480999999	2	21	test	BC	Face	7	0	1369.43518959
323.1376	4.01779881000001	2	22	test	AB	Face	3	1	2014.36518959
331.156992	4.01813280999998	2	23	test	BC	Face	8	1	1286.69418959
337.176465	4.01764980999997	2	24	test	AB	Face	7	1	1911.92218959
16.52566	4.00326566659999	3	1	study	AB	Scene	8	1	NA
28.53031	4.0032346666	3	2	study	AB	Scene	2	0	NA
34.535402	4.00044466659999	3	3	study	AB	Scene	1	0	NA
42.537001	4.001924667	3	4	study	AB	Scene	3	0	NA
48.540255	4.001000667	3	5	study	AB	Scene	6	1	NA
56.542675	4.001627667	3	6	study	AB	Scene	4	1	NA
62.54584	4.00079466700001	3	7	study	AB	Scene	5	0	NA
68.548461	4.00046466700001	3	8	study	AB	Scene	7	0	NA
74.550062	4.00115866700001	3	9	study	BC	Scene	7	0	NA
82.552369	4.00195166699999	3	10	study	BC	Scene	1	0	NA
94.555641	4.00328366700001	3	11	study	BC	Scene	8	1	NA
100.560258	4.00099466699999	3	12	study	BC	Scene	2	0	NA
106.562781	4.000764667	3	13	study	BC	Scene	5	0	NA
114.564917	4.001717667	3	14	study	BC	Scene	6	1	NA
122.568054	4.00166166700001	3	15	study	BC	Scene	4	1	NA
132.570966	4.00258066700003	3	16	study	BC	Scene	3	0	NA
148.74532	4.01781266699999	3	1	test	AC	Scene	2	0	2447.36633339
158.76458	4.01905466700002	3	2	test	AC	Scene	1	0	2445.46133339
164.785075	4.01755966699999	3	3	test	AC	Scene	4	1	1723.16433339
174.804019	4.01912866700001	3	4	test	AC	Scene	7	0	2029.45433339
186.824668	4.01975666700001	3	5	test	AC	Scene	5	0	2466.57433339
198.845795	4.019923667	3	6	test	AC	Scene	8	1	1890.91833339
204.867244	4.01747366700001	3	7	test	AC	Scene	3	0	2544.63433339
214.885866	4.01935166700001	3	8	test	AC	Scene	6	1	2648.03933339
220.908898	4.01531966700003	3	9	test	AB	Scene	8	1	2531.45633339
226.925442	4.01773766700001	3	10	test	AB	Scene	5	1	1569.80433339
238.944428	4.02007866699999	3	11	test	AB	Scene	1	0	2561.56633339
246.965894	4.01836566699998	3	12	test	BC	Scene	5	1	2196.33033339
252.98537	4.01784566699999	3	13	test	BC	Scene	1	1	1894.36933339
265.004693	4.01981266699999	3	14	test	AB	Scene	7	1	2016.30633339
271.02601	4.01749566700001	3	15	test	BC	Scene	3	1	2251.46133339
277.044786	4.01767966699996	3	16	test	BC	Scene	2	1	1893.81433339
285.064134	4.01808066699997	3	17	test	AB	Scene	2	1	2771.89833339
295.083782	4.03563966699998	3	18	test	AB	Scene	3	0	3027.13333339
303.120754	4.01841766699997	3	19	test	AB	Scene	6	1	1866.76933339
311.140783	4.01814666700002	3	20	test	BC	Scene	4	1	1519.34933339
