onset	duration	trial_type	response_time	trial_number	response_error
16	4	washout	1.09973	1	-41.3618378289828
20	4	washout	0.931579	2	-24.4251561530201
24	4	washout	1.137657	3	8.16208888397465
28	4	washout	1.259992	4	-23.605806286045
32	4	washout	0.959957	5	-1.00892864060292
36	4	washout	1.271874	6	13.1442407497817
40	4	washout	0.82594	7	-32.5947246899459
44	4	washout	0.885853	8	-41.3095907110479
48	4	washout	0.754163	9	-41.4963249442877
52	4	washout	0.910148	10	-10.3689212538778
56	4	washout	0.826102	11	-24.4835178685879
60	4	washout	0.726258	12	-8.96924005067163
64	4	washout	0.864359	13	-12.333241785994
68	4	washout	0.900265	14	-2.58385990970287
72	4	washout	0.900305	15	-21.0868426744457
76	4	washout	0.890416	16	3.00415777646819
80	4	washout	0.822545	17	-34.6720654313764
84	4	washout	1.008543	18	-6.72980949558861
88	4	washout	1.048657	19	-13.8110628524495
92	4	washout	0.958633	20	-11.6826730432538
96	4	washout	0.958552	21	-51.596845962894
100	4	washout	1.176829	22	8.24777519304768
104	4	washout	1.04898	23	5.85916937036985
108	4	washout	0.758912	24	-10.5228964300146
112	4	washout	1.292834	25	-4.71392254394731
116	4	washout	0.827146	26	-19.972539183322
120	4	washout	0.805014	27	-6.31470471776119
124	4	washout	1.176994	28	-11.361304578475
128	4	washout	1.089109	29	-27.7878668271432
132	4	washout	1.083112	30	-1.10910510319732
136	4	washout	1.047265	31	-55.5303470565531
140	4	washout	1.475182	32	-12.8235304192945
144	4	washout	0.827185	33	-10.7781433085324
148	4	washout	0.877217	34	-0.014987160715284
152	4	washout	0.915331	35	-18.5968492799437
156	4	washout	1.118327	36	-22.8067849003221
160	4	washout	1.051846	37	-7.35632966092911
164	4	washout	1.123605	38	-19.9218192096085
168	4	washout	1.133569	39	7.06252691775354
172	4	washout	0.993751	40	-27.7764426991604
176	4	washout	1.017726	41	-11.8082739023633
180	4	washout	1.325871	42	-5.11859378168116
184	4	washout	0.97791	43	7.00182629927479
188	4	washout	1.451878	44	-19.8107206813264
192	4	washout	1.009993	45	-4.73651619064975
196	4	washout	1.045989	46	-11.6062334349062
200	4	washout	1.090169	47	-26.0542107520378
204	4	washout	1.226106	48	-14.3857858555232
208	4	washout	0.780101	49	-28.4365781138668
212	4	washout	0.944229	50	26.2064101100967
216	4	washout	0.914194	51	2.85570696864499
220	4	washout	0.948357	52	12.6760504648153
224	4	washout	1.174462	53	-11.1234239154094
228	4	washout	0.902523	54	-0.979881609560736
232	4	washout	0.998454	55	-32.1194780770658
236	4	washout	1.018649	56	-11.3748993577499
240	4	washout	0.820657	57	2.13793882709781
244	4	washout	1.002596	58	-9.09623912844101
248	4	washout	1.068798	59	-16.9512677602033
252	4	washout	1.044672	60	-5.67257661995933
256	4	washout	0.864821	61	-11.5803707433437
260	4	washout	0.840923	62	0.480840037652001
264	4	washout	1.036911	63	-14.6793367687184
268	4	washout	0.866989	64	-14.0294331387283
272	4	washout	1.139045	65	-10.1573427273956
276	4	washout	0.905186	66	-32.235055513736
280	4	washout	0.97718	67	-23.2063402444895
284	4	washout	1.007242	68	-21.9581049657838
288	4	washout	1.395358	69	-18.8602455672371
292	4	washout	1.087247	70	-6.97836803475833
296	4	washout	0.947421	71	-17.0954220615911
300	4	washout	1.143361	72	-5.08663992805899
304	4	washout	0.907504	73	-27.7344893307377
308	4	washout	1.137609	74	3.43686097006006
312	4	washout	1.113655	75	11.6499523421681
316	4	washout	1.075584	76	-9.45300377015116
320	4	washout	1.005776	77	-13.1532113286588
324	4	washout	1.049715	78	-32.0862152667266
328	4	washout	1.405952	79	-8.56756923121895
332	4	washout	0.985976	80	8.56435925021107
336	4	washout	1.005967	81	-0.0287424290224368
340	4	washout	1.112039	82	-4.33640478566
344	4	washout	0.748079	83	8.11741081103408
348	4	washout	1.118192	84	0.965004334908066
352	4	washout	1.080091	85	-3.62644838691649
356	4	washout	0.969932	86	-0.129670963830212
360	4	washout	1.006461	87	-7.99379621553677
364	4	washout	0.878281	88	-20.6274508333958
368	4	washout	0.938469	89	-17.9051226868887
372	4	washout	0.970172	90	-23.0134090190587
376	4	washout	0.882446	91	-22.0605912725051
380	4	washout	0.966328	92	4.5870149466624
384	4	washout	0.854432	93	9.49123536792439
388	4	washout	0.954623	94	-12.6686328354715
392	4	washout	0.886718	95	-25.4578674932447
396	4	washout	1.066622	96	-29.6872127944807
400	4	washout	1.00277	97	-26.7094487036981
404	4	washout	1.098904	98	-39.9066464475344
408	4	washout	0.888984	99	29.9175816712701
412	4	washout	1.010898	100	-22.9888516279773
416	4	washout	0.762984	101	-9.70181454722579
420	4	washout	0.809046	102	-18.179833550598
424	4	washout	0.861093	103	-13.3308183824275
428	4	washout	0.81114	104	-38.7403847604547
432	4	washout	0.926948	105	-25.3000422947059
436	4	washout	1.001233	106	-6.15699039714692
440	4	washout	0.893226	107	-0.445341943457551
444	4	washout	1.253467	108	12.6861105378594
448	4	washout	1.255658	109	-1.5145015210278
452	4	washout	1.131453	110	16.9325144669344
456	4	washout	1.017502	111	-5.10842510882702
460	4	washout	0.897452	112	-14.0551635610039
464	4	washout	1.040036	113	-10.8476079699642
468	4	washout	1.197629	114	-11.4769060704363
472	4	washout	1.165729	115	-0.435967793743837
476	4	washout	0.829727	116	-13.6905323974421
480	4	washout	1.107948	117	4.28852063618324
484	4	washout	1.31582	118	-23.0486767653536
488	4	washout	1.286117	119	2.07567313161256
492	4	washout	0.938025	120	-5.46112241437521
