onset	duration	trial_type	response_time	trial_number	response_error
16	4	baseline	0.953719	1	13.7442121846832
20	4	baseline	0.846059	2	-27.2123336616225
24	4	baseline	0.761147	3	-23.4660535465787
28	4	baseline	0.78954	4	-9.73613454815161
32	4	baseline	0.601629	5	-12.8913568948992
36	4	baseline	0.873385	6	-40.1179551629087
40	4	baseline	0.789432	7	12.9737191961426
44	4	baseline	0.783147	8	-12.576934689884
48	4	baseline	0.662377	9	-16.7279168942976
52	4	baseline	0.948727	10	-21.5141722063447
56	4	baseline	0.76934	11	-2.48492722011282
60	4	baseline	0.6396	12	17.9477028547121
64	4	baseline	0.776078	13	3.93118178647705
68	4	baseline	1.0177	14	-6.23154732627362
72	4	baseline	0.841739	15	-3.12410447995611
76	4	baseline	0.83198	16	-14.7900194771843
80	4	baseline	0.775281	17	-7.51448174451906
84	4	baseline	0.996061	18	-7.22072467072313
88	4	baseline	0.835534	19	-15.3986853790621
92	4	baseline	0.001765	20	2.21314595012802
96	4	baseline	0.668675	21	-8.45129336655645
100	4	baseline	0.807463	22	-31.0255267508763
104	4	baseline	0.775312	23	8.2886625912058
108	4	baseline	0.956043	24	-23.1815948815865
112	4	baseline	0.747128	25	-5.23363660453053
116	4	baseline	0.993501	26	-11.9460086231875
120	4	baseline	0.841363	27	-5.2517977289361
124	4	baseline	0.826778	28	6.84602543611755
128	4	baseline	0.99918	29	-21.5602591586402
132	4	baseline	0.888165	30	-6.05368652050314
136	4	baseline	0.900075	31	-5.62755814400322
140	4	baseline	1.084662	32	-12.7599794487406
144	4	baseline	1.037145	33	-18.7995962107224
148	4	baseline	1.286518	34	2.63828044349024
152	4	baseline	1.237809	35	7.03073645270816
156	4	baseline	1.076593	36	-1.00843258203146
160	4	baseline	0.938882	37	-2.37950311171782
164	4	baseline	1.096527	38	-1.5097301730606
168	4	baseline	0.997619	39	20.0072580788938
172	4	baseline	0.960376	40	25.8104186407838
176	4	baseline	0.934112	41	-2.85504882377169
180	4	baseline	0.884456	42	0.608659219130982
184	4	baseline	1.281768	43	-15.6766148947371
188	4	baseline	0.95704	44	-10.0916280493079
192	4	baseline	0.673074	45	7.62853469790929
196	4	baseline	0.83734	46	-5.14015967109849
200	4	baseline	1.027084	47	-5.02820792435194
204	4	baseline	0.978543	48	6.29122554363896
208	4	baseline	0.739016	49	-5.38355870043915
212	4	baseline	0.965702	50	0.0125017481971341
216	4	baseline	1.008812	51	-0.330290747916803
220	4	baseline	0.98428	52	7.34533598960705
224	4	baseline	1.170243	53	-10.7143280501387
228	4	baseline	0.949318	54	12.7568736643541
232	4	baseline	0.773064	55	13.3986554124432
236	4	baseline	0.871684	56	5.17436476618284
240	4	baseline	0.928851	57	11.7539859000722
244	4	baseline	0.86432	58	24.2473952876516
248	4	baseline	0.778203	59	4.09240547224343
252	4	baseline	0.749856	60	-3.40760465970931
256	4	baseline	0.6922	61	7.72597405408049
260	4	baseline	0.888123	62	5.15600157810446
264	4	baseline	1.110511	63	-5.35841952605576
268	4	baseline	0.922051	64	6.98207430363059
272	4	baseline	1.05267	65	-6.5180606637125
276	4	baseline	0.893135	66	4.02338142151269
280	4	baseline	1.092648	67	11.944266125943
284	4	baseline	0.840702	68	0.723452057825048
288	4	baseline	1.187473	69	5.11574558569643
292	4	baseline	0.952352	70	18.3139565882607
296	4	baseline	1.013279	71	-14.6244615038609
300	4	baseline	0.861292	72	4.4886888908533
304	4	baseline	0.806002	73	-8.52337484877921
308	4	baseline	1.028606	74	14.6295946890646
312	4	baseline	0.920858	75	1.48862874788502
316	4	baseline	1.113724	76	6.34791968079413
320	4	baseline	1.202719	77	-3.18828094842061
324	4	baseline	0.886592	78	-0.823819435000458
328	4	baseline	0.896903	79	13.6589340046954
332	4	baseline	0.869158	80	-0.453652074045308
336	4	baseline	0.963202	81	0.17318065357706
340	4	baseline	1.005502	82	-12.5644152969711
344	4	baseline	0.999467	83	-3.55171645676592
348	4	baseline	0.887355	84	-0.817265874402977
352	4	baseline	0.892909	85	10.4678479161707
356	4	baseline	0.837332	86	-2.61303517754009
360	4	baseline	0.972324	87	15.3253584569812
364	4	baseline	0.981391	88	7.35373673666727
368	4	baseline	0.982235	89	5.83661706516473
372	4	baseline	0.959522	90	0.850183643533622
376	4	baseline	0.925245	91	1.83284161376411
380	4	baseline	0.952941	92	5.779888120419
384	4	baseline	1.121839	93	-4.15093820454538
388	4	baseline	0.885415	94	3.44145400761831
392	4	baseline	1.003973	95	-1.389195504065
396	4	baseline	0.824766	96	8.01262357833405
400	4	baseline	0.900025	97	-5.50606526055435
404	4	baseline	0.778819	98	-3.20414561309164
408	4	baseline	0.832206	99	-5.40302961477345
412	4	baseline	0.842435	100	14.0215483499602
416	4	baseline	1.004273	101	-5.50202714906314
420	4	baseline	0.786256	102	-5.33594984701139
424	4	baseline	0.979126	103	7.54387574421498
