onset	duration	trial_type	response	response_time	stim_file
180.0390169620514	2.0125019550323486	74.0	-1.0	2.42957091331482	Knitting/v_Knitting_id_FKcngDuoJWg_start_139.5_label_1.mp4
184.0337879657745	2.016958951950073	130.0	1.0	2.4110398292541504	Rope_skipping/v_Rope_skipping_id_thkhlZFoUzE_start_26.0_label_1.mp4
188.03303480148315	2.017076015472412	90.0	-1.0	2.499455213546753	Plastering/v_Plastering_id_OFF7dkH2qOE_start_72.0_label_1.mp4
192.0343828201294	2.0157470703125	88.0	-1.0	2.306140184402466	Painting_furniture/v_Painting_furniture_id_HFydtU1K68U_start_36.0_label_1.mp4
196.0348398685456	2.01511812210083	118.0	-1.0	2.4496960639953613	Powerbocking/v_Powerbocking_id_hBOx7SS-O6o_start_62.0_label_1.mp4
204.0351519584656	2.0132758617401123	13.0	-1.0	2.353458881378174	Braiding_hair/v_Braiding_hair_id_v7JlF6Ls2W8_start_37.0_label_1.mp4
208.03637886047363	2.01184606552124	165.0	-1.0	2.9761760234832764	Using_the_monkey_bar/v_Using_the_monkey_bar_id_5ht4nJiSvcE_start_63.0_label_1.mp4
212.0351088047028	2.013223171234131	29.0	-1.0	2.305558204650879	Cleaning_sink/v_Cleaning_sink_id_5cM--SL-8xU_start_152.5_label_1.mp4
216.03730988502505	2.0103769302368164	27.0	1.0	2.5673611164093018	Clean_and_jerk/v_Clean_and_jerk_id_PrRPWyD7q8o_start_4.5_label_1.mp4
220.031389951706	2.016284942626953	6.0	1.0	2.757145881652832	Ballet/v_Ballet_id_zPQp-Re-PlA_start_101.0_label_1.mp4
228.0348579883576	2.012209892272949	127.0	-1.0	2.56972599029541	Rock_climbing/v_Rock_climbing_id_jni8pQK1EoA_start_6.5_label_1.mp4
232.03401589393616	2.0121068954467773	151.0	1.0	2.354569911956787	Sumo/v_Sumo_id_SnhfnJvu2vc_start_91.5_label_1.mp4
236.0334749221801	2.012791872024536	113.0	-1.0	2.3151230812072754	Playing_violin/v_Playing_violin_id_uVUyACDTZy8_start_44.0_label_1.mp4
