onset	duration	sample	stimuli	name	response_time	value
5.761	0	5762	ALLIGATO	DIN1	831	1
11.261	0	11262	APPLE	DIN1	821	1
16.761	0	16762	ARM	DIN1	623	1
22.261	0	22262	Scrambled	DIN1	-1	1
26.761	0	26762	TELEVISI	DIN1	844	1
32.259	0	32260	Scrambled	DIN1	-1	1
37.76	0	37761	BEAR	DIN1	734	1
42.26	0	42261	BED	DIN1	985	1
47.76	0	47761	BELL	DIN1	765	1
52.26	0	52261	BENCH	DIN1	744	1
57.76	0	57761	Scrambled	DIN1	-1	1
62.26	0	62261	BRAIN	DIN1	Rien	0
66.76	0	66761	Scrambled	DIN1	-1	1
71.26	0	71261	CACTUS	DIN1	1005	1
75.76	0	75761	CATERPIL	DIN1	Rien	0
81.259	0	81260	Scrambled	DIN1	-1	1
86.759	0	86760	Scrambled	DIN1	-1	1
92.259	0	92260	DINOSAUR	DIN1	1120	1
96.759	0	96760	DOLPHIN	DIN1	1054	1
102.259	0	102260	EAR	DIN1	894	1
107.759	0	107760	LADDER	DIN1	939	1
113.259	0	113260	Scrambled	DIN1	-1	1
117.759	0	117760	Scrambled	DIN1	-1	1
123.259	0	123260	Scrambled	DIN1	-1	1
127.759	0	127760	FOOT	DIN1	879	1
132.259	0	132260	FOX	DIN1	786	1
137.759	0	137760	GARBAGEC	DIN1	937	1
143.259	0	143260	Scrambled	DIN1	-1	1
147.759	0	147760	HAMMER	DIN1	902	1
153.258	0	153259	TURTLE	DIN1	690	1
157.758	0	157759	Scrambled	DIN1	-1	1
162.258	0	162259	HIPPOPOT	DIN1	1052	1
166.758	0	166759	HOUSE	DIN1	905	1
171.258	0	171259	IGLOO	DIN1	1018	1
175.758	0	175759	JELLYFIS	DIN1	1415	1
180.258	0	180259	KANGAROO	DIN1	1453	1
185.758	0	185759	EYE	DIN1	857	1
191.258	0	191259	Scrambled	DIN1	-1	1
195.757	0	195758	LAMP	DIN1	806	1
201.257	0	201258	Scrambled	DIN1	-1	1
205.757	0	205758	WHALE	DIN1	1800	1
211.257	0	211258	Scrambled	DIN1	-1	1
216.757	0	216758	MOTORCYC	DIN1	910	1
221.257	0	221258	MOUNTAIN	DIN1	1249	1
225.757	0	225758	MOUSE	DIN1	720	1
230.257	0	230258	MUSHROOM	DIN1	917	1
235.757	0	235758	NOSE	DIN1	863	1
