onset	duration	stim_file
0	4	n/a
0.4	4	n/a
0.8	4	n/a
1.2	4	n/a
1.6	4	n/a
2	4	n/a
2.4	4	n/a
2.8	4	n/a
3.2	4	n/a
3.6	4	n/a
4	4	n/a
4.4	4	floc/stim_file/house/house-22.jpg
4.8	4	floc/stim_file/house/house-120.jpg
5.2	4	floc/stim_file/house/house-56.jpg
5.6	4	floc/stim_file/house/house-86.jpg
6	4	floc/stim_file/house/house-110.jpg
6.4	4	floc/stim_file/house/house-92.jpg
6.8	4	floc/stim_file/house/house-55.jpg
7.2	4	floc/stim_file/house/house-10.jpg
7.6	4	floc/stim_file/house/house-82.jpg
8	4	floc/stim_file/house/house-1.jpg
8.4	4	n/a
8.8	4	n/a
9.2	4	n/a
9.6	4	n/a
10	4	n/a
10.4	4	n/a
10.8	4	n/a
11.2	4	n/a
11.6	4	n/a
12	4	n/a
12.4	4	n/a
12.8	4	n/a
13.2	4	n/a
13.6	4	n/a
14	4	n/a
14.4	4	n/a
14.8	4	n/a
15.2	4	n/a
15.6	4	n/a
16	4	n/a
16.4	4	floc/stim_file/limb/limb-115.jpg
16.8	4	floc/stim_file/limb/limb-124.jpg
17.2	4	floc/stim_file/limb/limb-108.jpg
17.6	4	floc/stim_file/limb/limb-92.jpg
18	4	floc/stim_file/limb/limb-123.jpg
18.4	4	floc/stim_file/limb/limb-121.jpg
18.8	4	floc/stim_file/limb/limb-121.jpg
19.2	4	floc/stim_file/limb/limb-51.jpg
19.6	4	floc/stim_file/limb/limb-125.jpg
20	4	floc/stim_file/limb/limb-131.jpg
20.4	4	floc/stim_file/instrument/instrument-124.jpg
20.8	4	floc/stim_file/instrument/instrument-25.jpg
21.2	4	floc/stim_file/instrument/instrument-138.jpg
21.6	4	floc/stim_file/instrument/instrument-135.jpg
22	4	floc/stim_file/instrument/instrument-122.jpg
22.4	4	floc/stim_file/instrument/instrument-21.jpg
22.8	4	floc/stim_file/instrument/instrument-108.jpg
23.2	4	floc/stim_file/instrument/instrument-27.jpg
23.6	4	floc/stim_file/instrument/instrument-125.jpg
24	4	floc/stim_file/instrument/instrument-28.jpg
24.4	4	floc/stim_file/child/child-132.jpg
24.8	4	floc/stim_file/child/child-8.jpg
25.2	4	floc/stim_file/child/child-52.jpg
25.6	4	floc/stim_file/child/child-39.jpg
26	4	floc/stim_file/child/child-20.jpg
26.4	4	floc/stim_file/child/child-112.jpg
26.8	4	floc/stim_file/child/child-104.jpg
27.2	4	floc/stim_file/child/child-11.jpg
27.6	4	floc/stim_file/child/child-46.jpg
28	4	floc/stim_file/child/child-103.jpg
28.4	4	floc/stim_file/body/body-82.jpg
28.8	4	floc/stim_file/body/body-121.jpg
29.2	4	floc/stim_file/body/body-105.jpg
29.6	4	floc/stim_file/body/body-102.jpg
30	4	floc/stim_file/body/body-56.jpg
30.4	4	floc/stim_file/body/body-29.jpg
30.8	4	floc/stim_file/body/body-83.jpg
31.2	4	floc/stim_file/body/body-26.jpg
31.6	4	floc/stim_file/body/body-1.jpg
32	4	floc/stim_file/body/body-48.jpg
32.4	4	n/a
32.8	4	n/a
33.2	4	n/a
33.6	4	n/a
34	4	n/a
34.4	4	n/a
34.8	4	n/a
35.2	4	n/a
35.6	4	n/a
36	4	n/a
36.4	4	floc/stim_file/car/car-67.jpg
36.8	4	floc/stim_file/car/car-37.jpg
37.2	4	floc/stim_file/car/car-108.jpg
37.6	4	floc/stim_file/car/car-140.jpg
38	4	floc/stim_file/car/car-103.jpg
38.4	4	floc/stim_file/car/car-63.jpg
38.8	4	floc/stim_file/car/car-63.jpg
39.2	4	floc/stim_file/car/car-113.jpg
39.6	4	floc/stim_file/car/car-125.jpg
40	4	floc/stim_file/car/car-98.jpg
40.4	4	floc/stim_file/adult/adult-98.jpg
40.8	4	floc/stim_file/adult/adult-135.jpg
41.2	4	floc/stim_file/adult/adult-35.jpg
41.6	4	floc/stim_file/adult/adult-138.jpg
42	4	floc/stim_file/adult/adult-46.jpg
42.4	4	floc/stim_file/adult/adult-89.jpg
42.8	4	floc/stim_file/adult/adult-123.jpg
43.2	4	floc/stim_file/adult/adult-72.jpg
43.6	4	floc/stim_file/adult/adult-82.jpg
44	4	floc/stim_file/adult/adult-121.jpg
44.4	4	floc/stim_file/limb/limb-46.jpg
44.8	4	floc/stim_file/limb/limb-20.jpg
45.2	4	floc/stim_file/limb/limb-84.jpg
45.6	4	floc/stim_file/limb/limb-26.jpg
46	4	floc/stim_file/limb/limb-107.jpg
46.4	4	floc/stim_file/limb/limb-103.jpg
46.8	4	floc/stim_file/limb/limb-105.jpg
47.2	4	floc/stim_file/limb/limb-105.jpg
47.6	4	floc/stim_file/limb/limb-128.jpg
48	4	floc/stim_file/limb/limb-88.jpg
48.4	4	floc/stim_file/instrument/instrument-101.jpg
48.8	4	floc/stim_file/instrument/instrument-92.jpg
