onset	duration	condition	target	response	acc	rt	stimuli
5.0	0.5	1	1	1	1	463	2
17.100000000000001	0.5	3	1	1	1	527	17
22.100000000000001	0.5	3	1	1	1	516	22
27.100000000000001	0.5	4	2	2	1	604	2
34.100000000000001	0.5	3	1	1	1	486	25
44.100000000000001	0.5	1	1	1	1	565	1
54.100000000000001	0.5	6	2	2	1	600	22
64.099999999999994	0.5	3	1	1	1	531	26
70.0	0.5	2	1	1	1	675	9
77.099999999999994	0.5	3	1	1	1	549	24
86.099999999999994	0.5	6	2	2	1	510	17
98.099999999999994	0.5	5	2	2	1	510	25
106.09999999999999	0.5	2	1	1	1	532	10
112.0	0.5	4	2	2	1	452	1
120.09999999999999	0.5	3	1	1	1	491	21
132.09999999999999	0.5	3	1	1	1	624	32
140.09999999999999	0.5	5	2	1	0	491	26
147.0	0.5	1	1	1	1	563	4
155.0	0.5	3	1	1	1	681	23
164.0	0.5	6	2	2	1	733	9
173.09999999999999	0.5	6	2	2	1	873	10
179.09999999999999	0.5	2	1	1	1	906	13
188.09999999999999	0.5	6	2	2	1	756	24
197.0	0.5	3	1	1	1	709	27
205.0	0.5	6	2	2	1	534	21
212.09999999999999	0.5	1	1	1	1	626	7
218.09999999999999	0.5	3	1	1	1	675	28
224.09999999999999	0.5	6	2	2	1	587	23
235.0	0.5	5	2	2	1	645	32
245.0	0.5	2	1	1	1	559	16
255.09999999999999	0.5	5	2	2	1	619	27
267.0	0.5	4	2	2	1	778	4
272.10000000000002	0.5	1	1	1	1	440	5
279.0	0.5	6	2	2	1	917	13
285.0	0.5	3	1	1	1	482	30
292.10000000000002	0.5	4	2	2	1	579	7
298.10000000000002	0.5	1	1	1	1	507	8
309.0	0.5	3	1	1	1	539	31
320.0	0.5	2	1	1	1	543	14
328.10000000000002	0.5	5	2	2	1	594	28
339.0	0.5	6	2	1	0	658	16
347.10000000000002	0.5	5	2	2	1	637	30
353.10000000000002	0.5	2	1	1	1	614	15
358.10000000000002	0.5	4	2	2	1	530	8
370.10000000000002	0.5	5	2	2	1	796	31
375.0	0.5	4	2	2	1	553	5
385.0	0.5	3	1	1	1	779	20
395.10000000000002	0.5	6	2	2	1	663	14
403.10000000000002	0.5	1	1	1	1	586	6
408.10000000000002	0.5	3	1	1	1	572	29
415.10000000000002	0.5	6	2	2	1	581	15
427.0	0.5	6	2	1	0	700	18
432.10000000000002	0.5	3	1	1	1	955	19
443.10000000000002	0.5	1	1	1	1	979	3
452.10000000000002	0.5	6	2	2	1	876	20
459.10000000000002	0.5	5	2	2	1	678	29
468.10000000000002	0.5	6	2	2	1	934	19
479.0	0.5	2	1	1	1	574	12
490.10000000000002	0.5	4	2	2	1	622	6
499.0	0.5	4	2	2	1	557	3
510.10000000000002	0.5	2	1	1	1	632	11
522.10000000000002	0.5	6	2	2	1	533	12
527.10000000000002	0.5	3	1	2	0	757	18
539.0	0.5	6	2	2	1	524	11
