onset	duration	value	accuracy	response_time	trial_type
4.013	7.387	E	1	2146	vowcon_na
11.499	7.901	e	1	1364	vowcon_repeat
19.5	6.4	T	1	1227	vowcon_repeat
26.002	3.898	a	1	1109	vowcon_repeat
30.003	4.897	R	1	1164	upplow_switch
35.005	8.895	E	1	1218	upplow_repeat
44.008	4.392	T	1	1479	vowcon_switch
48.509	5.391	A	1	1130	vowcon_repeat
54.01	6.39	u	1	1885	upplow_switch
60.512	6.888	U	1	1167	vowcon_switch
67.499	7.901	F	1	1371	vowcon_repeat
75.5	9.4	t	1	1618	upplow_switch
85.003	5.397	I	1	1267	vowcon_switch
90.504	5.896	U	1	1454	upplow_switch
96.506	9.394	t	1	1500	vowcon_switch
106.009	5.391	M	1	1109	vowcon_repeat
111.51	5.89	R	1	1080	upplow_switch
117.512	3.888	M	1	950	upplow_repeat
121.513	5.887	r	1	1397	vowcon_switch
127.499	6.401	T	1	1019	upplow_switch
134	5.9	e	1	878	upplow_repeat
140.002	3.398	I	1	1028	upplow_repeat
143.503	8.397	R	1	1175	upplow_repeat
152.005	6.895	A	1	1488	vowcon_switch
159.007	9.393	R	1	878	upplow_switch
168.51	6.39	F	1	887	upplow_repeat
175.012	7.388	+	NA	0	_fix
182.499	5.901	a	1	906	upplow_repeat
188.499	8.901	E	1	1570	vowcon_switch
197.502	4.398	r	1	1919	vowcon_repeat
202.003	6.897	f	1	1106	vowcon_repeat
209.005	6.395	i	1	1056	upplow_switch
215.507	3.393	m	1	978	vowcon_switch
219.008	5.392	u	1	1380	vowcon_repeat
224.509	8.891	I	1	903	vowcon_repeat
233.512	6.388	e	1	1244	vowcon_repeat
239.999	4.401	+	NA	0	_fix
244.499	4.401	a	1	1337	upplow_switch
249	5.9	I	1	1236	upplow_repeat
255.001	6.899	r	1	1803	vowcon_switch
262.003	8.397	r	1	1281	upplow_switch
270.506	7.894	f	1	890	upplow_repeat
278.508	3.892	u	0	1360	vowcon_switch
282.509	4.891	m	1	1239	upplow_switch
287.511	5.389	r	1	1236	upplow_repeat
293.012	8.388	F	1	1239	vowcon_switch
301.499	3.401	R	1	960	upplow_switch
304.999	5.901	u	1	932	upplow_repeat
311.001	4.899	a	1	962	upplow_repeat
316.002	6.898	e	1	1129	vowcon_switch
323.004	6.396	m	1	999	vowcon_repeat
329.506	7.894	E	1	921	upplow_switch
337.509	7.391	+	NA	0	_fix
345.011	4.889	A	1	1240	upplow_repeat
350.012	6.388	E	1	1110	upplow_repeat
356.499	8.901	r	1	1440	vowcon_switch
365.5	5.4	i	1	1014	upplow_switch
371.001	6.899	f	1	809	upplow_repeat
378.003	9.397	+	NA	0	_fix
387.506	8.394	u	1	792	upplow_repeat
396.009	7.391	i	1	1121	vowcon_switch
403.511	7.389	R	1	1483	vowcon_repeat
411.013	6.887	M	1	941	upplow_switch
417.999	3.901	t	1	843	upplow_repeat
421.999	7.401	A	1	1131	vowcon_switch
429.502	3.398	+	NA	0	_fix
