onset	duration	value	accuracy	response_time	trial_type
3.999	1.801	X	1	729	first_go
5.899	1.801	X	1	405	first_go
7.799	1.601	X	1	449	first_go
9.499	1.401	X	1	405	first_go
10.999	1.801	R	0	833	first_nogo
12.9	1.4	J	1	0	first_nogo
14.4	1.3	X	1	520	first_go
15.801	1.299	X	1	470	first_go
17.201	1.599	X	1	454	first_go
18.901	1.599	S	1	0	first_nogo
20.602	1.798	X	1	549	first_go
22.502	1.298	X	1	585	first_go
23.903	1.597	C	1	0	first_nogo
25.603	1.497	X	1	412	first_go
27.204	1.296	X	1	387	first_go
28.604	1.796	X	1	395	first_go
30.505	1.395	X	1	462	first_go
32.005	1.195	X	1	378	first_go
33.306	1.194	X	1	365	first_go
34.606	1.594	X	1	353	first_go
36.306	1.594	X	1	413	first_go
38.007	1.493	X	1	344	first_go
39.607	1.293	X	1	352	first_go
41.008	1.592	X	1	327	first_go
42.708	1.392	G	1	0	first_nogo
44.209	1.791	X	1	494	first_go
46.109	1.391	+	NA	0	first_fix
47.61	1.49	X	1	453	first_go
49.21	1.39	X	1	389	first_go
50.711	1.489	X	1	352	first_go
52.311	1.689	N	1	0	first_nogo
54.112	1.588	+	NA	0	first_fix
55.812	1.788	X	1	419	first_go
57.713	1.587	X	1	398	first_go
59.413	1.387	X	1	410	first_go
60.914	1.786	+	NA	0	first_fix
62.799	1.401	X	1	408	first_go
64.299	1.601	X	1	540	first_go
65.999	1.801	X	1	360	first_go
67.899	1.401	X	1	323	first_go
69.399	1.801	X	1	384	first_go
71.3	1.7	X	1	347	first_go
73.1	1.7	X	1	299	first_go
74.901	1.299	+	NA	0	first_fix
76.301	1.599	X	1	402	first_go
78.002	1.198	X	1	317	first_go
79.302	1.298	X	1	417	first_go
80.703	1.197	X	1	288	first_go
82.003	1.397	J	0	252	first_nogo
83.503	1.797	+	NA	0	first_fix
85.404	1.696	X	1	442	first_go
87.204	1.396	X	1	410	first_go
88.705	1.295	X	1	318	first_go
90.105	1.195	X	1	366	first_go
91.406	1.194	X	1	304	first_go
92.706	1.194	X	1	420	first_go
94.006	1.294	X	1	312	first_go
95.407	1.593	X	1	335	first_go
97.107	1.293	+	NA	0	first_fix
98.508	1.392	+	NA	0	first_fix
100.008	1.192	X	1	366	first_go
101.308	1.392	E	0	282	first_nogo
102.809	1.691	X	1	437	first_go
104.609	1.391	X	1	549	first_go
106.11	1.49	X	1	280	first_go
107.71	1.29	A	0	272	first_nogo
109.111	1.789	T	1	0	first_nogo
111.011	1.589	X	1	347	first_go
112.712	1.488	X	1	342	first_go
114.312	1.788	X	1	342	first_go
116.213	1.487	X	1	473	first_go
117.813	1.187	H	1	0	first_nogo
119.114	1.186	C	1	0	first_nogo
120.399	1.401	X	1	351	first_go
121.899	1.201	X	1	347	first_go
123.199	1.501	M	0	295	first_nogo
124.799	1.201	X	1	375	first_go
126.099	1.501	L	1	0	first_nogo
127.699	1.701	X	1	387	first_go
129.5	1.4	X	1	466	first_go
131	1.8	L	1	0	first_nogo
132.901	1.599	X	1	473	first_go
134.601	1.699	I	1	0	first_nogo
136.402	1.598	X	1	372	first_go
138.102	1.398	X	1	352	first_go
139.603	1.297	X	1	339	first_go
141.003	1.797	X	1	371	first_go
142.904	1.496	X	1	470	first_go
144.504	1.596	R	1	0	first_nogo
146.205	1.495	X	1	409	first_go
147.805	1.195	X	1	337	first_go
149.106	1.694	T	1	0	first_nogo
150.906	1.294	X	1	340	first_go
152.306	1.494	B	1	0	first_nogo
153.907	1.793	X	1	403	first_go
155.807	1.393	H	1	0	first_nogo
157.308	1.292	X	1	377	first_go
158.708	1.492	X	1	586	first_go
160.309	1.791	X	1	352	first_go
162.209	1.391	X	1	373	first_go
163.71	1.49	S	1	0	first_nogo
165.31	1.69	U	1	0	first_nogo
167.111	1.289	X	1	454	first_go
168.511	1.489	+	NA	0	first_fix
170.112	1.388	X	1	421	first_go
171.612	1.288	X	1	297	first_go
173.012	1.488	X	1	321	first_go
174.613	1.387	Q	1	0	first_nogo
176.113	1.287	N	1	0	first_nogo
177.514	1.686	X	1	507	first_go
179.299	1.601	P	1	0	first_nogo
180.999	1.201	X	1	382	first_go
182.299	1.801	+	NA	0	first_fix
184.199	1.201	D	1	0	first_nogo
185.499	1.701	X	1	378	first_go
187.3	1.4	X	1	393	first_go
188.8	1.4	X	1	333	first_go
190.301	1.499	X	1	400	first_go
191.901	1.699	X	1	304	first_go
193.702	1.198	+	NA	0	first_fix
195.002	1.798	X	1	363	first_go
196.903	1.297	X	1	302	first_go
198.303	1.297	D	1	0	first_nogo
199.703	1.497	O	1	0	first_nogo
201.304	1.696	I	1	0	first_nogo
203.104	1.296	X	1	461	first_go
204.505	1.795	E	1	0	first_nogo
206.405	1.595	X	1	376	first_go
208.106	1.394	X	1	387	first_go
209.606	1.794	X	1	343	first_go
211.507	1.693	X	1	394	first_go
213.307	1.793	X	1	450	first_go
215.208	1.392	P	1	0	first_nogo
216.708	1.792	X	1	465	first_go
218.609	1.591	X	1	412	first_go
220.309	1.591	X	1	440	first_go
222.01	1.69	O	1	0	first_nogo
223.81	1.59	+	NA	0	first_fix
225.511	1.689	X	1	366	first_go
227.311	1.689	X	1	462	first_go
229.112	1.388	X	1	396	first_go
230.612	1.388	X	1	416	first_go
232.113	1.687	X	1	347	first_go
233.913	1.787	X	1	395	first_go
235.799	1.501	X	1	398	first_go
237.399	1.301	X	1	461	first_go
238.799	1.401	X	1	302	first_go
240.299	1.201	B	1	0	first_nogo
241.599	1.301	X	1	461	first_go
242.999	1.201	+	NA	0	first_fix
244.3	1.6	M	1	0	first_nogo
246	1.8	X	1	436	first_go
247.901	1.299	X	1	375	first_go
249.301	1.499	X	1	351	first_go
250.901	1.199	X	1	319	first_go
252.202	1.698	Q	1	0	first_nogo
254.002	1.398	X	1	362	first_go
255.503	1.597	X	1	421	first_go
257.203	1.597	X	1	345	first_go
258.904	1.696	F	1	0	first_nogo
260.704	1.296	G	1	0	first_nogo
262.105	1.495	X	1	339	first_go
263.705	1.495	A	1	0	first_nogo
265.306	1.294	X	1	354	first_go
266.706	1.694	X	1	442	first_go
268.507	1.593	X	1	289	first_go
270.207	1.193	X	1	261	first_go
271.507	1.393	U	1	0	first_nogo
273.008	1.292	X	1	340	first_go
274.408	1.192	X	1	396	first_go
275.709	1.491	F	1	0	first_nogo
277.309	1.691	X	1	359	first_go
279.11	1.49	J	1	0	second_nogo
280.71	1.59	X	1	414	second_go
282.411	1.289	C	1	0	second_nogo
283.811	1.489	C	1	0	second_nogo
285.411	1.289	F	1	0	second_nogo
286.812	1.488	X	1	400	second_go
288.412	1.588	+	NA	0	second_fix
290.113	1.587	+	NA	0	second_fix
291.813	1.187	F	1	0	second_nogo
293.114	1.186	M	1	0	second_nogo
294.399	1.501	I	1	0	second_nogo
295.999	1.201	H	1	0	second_nogo
297.299	1.701	I	1	0	second_nogo
299.099	1.701	U	1	0	second_nogo
300.899	1.401	B	1	0	second_nogo
302.4	1.2	X	1	380	second_go
303.7	1.2	Q	1	0	second_nogo
305	1.8	T	1	0	second_nogo
306.901	1.499	T	1	0	second_nogo
308.501	1.699	L	1	0	second_nogo
310.302	1.298	X	1	526	second_go
311.702	1.198	X	1	461	second_go
313.003	1.797	X	1	368	second_go
314.903	1.697	X	1	476	second_go
316.704	1.196	D	1	0	second_nogo
318.004	1.396	R	1	0	second_nogo
319.505	1.395	F	1	0	second_nogo
321.005	1.295	U	1	0	second_nogo
322.405	1.695	X	1	406	second_go
324.206	1.794	O	1	0	second_nogo
326.106	1.294	P	1	0	second_nogo
327.507	1.493	D	1	0	second_nogo
329.107	1.793	X	1	456	second_go
331.008	1.492	R	1	0	second_nogo
332.608	1.192	J	1	0	second_nogo
333.909	1.591	X	1	422	second_go
335.609	1.191	G	1	0	second_nogo
336.91	1.59	X	1	453	second_go
338.61	1.39	C	1	0	second_nogo
340.11	1.59	S	1	0	second_nogo
341.811	1.789	S	1	0	second_nogo
343.711	1.789	M	1	0	second_nogo
345.612	1.188	E	1	0	second_nogo
346.912	1.688	X	1	419	second_go
348.713	1.487	X	1	410	second_go
350.313	1.687	B	1	0	second_nogo
352.099	1.301	Q	1	0	second_nogo
353.499	1.501	M	1	0	second_nogo
355.099	1.801	O	1	0	second_nogo
356.999	1.301	X	1	460	second_go
358.399	1.401	X	1	476	second_go
359.899	1.601	N	1	0	second_nogo
361.6	1.3	+	NA	0	second_fix
363	1.4	X	1	435	second_go
364.501	1.599	A	1	0	second_nogo
366.201	1.499	+	NA	0	second_fix
367.802	1.298	D	1	0	second_nogo
369.202	1.398	E	1	0	second_nogo
370.703	1.697	H	1	0	second_nogo
372.503	1.597	X	1	444	second_go
374.204	1.496	A	1	0	second_nogo
375.804	1.696	A	1	0	second_nogo
377.605	1.495	+	NA	0	second_fix
379.205	1.595	R	1	0	second_nogo
380.905	1.695	N	1	0	second_nogo
382.706	1.794	N	1	0	second_nogo
384.607	1.693	G	1	0	second_nogo
386.407	1.693	O	1	0	second_nogo
388.208	1.692	P	1	0	second_nogo
390.008	1.192	S	1	0	second_nogo
391.308	1.192	E	1	0	second_nogo
392.609	1.291	P	1	0	second_nogo
394.009	1.491	+	NA	0	second_fix
395.61	1.49	U	1	0	second_nogo
397.21	1.59	I	1	0	second_nogo
398.911	1.489	X	1	563	second_go
400.511	1.189	X	1	467	second_go
401.811	1.789	J	1	0	second_nogo
403.712	1.788	T	1	0	second_nogo
405.613	1.187	Q	1	0	second_nogo
406.913	1.487	X	1	425	second_go
408.513	1.487	G	1	0	second_nogo
410.099	1.701	L	1	0	second_nogo
411.899	1.201	B	1	0	second_nogo
413.199	1.801	H	1	0	second_nogo
415.099	1.601	L	1	0	second_nogo
