onset	duration	value	accuracy	response_time	trial_type
6.003	1.6	+	NA	0	OneBack_fix
7.62	1.984	Q	NA	0	OneBack_na
9.621	1.883	C	1	786	OneBack_NonTarget
11.521	1.784	C	0	0	OneBack_Target
13.322	1.383	F	1	965	OneBack_NonTarget
14.722	1.484	T	1	725	OneBack_NonTarget
16.223	1.883	W	1	456	OneBack_NonTarget
18.123	1.884	H	1	396	OneBack_NonTarget
20.024	1.883	H	1	703	OneBack_Target
21.924	1.784	H	0	0	OneBack_Target
23.725	1.583	R	1	626	OneBack_NonTarget
25.325	1.784	+	NA	0	OneBack_fix
27.126	1.683	Q	1	865	OneBack_NonTarget
28.826	1.984	P	1	533	OneBack_NonTarget
30.827	1.883	P	1	668	OneBack_Target
32.727	1.584	K	1	736	OneBack_NonTarget
34.328	1.683	H	1	479	OneBack_NonTarget
36.028	1.984	H	1	675	OneBack_Target
38.029	1.583	+	NA	0	OneBack_fix
39.629	1.784	K	1	705	OneBack_NonTarget
41.43	1.783	K	1	864	OneBack_Target
43.23	1.684	H	1	680	OneBack_NonTarget
44.931	1.483	W	1	691	OneBack_NonTarget
46.431	1.684	T	1	519	OneBack_NonTarget
48.132	1.483	W	1	978	OneBack_NonTarget
49.632	1.984	W	1	758	OneBack_Target
51.633	1.483	S	1	557	OneBack_NonTarget
53.133	1.784	T	1	593	OneBack_NonTarget
54.934	1.683	+	NA	0	OneBack_fix
56.634	1.384	M	1	612	OneBack_NonTarget
58.035	1.483	M	1	715	OneBack_Target
59.535	1.484	P	1	519	OneBack_NonTarget
61.036	1.483	P	1	682	OneBack_Target
62.536	1.383	G	1	494	OneBack_NonTarget
63.936	1.384	Z	1	558	OneBack_NonTarget
65.337	1.983	V	1	485	OneBack_NonTarget
67.337	1.484	V	1	781	OneBack_Target
68.838	1.683	N	1	559	OneBack_NonTarget
70.538	1.884	B	1	676	OneBack_NonTarget
72.439	1.783	T	1	583	OneBack_NonTarget
74.239	1.984	T	1	503	OneBack_Target
