onset	duration	sample	trial_type	value
0	0.001	1	New Segment	n/a
0.02	0.001	21	Comment	Active Shielding: On
25.338	0.001	25339	Stimulus	S  4
25.836	0.001	25837	Stimulus	S 14
27.347	0.001	27348	Stimulus	S 24
28.206	0.001	28207	Stimulus	S 34
28.687	0.001	28688	Stimulus	S 44
30.636	0.001	30637	Stimulus	S 54
31.646	0.001	31647	Stimulus	S  2
32.226	0.001	32227	Stimulus	S 12
33.736	0.001	33737	Stimulus	S 22
35.155	0.001	35156	Stimulus	S 32
35.756	0.001	35757	Stimulus	S 42
39.794	0.001	39795	Stimulus	S 52
40.816	0.001	40817	Stimulus	S  5
41.365	0.001	41366	Stimulus	S 15
42.874	0.001	42875	Stimulus	S 25
44.184	0.001	44185	Stimulus	S 35
44.645	0.001	44646	Stimulus	S 45
48.653	0.001	48654	Stimulus	S 55
49.674	0.001	49675	Stimulus	S  1
50.264	0.001	50265	Stimulus	S 11
51.774	0.001	51775	Stimulus	S 21
53.303	0.001	53304	Stimulus	S 31
53.733	0.001	53734	Stimulus	S 41
55.722	0.001	55723	Stimulus	S 51
56.744	0.001	56745	Stimulus	S  3
57.162	0.001	57163	Stimulus	S 13
58.673	0.001	58674	Stimulus	S 23
60.852	0.001	60853	Stimulus	S 33
61.393	0.001	61394	Stimulus	S 43
65.521	0.001	65522	Stimulus	S 53
66.542	0.001	66543	Stimulus	S  6
67.142	0.001	67143	Stimulus	S 16
68.652	0.001	68653	Stimulus	S 26
69.64	0.001	69641	Stimulus	S 36
70.242	0.001	70243	Stimulus	S 46
71.14	0.001	71141	Stimulus	S 56
72.161	0.001	72162	Stimulus	S  4
72.731	0.001	72732	Stimulus	S 14
74.241	0.001	74242	Stimulus	S 24
76.559	0.001	76560	Stimulus	S 34
77.01	0.001	77011	Stimulus	S 44
79.019	0.001	79020	Stimulus	S 54
80.039	0.001	80040	Stimulus	S  1
80.65	0.001	80651	Stimulus	S 11
82.159	0.001	82160	Stimulus	S 21
83.318	0.001	83319	Stimulus	S 31
83.889	0.001	83890	Stimulus	S 41
85.828	0.001	85829	Stimulus	S 51
86.849	0.001	86850	Stimulus	S  3
87.308	0.001	87309	Stimulus	S 13
88.822	0.001	88823	Stimulus	S 23
89.957	0.001	89958	Stimulus	S 33
90.558	0.001	90559	Stimulus	S 43
92.597	0.001	92598	Stimulus	S 53
