onset	duration	trial_type	response_time	"response"""
8.511	0.2	Congruent	0.412	"Correct"""
10.969	0.2	Incongruent	0.731	"Commission"""
15.198	0.2	Incongruent	0.574	"Correct"""
17.488	0.2	Congruent	0.374	"Correct"""
19.829	0.2	Congruent	0.395	"Correct"""
22.236	0.2	Incongruent	0.259	"Commission"""
28.438	0.2	Incongruent	0.55	"Correct"""
30.895	0.2	Congruent	0.455	"Correct"""
35.124	0.2	Congruent	0.376	"Correct"""
37.381	0.2	Incongruent	0.569	"Correct"""
39.822	0.2	Congruent	0.457	"Correct"""
42.145	0.2	Congruent	0.392	"Correct"""
44.586	0.2	Incongruent	0.472	"Correct"""
46.893	0.2	Congruent	0.396	"Correct"""
49.116	0.2	Congruent	0.479	"Correct"""
53.396	0.2	Incongruent	0.607	"Correct"""
55.887	0.2	Congruent	0.349	"Correct"""
58.177	0.2	Incongruent	0.415	"Commission"""
60.601	0.2	Incongruent	0.358	"Commission"""
64.997	0.2	Congruent	0.459	"Correct"""
67.237	0.2	Incongruent	0.461	"Correct"""
69.661	0.2	Congruent	0.348	"Correct"""
71.901	0.2	Incongruent	0.465	"Correct"""
74.191	0.2	Congruent	0.376	"Correct"""
76.649	0.2	Congruent	0.371	"Correct"""
78.956	0.2	Congruent	0.436	"Correct"""
81.346	0.2	Incongruent	0.374	"Commission"""
83.636	0.2	Incongruent	0.753	"Commission"""
86.094	0.2	Congruent	0.375	"Correct"""
88.585	0.2	Incongruent	0.588	"Correct"""
91.008	0.2	Incongruent	0.466	"Correct"""
93.299	0.2	Incongruent	0.584	"Correct"""
95.622	0.2	Congruent	0.461	"Correct"""
101.791	0.2	Incongruent	0.755	"Correct"""
104.165	0.2	Congruent	0.506	"Correct"""
108.594	0.2	Incongruent	0.577	"Correct"""
117.404	0.2	Congruent	0.432	"Correct"""
119.795	0.2	Incongruent	0.384	"Commission"""
122.118	0.2	Congruent	0.456	"Correct"""
124.576	0.2	Congruent	0.36	"Correct"""
127.067	0.2	Congruent	0.447	"Correct"""
129.373	0.2	Incongruent	0.403	"Correct"""
131.847	0.2	Incongruent	0.345	"Commission"""
134.255	0.2	Incongruent	0.457	"Correct"""
136.511	0.2	Congruent	0.397	"Correct"""
138.952	0.2	Incongruent	0.489	"Correct"""
141.393	0.2	Incongruent	0.437	"Correct"""
143.716	0.2	Congruent	0.455	"Correct"""
146.224	0.2	Incongruent	0.455	"Commission"""
148.598	0.2	Congruent	0.385	"Correct"""
150.955	0.2	Congruent	0.353	"Correct"""
155.251	0.2	Incongruent	0.531	"Correct"""
157.541	0.2	Congruent	0.501	"Correct"""
159.982	0.2	Incongruent	0.413	"Correct"""
162.289	0.2	Congruent	0.471	"Correct"""
164.562	0.2	Congruent	0.554	"Correct"""
168.842	0.2	Congruent	0.547	"Correct"""
171.282	0.2	Incongruent	0.49	"Correct"""
177.384	0.2	Congruent	0.387	"Correct"""
179.858	0.2	Incongruent	0.484	"Correct"""
182.081	0.2	Incongruent	0.307	"Commission"""
184.405	0.2	Incongruent	0.463	"Correct"""
188.551	0.2	Congruent	0.39	"Correct"""
190.858	0.2	Congruent	0.506	"Correct"""
193.282	0.2	Congruent	0.428	"Correct"""
197.578	0.2	Incongruent	0.434	"Commission"""
200.052	0.2	Incongruent	0.459	"Correct"""
202.509	0.2	Congruent	0.516	"Correct"""
206.705	0.2	Incongruent	0.382	"Correct"""
209.112	0.2	Congruent	0.398	"Correct"""
211.469	0.2	Incongruent	0.404	"Correct"""
213.776	0.2	Incongruent	0.453	"Correct"""
230.242	0.2	Incongruent	0.485	"Commission"""
232.683	0.2	Incongruent	0.5	"Correct"""
235.023	0.2	Incongruent	0.481	"Commission"""
239.219	0.2	Congruent	0.453	"Correct"""
241.66	0.2	Incongruent	0.502	"Correct"""
244.117	0.2	Congruent	0.443	"Correct"""
246.357	0.2	Incongruent	0.346	"Commission"""
250.553	0.2	Congruent	0.433	"Correct"""
252.86	0.2	Incongruent	0.51	"Correct"""
257.173	0.2	Incongruent	0.523	"Correct"""
259.547	0.2	Congruent	0.41	"Correct"""
263.943	0.2	Congruent	0.419	"Correct"""
266.317	0.2	Incongruent	0.353	"Commission"""
268.691	0.2	Congruent	0.464	"Correct"""
271.165	0.2	Congruent	0.343	"Correct"""
273.455	0.2	Congruent	0.373	"Commission"""
275.729	0.2	Incongruent	0.346	"Commission"""
278.052	0.2	Congruent	0.434	"Correct"""
282.432	0.2	Congruent	0.331	"Commission"""
286.762	0.2	Incongruent	0.633	"Correct"""
289.286	0.2	Congruent	0.516	"Correct"""
293.582	0.2	Congruent	0.417	"Correct"""
295.889	0.2	Congruent	0.617	"Correct"""
298.179	0.2	Incongruent	0.669	"Correct"""
300.653	0.2	Incongruent	0.37	"Commission"""
302.893	0.2	Congruent	0.26	"Commission"""
305.301	0.2	Incongruent	0.412	"Commission"""
307.541	0.2	Congruent	0.393	"Correct"""
310.015	0.2	Congruent	0.0	"Omission"""
312.422	0.2	Incongruent	0.0	"Omission"""
314.863	0.2	Incongruent	0.317	"Correct"""
317.169	0.2	Congruent	0.411	"Correct"""
319.476	0.2	Congruent	0.384	"Correct"""
321.833	0.2	Incongruent	0.444	"Correct"""
324.241	0.2	Incongruent	0.453	"Correct"""
326.514	0.2	Incongruent	0.488	"Correct"""
