onset	duration	trial_type	response_time	"response"""
8.355	0.2	Congruent	0.0	"Omission"""
10.678	0.2	Incongruent	0.765	"Correct"""
13.085	0.2	Incongruent	0.311	"Correct"""
15.376	0.2	Incongruent	0.271	"Correct"""
21.661	0.2	Congruent	0.388	"Correct"""
25.807	0.2	Congruent	0.483	"Correct"""
28.131	0.2	Incongruent	0.376	"Correct"""
30.421	0.2	Incongruent	0.549	"Correct"""
32.795	0.2	Congruent	0.0	"Omission"""
35.252	0.2	Congruent	0.338	"Correct"""
37.509	0.2	Congruent	0.326	"Correct"""
39.983	0.2	Congruent	0.295	"Commission"""
42.323	0.2	Incongruent	0.524	"Correct"""
44.613	0.2	Congruent	0.402	"Correct"""
47.054	0.2	Congruent	0.252	"Correct"""
49.461	0.2	Incongruent	0.294	"Correct"""
51.868	0.2	Incongruent	0.315	"Commission"""
54.159	0.2	Incongruent	0.35	"Correct"""
56.465	0.2	Incongruent	0.608	"Commission"""
62.584	0.2	Incongruent	0.426	"Commission"""
64.891	0.2	Congruent	0.582	"Correct"""
67.365	0.2	Incongruent	0.447	"Correct"""
69.739	0.2	Incongruent	0.727	"Correct"""
72.229	0.2	Congruent	0.397	"Correct"""
74.67	0.2	Congruent	0.554	"Correct"""
77.027	0.2	Congruent	0.0	"Omission"""
79.501	0.2	Incongruent	0.0	"Omission"""
82.009	0.2	Congruent	0.404	"Correct"""
84.316	0.2	Incongruent	0.537	"Correct"""
88.578	0.2	Incongruent	0.456	"Correct"""
90.802	0.2	Incongruent	0.359	"Commission"""
93.192	0.2	Congruent	0.442	"Correct"""
99.394	0.2	Congruent	0.0	"Omission"""
101.818	0.2	Congruent	0.417	"Correct"""
104.209	0.2	Incongruent	0.55	"Correct"""
106.699	0.2	Congruent	0.305	"Correct"""
117.431	0.2	Congruent	0.388	"Correct"""
119.906	0.2	Congruent	0.468	"Correct"""
124.068	0.2	Incongruent	0.377	"Commission"""
126.392	0.2	Incongruent	0.485	"Commission"""
128.766	0.2	Incongruent	0.399	"Commission"""
133.078	0.2	Congruent	0.483	"Correct"""
137.391	0.2	Incongruent	0.594	"Correct"""
139.765	0.2	Incongruent	0.432	"Correct"""
142.072	0.2	Incongruent	0.485	"Correct"""
144.513	0.2	Congruent	0.389	"Correct"""
148.725	0.2	Congruent	0.484	"Correct"""
150.999	0.2	Incongruent	0.504	"Commission"""
153.356	0.2	Congruent	0.508	"Correct"""
155.813	0.2	Congruent	0.918	"Correct"""
158.187	0.2	Incongruent	0.479	"Correct"""
160.544	0.2	Congruent	0.456	"Correct"""
162.851	0.2	Incongruent	0.461	"Correct"""
165.258	0.2	Incongruent	0.0	"Omission"""
167.715	0.2	Congruent	0.0	"Omission"""
169.939	0.2	Congruent	0.0	"Omission"""
172.329	0.2	Incongruent	0.0	"Omission"""
174.62	0.2	Congruent	0.0	"Omission"""
177.144	0.2	Incongruent	0.0	"Omission"""
179.635	0.2	Congruent	0.33	"Correct"""
181.941	0.2	Incongruent	0.49	"Correct"""
186.087	0.2	Congruent	0.443	"Correct"""
188.344	0.2	Incongruent	0.498	"Correct"""
190.768	0.2	Congruent	0.346	"Correct"""
193.075	0.2	Incongruent	0.523	"Correct"""
195.549	0.2	Congruent	0.462	"Correct"""
198.006	0.2	Congruent	0.294	"Correct"""
202.202	0.2	Incongruent	0.615	"Correct"""
204.492	0.2	Congruent	0.429	"Correct"""
212.617	0.2	Congruent	0.544	"Correct"""
215.074	0.2	Incongruent	0.0	"Omission"""
217.548	0.2	Incongruent	0.502	"Correct"""
226.575	0.2	Congruent	0.465	"Correct"""
229.016	0.2	Congruent	0.335	"Correct"""
231.323	0.2	Incongruent	0.571	"Correct"""
233.63	0.2	Incongruent	0.482	"Correct"""
236.054	0.2	Incongruent	0.354	"Correct"""
238.411	0.2	Incongruent	0.61	"Correct"""
240.868	0.2	Incongruent	0.557	"Correct"""
243.342	0.2	Congruent	0.562	"Correct"""
247.672	0.2	Incongruent	0.399	"Commission"""
249.928	0.2	Incongruent	0.51	"Correct"""
252.286	0.2	Incongruent	0.43	"Correct"""
254.592	0.2	Congruent	0.332	"Correct"""
260.711	0.2	Congruent	0.445	"Correct"""
263.034	0.2	Incongruent	0.452	"Correct"""
265.308	0.2	Congruent	0.936	"Commission"""
267.598	0.2	Congruent	0.0	"Omission"""
269.972	0.2	Congruent	0.0	"Omission"""
272.429	0.2	Incongruent	0.0	"Omission"""
274.887	0.2	Incongruent	0.0	"Omission"""
277.311	0.2	Incongruent	0.0	"Omission"""
279.617	0.2	Congruent	0.369	"Correct"""
283.914	0.2	Incongruent	0.606	"Correct"""
286.338	0.2	Congruent	0.508	"Correct"""
288.828	0.2	Congruent	0.41	"Correct"""
291.135	0.2	Congruent	0.493	"Correct"""
293.509	0.2	Congruent	0.429	"Correct"""
295.883	0.2	Congruent	0.509	"Correct"""
298.173	0.2	Incongruent	0.493	"Correct"""
302.336	0.2	Congruent	0.604	"Correct"""
310.293	0.2	Congruent	0.423	"Correct"""
314.455	0.2	Incongruent	0.416	"Commission"""
316.896	0.2	Congruent	0.476	"Correct"""
319.387	0.2	Incongruent	0.275	"Correct"""
321.777	0.2	Congruent	0.0	"Omission"""
324.234	0.2	Incongruent	0.583	"Correct"""
326.558	0.2	Incongruent	0.533	"Correct"""
