onset	duration	trial_type	response_time	"response"""
8.479	0.2	Incongruent	0.595	"Correct"""
12.691	0.2	Incongruent	0.494	"Correct"""
15.032	0.2	Congruent	0.341	"Correct"""
19.261	0.2	Incongruent	0.495	"Commission"""
21.735	0.2	Incongruent	0.464	"Correct"""
24.009	0.2	Incongruent	0.703	"Correct"""
26.315	0.2	Incongruent	0.528	"Correct"""
28.723	0.2	Congruent	0.351	"Correct"""
30.979	0.2	Congruent	0.509	"Correct"""
33.27	0.2	Incongruent	0.303	"Commission"""
35.593	0.2	Congruent	0.446	"Correct"""
39.974	0.2	Incongruent	0.546	"Correct"""
42.447	0.2	Congruent	0.638	"Correct"""
44.888	0.2	Congruent	0.5	"Correct"""
47.195	0.2	Incongruent	0.617	"Commission"""
49.535	0.2	Incongruent	0.468	"Correct"""
51.992	0.2	Congruent	0.318	"Correct"""
54.299	0.2	Congruent	0.446	"Correct"""
58.612	0.2	Congruent	0.425	"Correct"""
61.086	0.2	Incongruent	0.316	"Commission"""
63.46	0.2	Incongruent	0.317	"Commission"""
65.901	0.2	Congruent	0.391	"Correct"""
68.375	0.2	Congruent	0.607	"Correct"""
72.521	0.2	Congruent	0.409	"Correct"""
76.817	0.2	Incongruent	0.627	"Correct"""
80.996	0.2	Incongruent	0.552	"Correct"""
83.504	0.2	Incongruent	0.385	"Correct"""
85.81	0.2	Incongruent	0.293	"Commission"""
88.201	0.2	Incongruent	0.492	"Correct"""
92.347	0.2	Congruent	0.476	"Correct"""
94.737	0.2	Congruent	0.35	"Commission"""
97.027	0.2	Incongruent	0.342	"Commission"""
99.468	0.2	Congruent	0.405	"Correct"""
103.798	0.2	Congruent	0.618	"Correct"""
106.171	0.2	Congruent	0.437	"Correct"""
108.579	0.2	Congruent	0.39	"Correct"""
117.556	0.2	Incongruent	0.443	"Commission"""
119.812	0.2	Incongruent	0.414	"Commission"""
125.964	0.2	Congruent	0.549	"Correct"""
128.271	0.2	Congruent	0.496	"Correct"""
130.545	0.2	Congruent	0.537	"Correct"""
132.918	0.2	Incongruent	0.571	"Commission"""
135.225	0.2	Incongruent	0.445	"Correct"""
137.733	0.2	Congruent	0.426	"Correct"""
140.04	0.2	Incongruent	0.432	"Correct"""
142.346	0.2	Incongruent	0.338	"Commission"""
144.821	0.2	Incongruent	0.324	"Correct"""
147.061	0.2	Congruent	0.342	"Correct"""
149.368	0.2	Congruent	0.369	"Correct"""
151.791	0.2	Incongruent	0.495	"Commission"""
156.004	0.2	Congruent	0.41	"Correct"""
158.261	0.2	Congruent	0.405	"Correct"""
162.624	0.2	Incongruent	0.393	"Correct"""
166.82	0.2	Incongruent	0.476	"Commission"""
169.194	0.2	Incongruent	0.442	"Correct"""
173.44	0.2	Congruent	0.532	"Correct"""
175.93	0.2	Congruent	0.49	"Correct"""
180.243	0.2	Congruent	0.0	"Omission"""
182.701	0.2	Incongruent	0.0	"Omission"""
185.125	0.2	Congruent	0.0	"Omission"""
187.381	0.2	Incongruent	0.428	"Correct"""
189.688	0.2	Congruent	0.302	"Commission"""
192.129	0.2	Incongruent	0.479	"Correct"""
194.503	0.2	Incongruent	0.327	"Correct"""
196.86	0.2	Incongruent	0.304	"Correct"""
201.189	0.2	Congruent	0.398	"Correct"""
203.664	0.2	Incongruent	0.454	"Correct"""
206.054	0.2	Incongruent	0.416	"Correct"""
208.445	0.2	Congruent	0.286	"Correct"""
212.657	0.2	Congruent	0.397	"Correct"""
215.115	0.2	Congruent	0.369	"Correct"""
217.589	0.2	Congruent	0.413	"Correct"""
226.499	0.2	Congruent	0.371	"Correct"""
228.923	0.2	Incongruent	0.442	"Correct"""
231.246	0.2	Congruent	0.316	"Correct"""
233.536	0.2	Congruent	0.368	"Correct"""
237.883	0.2	Congruent	0.371	"Correct"""
242.263	0.2	Incongruent	0.517	"Correct"""
244.62	0.2	Congruent	0.365	"Correct"""
247.077	0.2	Incongruent	0.57	"Correct"""
249.384	0.2	Incongruent	0.608	"Correct"""
251.858	0.2	Incongruent	0.474	"Correct"""
256.137	0.2	Incongruent	0.617	"Correct"""
258.612	0.2	Congruent	0.499	"Correct"""
260.868	0.2	Incongruent	0.549	"Correct"""
263.225	0.2	Congruent	0.496	"Correct"""
267.588	0.2	Congruent	0.468	"Correct"""
273.64	0.2	Congruent	0.479	"Correct"""
278.037	0.2	Incongruent	0.529	"Commission"""
280.46	0.2	Incongruent	0.473	"Correct"""
284.589	0.2	Congruent	0.491	"Correct"""
286.846	0.2	Incongruent	0.484	"Correct"""
289.12	0.2	Congruent	0.45	"Correct"""
291.427	0.2	Incongruent	0.381	"Commission"""
293.834	0.2	Incongruent	0.543	"Commission"""
296.141	0.2	Congruent	0.758	"Correct"""
300.504	0.2	Incongruent	0.773	"Correct"""
302.894	0.2	Congruent	0.47	"Correct"""
305.352	0.2	Incongruent	0.536	"Correct"""
307.742	0.2	Congruent	0.416	"Correct"""
310.049	0.2	Incongruent	0.55	"Commission"""
312.456	0.2	Congruent	0.396	"Correct"""
314.746	0.2	Congruent	0.428	"Correct"""
317.07	0.2	Incongruent	0.482	"Correct"""
319.578	0.2	Congruent	0.572	"Correct"""
321.884	0.2	Incongruent	0.585	"Commission"""
324.308	0.2	Congruent	0.534	"Correct"""
326.615	0.2	Incongruent	0.907	"Correct"""
