onset	duration	sub-id	TR	run	trial_name	trial_type	cond_beh	cond_out	description
0	30	sub-05	0	1	baseline	0	0	0	0
30	180	sub-05	16	1	5A	5	random	random	Maggie – Random scenes 
210	30	sub-05	106	1	baseline	0	0	0	0
240	180	sub-05	121	1	2A	2	bad	negative	Sami found Austin still loves Carrie. 
420	30	sub-05	211	1	baseline	0	0	0	0
450	180	sub-05	226	1	1C	1	good	positive	Shawn proposed to Mimi. 
630	30	sub-05	316	1	baseline	0	0	0	0
660	180	sub-05	331	1	3B	3	good	negative	John looses Marlena to Alex 
840	30	sub-05	421	1	baseline	0	0	0	0
870	180	sub-05	436	1	4C	4	bad	positive	Lucas got back the account. 
1050	30	sub-05	526	1	baseline	0	0	0	0
