onset	duration	eventnumber	sequencenumber	condition	streamnumber	stimnumber	objectstimnumber	letterstimnumber	objecttarget	lettertarget	is2back	objectstim	letterstim	response	rt	correct	time_stimon	time_stimoff
83.937	0.2	0	0	1	9	0	1	12	0	0	0	stim002_stimuli_original_animals_birds_2.png	T	0	0	0	113.791697399982	113.991693999968
84.338	0.2	1	0	1	9	1	8	7	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	J	0	0	0	114.192141500011	114.391707199975
84.737	0.2	2	0	1	9	2	5	5	0	0	0	stim006_stimuli_original_animals_fish_2.png	F	0	0	0	114.59168979997	114.791684399999
85.137	0.2	3	0	1	9	3	14	14	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	V	0	0	0	114.991717599973	115.191695499991
85.537	0.2	4	0	1	9	4	4	6	1	0	0	stim005_stimuli_original_animals_fish_1.png	G	0	0	0	115.391710700002	115.591706199979
85.937	0.2	5	0	1	9	5	11	13	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	U	0	0	0	115.791718899971	115.991720399994
86.337	0.2	6	0	1	9	6	4	15	1	1	0	stim005_stimuli_original_animals_fish_1.png	Y	0	0	0	116.191728700011	116.391727500013
86.737	0.2	7	0	1	9	7	2	4	0	0	0	stim003_stimuli_original_animals_birds_3.png	E	0	0	0	116.591740600008	116.791738700005
87.137	0.2	8	0	1	9	8	3	15	0	1	1	stim004_stimuli_original_animals_birds_4.png	Y	0	0	0	116.991780199984	117.191749699996
87.537	0.2	9	0	1	9	9	13	3	0	0	0	stim014_stimuli_original_vehicles_planes_2.png	D	0	0	0	117.39178830001	117.591759199975
87.937	0.2	10	0	1	9	10	7	1	0	0	0	stim008_stimuli_original_animals_fish_4.png	B	NaN	117.784504499985	1	117.791769800009	117.991787999985
88.337	0.2	11	0	1	9	11	9	15	0	0	0	stim010_stimuli_original_vehicles_boats_2.png	Y	0	0	0	118.191780099995	118.391782000021
88.737	0.2	12	0	1	9	12	10	9	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	L	0	0	0	118.591791899991	118.791791399999
89.137	0.2	13	0	1	9	13	0	0	0	0	0	stim001_stimuli_original_animals_birds_1.png	A	0	0	0	118.991802499979	119.19180109998
89.537	0.2	14	0	1	9	14	15	11	0	0	0	stim016_stimuli_original_vehicles_planes_4.png	R	NaN	119.384514899983	0	119.391812899965	119.59196489997
89.937	0.2	15	0	1	9	15	4	8	0	0	0	stim005_stimuli_original_animals_fish_1.png	K	0	0	0	119.791825000022	119.991836500005
90.338	0.2	16	0	1	9	16	6	10	0	0	0	stim007_stimuli_original_animals_fish_3.png	Q	0	0	0	120.191834099998	120.391831099987
90.738	0.2	17	0	1	9	17	12	2	0	0	0	stim013_stimuli_original_vehicles_planes_1.png	C	0	0	0	120.591846099996	120.791843599989
91.138	0.2	18	0	1	9	18	2	12	0	0	0	stim003_stimuli_original_animals_birds_3.png	T	0	0	0	120.991855499975	121.191855299985
