onset	duration	trial_type	electrodes_involved_onset	electrodes_involved_offset	sample_start	sample_end	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_site_num	electrical_stimulation_current	notes	status	status_description
82.52587890625	0.0002	electrical_stimulation	n/a	n/a	169013	n/a	biphasic	LA1-LA2	1-2	6.0 mA	n/a	good	n/a
88.85498046875	0.0002	electrical_stimulation	n/a	n/a	181975	n/a	biphasic	LA1-LA2	1-2	6.0 mA	n/a	good	n/a
93.90185546875	0.0002	electrical_stimulation	n/a	n/a	192311	n/a	biphasic	LA1-LA2	1-2	6.0 mA	n/a	good	n/a
100.16796875	0.0002	electrical_stimulation	n/a	n/a	205144	n/a	biphasic	LA1-LA2	1-2	6.0 mA	n/a	good	n/a
106.19970703125	0.0002	electrical_stimulation	n/a	n/a	217497	n/a	biphasic	LA1-LA2	1-2	6.0 mA	n/a	good	artifact fixed when referencing to LO7
113.50830078125	0.0002	electrical_stimulation	n/a	n/a	232465	n/a	biphasic	LA1-LA2	1-2	6.0 mA	n/a	good	n/a
118.35205078125	0.0002	electrical_stimulation	n/a	n/a	242385	n/a	biphasic	LA1-LA2	1-2	6.0 mA	n/a	good	n/a
123.91943359375	0.0002	electrical_stimulation	n/a	n/a	253787	n/a	biphasic	LA1-LA2	1-2	6.0 mA	n/a	good	n/a
129.73779296875	0.0002	electrical_stimulation	n/a	n/a	265703	n/a	biphasic	LA1-LA2	1-2	6.0 mA	n/a	good	epileptic activity
137.41162109375	0.0002	electrical_stimulation	n/a	n/a	281419	n/a	biphasic	LA1-LA2	1-2	6.0 mA	n/a	good	n/a
143.21435546875	0.0002	electrical_stimulation	n/a	n/a	293303	n/a	biphasic	LA1-LA2	1-2	6.0 mA	n/a	good	Artifact after 2 secs
162.0830078125	0.0002	electrical_stimulation	n/a	n/a	331946	n/a	biphasic	LA2-LA3	2-3	6.0 mA	n/a	good	n/a
167.79248046875	0.0002	electrical_stimulation	n/a	n/a	343639	n/a	biphasic	LA2-LA3	2-3	6.0 mA	n/a	good	artifact after 2 secs
173.83935546875	0.0002	electrical_stimulation	n/a	n/a	356023	n/a	biphasic	LA2-LA3	2-3	6.0 mA	n/a	good	n/a
179.5634765625	0.0002	electrical_stimulation	n/a	n/a	367746	n/a	biphasic	LA2-LA3	2-3	6.0 mA	n/a	good	n/a
196.56396484375	0.0002	electrical_stimulation	n/a	n/a	402563	n/a	biphasic	LA2-LA3	2-3	6.0 mA	n/a	good	n/a
202.3505859375	0.0002	electrical_stimulation	n/a	n/a	414414	n/a	biphasic	LA2-LA3	2-3	6.0 mA	n/a	good	n/a
209.044921875	0.0002	electrical_stimulation	n/a	n/a	428124	n/a	biphasic	LA2-LA3	2-3	6.0 mA	n/a	good	n/a
214.96728515625	0.0002	electrical_stimulation	n/a	n/a	440253	n/a	biphasic	LA2-LA3	2-3	6.0 mA	n/a	good	n/a
220.95751953125	0.0002	electrical_stimulation	n/a	n/a	452521	n/a	biphasic	LA2-LA3	2-3	6.0 mA	n/a	good	n/a
351.31787109375	0.0002	electrical_stimulation	n/a	n/a	719499	n/a	biphasic	LB1-LB2	16-17	6.0 mA	n/a	good	n/a
356.65087890625	0.0002	electrical_stimulation	n/a	n/a	730421	n/a	biphasic	LB1-LB2	16-17	6.0 mA	n/a	good	n/a
361.81298828125	0.0002	electrical_stimulation	n/a	n/a	740993	n/a	biphasic	LB1-LB2	16-17	6.0 mA	n/a	good	n/a
365.94140625	0.0002	electrical_stimulation	n/a	n/a	749448	n/a	biphasic	LB1-LB2	16-17	6.0 mA	n/a	good	n/a
373.99658203125	0.0002	electrical_stimulation	n/a	n/a	765945	n/a	biphasic	LB1-LB2	16-17	6.0 mA	n/a	good	n/a
381.44580078125	0.0002	electrical_stimulation	n/a	n/a	781201	n/a	biphasic	LB1-LB2	16-17	6.0 mA	n/a	good	n/a
393.03564453125	0.0002	electrical_stimulation	n/a	n/a	804937	n/a	biphasic	LB1-LB2	16-17	6.0 mA	n/a	good	n/a
401.251953125	0.0002	electrical_stimulation	n/a	n/a	821764	n/a	biphasic	LB1-LB2	16-17	6.0 mA	n/a	good	n/a
407.4140625	0.0002	electrical_stimulation	n/a	n/a	834384	n/a	biphasic	LB1-LB2	16-17	6.0 mA	n/a	good	n/a
