onset	duration	trial	value	instruction
6476	5	1	1	rest
11411	2	1	2	ready
13403	6	1	3	task
19408	3	1	4	interval
22844	4	2	1	rest
27207	2	2	2	ready
28832	6	2	3	task
34407	3	2	4	interval
37106	4	3	1	rest
41403	2	3	2	ready
43405	6	3	3	task
49407	3	3	4	interval
51961	5	4	1	rest
56411	2	4	2	ready
58408	6	4	3	task
64408	3	4	4	interval
66962	4	5	1	rest
71409	2	5	2	ready
73407	6	5	3	task
79408	3	5	4	interval
81961	5	6	1	rest
86413	2	6	2	ready
88402	6	6	3	task
94403	3	6	4	interval
96969	4	7	1	rest
101413	2	7	2	ready
103403	6	7	3	task
109407	3	7	4	interval
111962	5	8	1	rest
116413	2	8	2	ready
118409	6	8	3	task
124408	3	8	4	interval
127115	4	9	1	rest
131413	2	9	2	ready
133404	6	9	3	task
139405	3	9	4	interval
142000	4	10	1	rest
146421	2	10	2	ready
148407	6	10	3	task
154405	3	10	4	interval
