onset	duration	trial_type	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_exemplar_nr	response_time	file_path
3.0	0.5	test	562	13	81.0	1438.0	13.0	n/a	shredder/shredder_13s.jpg
7.5	0.5	exp	405	8	n/a	1018.0	8.0	n/a	monkey/monkey_08s.jpg
12.0	0.5	exp	93	8	n/a	217.0	8.0	n/a	bullet/bullet_08n.jpg
16.5	0.5	exp	597	8	n/a	1535.0	8.0	n/a	stalagmite/stalagmite_08s.jpg
21.0	0.5	exp	297	8	n/a	735.0	8.0	n/a	hairbrush/hairbrush_08s.jpg
25.5	0.5	test	440	13	72.0	1104.0	14.0	n/a	pan/pan_14s.jpg
30.0	0.5	exp	671	8	n/a	1728.0	8.0	n/a	tumbleweed/tumbleweed_08n.jpg
34.5	0.5	exp	624	8	n/a	1609.0	8.0	n/a	table/table_08s.jpg
39.0	0.5	catch	721	9	n/a	n/a	n/a	0.833	catch009.jpg
43.5	0.5	exp	204	8	n/a	492.0	8.0	n/a	dishwasher/dishwasher_08s.jpg
48.0	0.5	exp	98	8	n/a	226.0	8.0	n/a	burrito/burrito_08s.jpg
52.5	0.5	exp	275	8	n/a	684.0	8.0	n/a	goalpost/goalpost_08s.jpg
57.0	0.5	test	630	13	89.0	1619.0	16.0	n/a	tamale/tamale_16s.jpg
61.5	0.5	exp	551	8	n/a	1407.0	8.0	n/a	sewing_kit/sewing_kit_08s.jpg
66.0	0.5	exp	83	8	n/a	196.0	8.0	n/a	breadbox/breadbox_08s.jpg
70.5	0.5	exp	377	8	n/a	946.0	8.0	n/a	lollipop/lollipop_08s.jpg
75.0	0.5	exp	412	8	n/a	1027.0	8.0	n/a	mouse1/mouse1_08s.jpg
79.5	0.5	test	312	13	49.0	776.0	25.0	n/a	helicopter/helicopter_25s.jpg
84.0	0.5	exp	295	8	n/a	724.0	8.0	n/a	guitar/guitar_08s.jpg
88.5	0.5	test	707	13	100.0	1817.0	13.0	n/a	wig/wig_13s.jpg
93.0	0.5	exp	591	8	n/a	1520.0	8.0	n/a	spoon/spoon_08s.jpg
97.5	0.5	catch	721	53	n/a	n/a	n/a	0.873	catch053.jpg
102.0	0.5	exp	241	8	n/a	579.0	8.0	n/a	ferret/ferret_08s.jpg
106.5	0.5	exp	600	8	n/a	1542.0	8.0	n/a	starfish/starfish_08s.jpg
111.0	0.5	catch	721	34	n/a	n/a	n/a	0.778	catch034.jpg
115.5	0.5	exp	352	8	n/a	892.0	8.0	n/a	lamp/lamp_08s.jpg
120.0	0.5	exp	349	8	n/a	885.0	8.0	n/a	koala/koala_08s.jpg
124.5	0.5	exp	542	8	n/a	1377.0	8.0	n/a	scarecrow/scarecrow_08s.jpg
129.0	0.5	exp	413	8	n/a	1030.0	8.0	n/a	mousetrap/mousetrap_08s.jpg
133.5	0.5	exp	557	8	n/a	1423.0	8.0	n/a	shirt/shirt_08s.jpg
138.0	0.5	exp	115	8	n/a	261.0	8.0	n/a	cannon/cannon_08s.jpg
142.5	0.5	exp	150	8	n/a	353.0	8.0	n/a	clay/clay_08s.jpg
147.0	0.5	exp	484	8	n/a	1219.0	8.0	n/a	pom-pom/pom-pom_08s.jpg
151.5	0.5	exp	59	8	n/a	137.0	8.0	n/a	blanket/blanket_08s.jpg
156.0	0.5	catch	721	95	n/a	n/a	n/a	0.768	catch095.jpg
160.5	0.5	exp	88	8	n/a	206.0	8.0	n/a	brush/brush_08s.jpg
165.0	0.5	exp	333	8	n/a	841.0	8.0	n/a	jar/jar_08s.jpg
169.5	0.5	exp	183	8	n/a	442.0	8.0	n/a	crib/crib_08s.jpg
174.0	0.5	exp	666	8	n/a	1709.0	8.0	n/a	tree/tree_08s.jpg
178.5	0.5	exp	370	8	n/a	934.0	8.0	n/a	lion/lion_08s.jpg
183.0	0.5	exp	330	8	n/a	833.0	8.0	n/a	iron/iron_08s.jpg
187.5	0.5	exp	503	8	n/a	1257.0	8.0	n/a	punching_bag/punching_bag_08s.jpg
192.0	0.5	exp	34	8	n/a	76.0	8.0	n/a	barnacle/barnacle_08s.jpg
196.5	0.5	catch	721	74	n/a	n/a	n/a	0.778	catch074.jpg
201.0	0.5	exp	109	8	n/a	249.0	8.0	n/a	camera2/camera2_08s.jpg
205.5	0.5	exp	162	8	n/a	390.0	8.0	n/a	comb/comb_08s.jpg
210.0	0.5	catch	721	21	n/a	n/a	n/a	0.864	catch021.jpg
214.5	0.5	exp	205	8	n/a	496.0	8.0	n/a	dog/dog_08s.jpg
219.0	0.5	exp	136	8	n/a	317.0	8.0	n/a	cherry/cherry_08s.jpg
223.5	0.5	exp	357	8	n/a	909.0	8.0	n/a	lectern/lectern_08s.jpg
228.0	0.5	exp	246	8	n/a	597.0	8.0	n/a	firetruck/firetruck_08s.jpg
232.5	0.5	exp	102	8	n/a	236.0	8.0	n/a	cactus/cactus_08n.jpg
237.0	0.5	exp	636	8	n/a	1644.0	8.0	n/a	tent/tent_08n.jpg
241.5	0.5	test	52	13	13.0	124.0	14.0	n/a	bike/bike_14s.jpg
246.0	0.5	exp	466	8	n/a	1172.0	8.0	n/a	pigeon/pigeon_08s.jpg
250.5	0.5	exp	130	8	n/a	302.0	8.0	n/a	chalice/chalice_08s.jpg
255.0	0.5	exp	441	8	n/a	1105.0	8.0	n/a	pancake/pancake_08s.jpg
259.5	0.5	exp	520	8	n/a	1305.0	8.0	n/a	revolver/revolver_08s.jpg
264.0	0.5	exp	218	8	n/a	520.0	8.0	n/a	dresser/dresser_08s.jpg
268.5	0.5	exp	539	8	n/a	1371.0	8.0	n/a	scaffolding/scaffolding_08s.jpg
273.0	0.5	exp	579	8	n/a	1490.0	8.0	n/a	sock/sock_08s.jpg
277.5	0.5	exp	423	8	n/a	1058.0	8.0	n/a	net/net_08s.jpg
282.0	0.5	exp	137	8	n/a	318.0	8.0	n/a	chess_piece/chess_piece_08s.jpg
286.5	0.5	exp	631	8	n/a	1629.0	8.0	n/a	tarp/tarp_08s.jpg
291.0	0.5	catch	721	65	n/a	n/a	n/a	0.831	catch065.jpg
295.5	0.5	exp	646	8	n/a	1666.0	8.0	n/a	toast/toast_08s.jpg
300.0	0.5	exp	693	8	n/a	1780.0	8.0	n/a	walrus/walrus_08s.jpg
304.5	0.5	exp	317	8	n/a	790.0	8.0	n/a	honeycomb/honeycomb_08s.jpg
309.0	0.5	exp	4	8	n/a	11.0	8.0	n/a	airplane/airplane_08n.jpg
313.5	0.5	exp	471	8	n/a	1186.0	8.0	n/a	pinwheel/pinwheel_08s.jpg
318.0	0.5	exp	640	8	n/a	1650.0	8.0	n/a	thimble/thimble_08n.jpg
322.5	0.5	exp	396	8	n/a	995.0	8.0	n/a	melon/melon_08s.jpg
327.0	0.5	test	337	13	58.0	853.0	14.0	n/a	joystick/joystick_14s.jpg
331.5	0.5	catch	721	80	n/a	n/a	n/a	0.874	catch080.jpg
336.0	0.5	exp	158	8	n/a	381.0	8.0	n/a	coffee_pot/coffee_pot_08s.jpg
340.5	0.5	exp	465	8	n/a	1171.0	8.0	n/a	pig/pig_08n.jpg
345.0	0.5	exp	43	8	n/a	108.0	8.0	n/a	beaver/beaver_08s.jpg
349.5	0.5	exp	586	8	n/a	1506.0	8.0	n/a	spareribs/spareribs_08n.jpg
354.0	0.5	exp	513	8	n/a	1286.0	8.0	n/a	rat/rat_08s.jpg
358.5	0.5	catch	721	60	n/a	n/a	n/a	0.807	catch060.jpg
363.0	0.5	test	680	13	95.0	1749.0	13.0	n/a	urinal/urinal_13s.jpg
367.5	0.5	exp	470	8	n/a	1185.0	8.0	n/a	ping-pong_table/ping-pong_table_08s.jpg
372.0	0.5	test	675	13	92.0	1742.0	13.0	n/a	typewriter/typewriter_13s.jpg
376.5	0.5	test	588	13	83.0	1510.0	16.0	n/a	speaker/speaker_16s.jpg
381.0	0.5	catch	721	78	n/a	n/a	n/a	0.796	catch078.jpg
385.5	0.5	exp	588	8	n/a	1510.0	8.0	n/a	speaker/speaker_08s.jpg
390.0	0.5	exp	459	8	n/a	1151.0	8.0	n/a	pepper1/pepper1_08s.jpg
394.5	0.5	exp	363	8	n/a	918.0	8.0	n/a	leopard/leopard_08s.jpg
399.0	0.5	exp	9	8	n/a	22.0	8.0	n/a	anchor/anchor_08s.jpg
403.5	0.5	exp	362	8	n/a	916.0	8.0	n/a	lemonade/lemonade_08s.jpg
408.0	0.5	exp	223	8	n/a	541.0	8.0	n/a	earring/earring_08n.jpg
412.5	0.5	exp	639	8	n/a	1649.0	8.0	n/a	thermostat/thermostat_08s.jpg
