onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	63.0	70.0
17.4574	0.0002	Stimulus/S128	2	87287	63.0	70.0
24.5346	0.0002	Stimulus/S128	2	122673	63.0	70.0
32.612	0.0002	Stimulus/S128	2	163060	63.0	70.0
40.6826	0.0002	Stimulus/S128	2	203413	63.0	70.0
46.7598	0.0002	Stimulus/S128	2	233799	63.0	70.0
52.823	0.0002	Stimulus/S128	2	264115	63.0	70.0
59.9004	0.0002	Stimulus/S128	2	299502	63.0	70.0
65.9706	0.0002	Stimulus/S128	2	329853	63.0	70.0
74.041	0.0002	Stimulus/S128	2	370205	63.0	70.0
81.1044	0.0002	Stimulus/S128	2	405522	63.0	70.0
88.1748	0.0002	Stimulus/S128	2	440874	63.0	70.0
96.2452	0.0002	Stimulus/S128	2	481226	63.0	70.0
104.3088	0.0002	Stimulus/S128	2	521544	63.0	70.0
110.379	0.0002	Stimulus/S128	2	551895	63.0	70.0
118.4426	0.0002	Stimulus/S128	2	592213	63.0	70.0
125.5268	0.0002	Stimulus/S128	2	627634	63.0	70.0
133.5974	0.0002	Stimulus/S128	2	667987	63.0	70.0
139.6606	0.0002	Stimulus/S128	2	698303	63.0	70.0
147.731	0.0002	Stimulus/S128	2	738655	63.0	70.0
155.8016	0.0002	Stimulus/S128	2	779008	63.0	70.0
163.872	0.0002	Stimulus/S128	2	819360	63.0	70.0
170.9356	0.0002	Stimulus/S128	2	854678	63.0	70.0
176.9988	0.0002	Stimulus/S128	2	884994	63.0	70.0
184.076	0.0002	Stimulus/S128	2	920380	63.0	70.0
192.1604	0.0002	Stimulus/S128	2	960802	63.0	70.0
199.2308	0.0002	Stimulus/S128	2	996154	63.0	70.0
207.3152	0.0002	Stimulus/S128	2	1036576	63.0	70.0
215.3856	0.0002	Stimulus/S128	2	1076928	63.0	70.0
222.4768	0.0002	Stimulus/S128	2	1112384	63.0	70.0
230.5544	0.0002	Stimulus/S128	2	1152772	63.0	70.0
237.6178	0.0002	Stimulus/S128	2	1188089	63.0	70.0
245.6814	0.0002	Stimulus/S128	2	1228407	63.0	70.0
251.7444	0.0002	Stimulus/S128	2	1258722	63.0	70.0
257.8148	0.0002	Stimulus/S128	2	1289074	63.0	70.0
263.885	0.0002	Stimulus/S128	2	1319425	63.0	70.0
270.9552	0.0002	Stimulus/S128	2	1354776	63.0	70.0
278.0256	0.0002	Stimulus/S128	2	1390128	63.0	70.0
285.096	0.0002	Stimulus/S128	2	1425480	63.0	70.0
291.1594	0.0002	Stimulus/S128	2	1455797	63.0	70.0
298.2228	0.0002	Stimulus/S128	2	1491114	63.0	70.0
304.307	0.0002	Stimulus/S128	2	1521535	63.0	70.0
311.3702	0.0002	Stimulus/S128	2	1556851	63.0	70.0
318.4336	0.0002	Stimulus/S128	2	1592168	63.0	70.0
324.497	0.0002	Stimulus/S128	2	1622485	63.0	70.0
332.5604	0.0002	Stimulus/S128	2	1662802	63.0	70.0
338.6306	0.0002	Stimulus/S128	2	1693153	63.0	70.0
344.708	0.0002	Stimulus/S128	2	1723540	63.0	70.0
350.7712	0.0002	Stimulus/S128	2	1753856	63.0	70.0
356.8414	0.0002	Stimulus/S128	2	1784207	63.0	70.0
364.905	0.0002	Stimulus/S128	2	1824525	63.0	70.0
371.9752	0.0002	Stimulus/S128	2	1859876	63.0	70.0
379.0456	0.0002	Stimulus/S128	2	1895228	63.0	70.0
385.1228	0.0002	Stimulus/S128	2	1925614	63.0	70.0
391.193	0.0002	Stimulus/S128	2	1955965	63.0	70.0
