onset	duration	sample	type	value	event
12.88	0	12881	STI101	5632	---
23.181	0	23182	STI101	5632	---
32.231	0	32232	STI101	5632	---
58.471	0	58472	STI101	5632	---
61.063	0	61064	STI101	1	Movie onset
61.063	0	61064	STI001	5	---
61.063	0	61064	Trigger	1	Movie onset
69.327	0	69328	STI101	6144	---
74.775	0	74776	STI101	1	Movie onset
74.775	0	74776	STI001	5	---
74.775	0	74776	Trigger	1	Movie onset
81.413	0	81414	STI101	5888	---
86.718	0	86719	STI101	1	Movie onset
86.718	0	86719	STI001	5	---
86.718	0	86719	Trigger	1	Movie onset
92.426	0	92427	STI101	5888	---
97.836	0	97837	STI101	1	Movie onset
97.836	0	97837	STI001	5	---
97.836	0	97837	Trigger	1	Movie onset
105.126	0	105127	STI101	6144	---
110.572	0	110573	STI101	1	Movie onset
110.572	0	110573	STI001	5	---
110.572	0	110573	Trigger	1	Movie onset
118.003	0	118004	STI101	6144	---
123.474	0	123475	STI101	1	Movie onset
123.474	0	123475	STI001	5	---
123.474	0	123475	Trigger	1	Movie onset
130.089	0	130090	STI101	6144	---
135.443	0	135444	STI101	1	Movie onset
135.443	0	135444	STI001	5	---
135.443	0	135444	Trigger	1	Movie onset
141.455	0	141456	STI101	5888	---
146.794	0	146795	STI101	1	Movie onset
146.794	0	146795	STI001	5	---
146.794	0	146795	Trigger	1	Movie onset
152.523	0	152524	STI101	5888	---
157.995	0	157996	STI101	1	Movie onset
157.995	0	157996	STI001	5	---
157.995	0	157996	Trigger	1	Movie onset
163.841	0	163842	STI101	6144	---
169.38	0	169381	STI101	1	Movie onset
169.38	0	169381	STI001	5	---
169.38	0	169381	Trigger	1	Movie onset
175.303	0	175304	STI101	6144	---
180.664	0	180665	STI101	1	Movie onset
180.664	0	180665	STI001	5	---
180.664	0	180665	Trigger	1	Movie onset
187.173	0	187174	STI101	5888	---
192.691	0	192692	STI101	1	Movie onset
192.691	0	192692	STI001	5	---
192.691	0	192692	Trigger	1	Movie onset
199.033	0	199034	STI101	5888	---
204.493	0	204494	STI101	1	Movie onset
204.493	0	204494	STI001	5	---
204.493	0	204494	Trigger	1	Movie onset
211.347	0	211348	STI101	6144	---
216.695	0	216696	STI101	1	Movie onset
216.695	0	216696	STI001	5	---
216.695	0	216696	Trigger	1	Movie onset
223.725	0	223726	STI101	5888	---
229.28	0	229281	STI101	1	Movie onset
229.28	0	229281	STI001	5	---
229.28	0	229281	Trigger	1	Movie onset
235.468	0	235469	STI101	5888	---
241.057	0	241058	STI101	1	Movie onset
241.057	0	241058	STI001	5	---
241.057	0	241058	Trigger	1	Movie onset
247.436	0	247437	STI101	5888	---
252.892	0	252893	STI101	1	Movie onset
252.892	0	252893	STI001	5	---
252.892	0	252893	Trigger	1	Movie onset
259.845	0	259846	STI101	6144	---
265.177	0	265178	STI101	1	Movie onset
265.177	0	265178	STI001	5	---
265.177	0	265178	Trigger	1	Movie onset
271.888	0	271889	STI101	5888	---
277.304	0	277305	STI101	1	Movie onset
277.304	0	277305	STI001	5	---
277.304	0	277305	Trigger	1	Movie onset
283.5	0	283501	STI101	5888	---
288.939	0	288940	STI101	1	Movie onset
288.939	0	288940	STI001	5	---
288.939	0	288940	Trigger	1	Movie onset
295.047	0	295048	STI101	5888	---
300.424	0	300425	STI101	1	Movie onset
300.424	0	300425	STI001	5	---
300.424	0	300425	Trigger	1	Movie onset
306.999	0	307000	STI101	5888	---
312.55	0	312551	STI101	1	Movie onset
312.55	0	312551	STI001	5	---
312.55	0	312551	Trigger	1	Movie onset
319.908	0	319909	STI101	5888	---
325.303	0	325304	STI101	1	Movie onset
325.303	0	325304	STI001	5	---
325.303	0	325304	Trigger	1	Movie onset
332.416	0	332417	STI101	5888	---
337.722	0	337723	STI101	1	Movie onset
337.722	0	337723	STI001	5	---
337.722	0	337723	Trigger	1	Movie onset
344.118	0	344119	STI101	6144	---
349.649	0	349650	STI101	1	Movie onset
349.649	0	349650	STI001	5	---
349.649	0	349650	Trigger	1	Movie onset
355.163	0	355164	STI101	6144	---
360.533	0	360534	STI101	1	Movie onset
360.533	0	360534	STI001	5	---
360.533	0	360534	Trigger	1	Movie onset
