onset	duration	sample	type	value	event
25.707	0	25708	STI101	5632	---
28.194	0	28195	STI101	32	Localiser Movie onset
28.194	0	28195	STI006	5	---
28.194	0	28195	Trigger	32	Localiser Movie onset
32.691	0	32692	STI101	5888	---
40.546	0	40547	STI101	32	Localiser Movie onset
40.546	0	40547	STI006	5	---
40.546	0	40547	Trigger	32	Localiser Movie onset
53.715	0	53716	STI101	32	Localiser Movie onset
53.715	0	53716	STI006	5	---
53.715	0	53716	Trigger	32	Localiser Movie onset
63.916	0	63917	STI101	32	Localiser Movie onset
63.916	0	63917	STI006	5	---
63.916	0	63917	Trigger	32	Localiser Movie onset
82.284	0	82285	STI101	1	Movie onset
82.284	0	82285	STI001	5	---
82.284	0	82285	Trigger	1	Movie onset
82.384	0	82385	STI101	3	---
82.384	0	82385	STI002	5	---
82.384	0	82385	Trigger	2	Cue onset
82.484	0	82485	STI101	6	---
82.484	0	82485	STI003	5	---
82.484	0	82485	Trigger	4	Sound1 onset
82.585	0	82586	STI101	12	---
82.585	0	82586	STI004	5	---
82.585	0	82586	Trigger	8	Sound2 onset
82.685	0	82686	STI101	24	---
82.685	0	82686	STI005	5	---
82.685	0	82686	Trigger	16	Probe response
82.785	0	82786	STI101	48	---
82.785	0	82786	STI006	5	---
82.785	0	82786	Trigger	32	Localiser Movie onset
82.885	0	82886	STI101	96	---
82.985	0	82986	STI101	192	---
94.742	0	94743	STI101	5632	---
97.186	0	97187	STI101	32	Localiser Movie onset
97.186	0	97187	STI006	5	---
97.186	0	97187	Trigger	32	Localiser Movie onset
101.199	0	101200	STI101	5888	---
101.703	0	101704	STI101	5888	---
109.496	0	109497	STI101	32	Localiser Movie onset
109.496	0	109497	STI006	5	---
109.496	0	109497	Trigger	32	Localiser Movie onset
122.774	0	122775	STI101	32	Localiser Movie onset
122.774	0	122775	STI006	5	---
122.774	0	122775	Trigger	32	Localiser Movie onset
175.457	0	175458	STI101	1	Movie onset
175.457	0	175458	STI001	5	---
175.457	0	175458	Trigger	1	Movie onset
175.557	0	175558	STI101	3	---
175.557	0	175558	STI002	5	---
175.557	0	175558	Trigger	2	Cue onset
175.657	0	175658	STI101	6	---
175.657	0	175658	STI003	5	---
175.657	0	175658	Trigger	4	Sound1 onset
175.758	0	175759	STI101	12	---
175.758	0	175759	STI004	5	---
175.758	0	175759	Trigger	8	Sound2 onset
175.859	0	175860	STI101	24	---
175.859	0	175860	STI005	5	---
175.859	0	175860	Trigger	16	Probe response
175.959	0	175960	STI101	48	---
175.959	0	175960	STI006	5	---
175.959	0	175960	Trigger	32	Localiser Movie onset
176.059	0	176060	STI101	96	---
176.159	0	176160	STI101	192	---
188.688	0	188689	STI101	32	Localiser Movie onset
188.688	0	188689	STI006	5	---
188.688	0	188689	Trigger	32	Localiser Movie onset
193.119	0	193120	STI101	5888	---
193.627	0	193628	STI101	5888	---
200.806	0	200807	STI101	32	Localiser Movie onset
200.806	0	200807	STI006	5	---
200.806	0	200807	Trigger	32	Localiser Movie onset
224.262	0	224263	STI101	5632	---
226.528	0	226529	STI101	32	Localiser Movie onset
226.528	0	226529	STI006	5	---
226.528	0	226529	Trigger	32	Localiser Movie onset
236.762	0	236763	STI101	32	Localiser Movie onset
236.762	0	236763	STI006	5	---
