onset	duration	sample	type	value	event
15.798	0	15799	STI101	5632	---
18.344	0	18345	STI101	1	Movie onset
18.344	0	18345	STI001	5	---
18.344	0	18345	Trigger	1	Movie onset
25.731	0	25732	STI101	6144	---
31.171	0	31172	STI101	1	Movie onset
31.171	0	31172	STI001	5	---
31.171	0	31172	Trigger	1	Movie onset
36.97	0	36971	STI101	5888	---
42.514	0	42515	STI101	1	Movie onset
42.514	0	42515	STI001	5	---
42.514	0	42515	Trigger	1	Movie onset
48.411	0	48412	STI101	6144	---
53.815	0	53816	STI101	1	Movie onset
53.815	0	53816	STI001	5	---
53.815	0	53816	Trigger	1	Movie onset
60.253	0	60254	STI101	6144	---
65.701	0	65702	STI101	1	Movie onset
65.701	0	65702	STI001	5	---
65.701	0	65702	Trigger	1	Movie onset
71.294	0	71295	STI101	5888	---
76.91	0	76911	STI101	1	Movie onset
76.91	0	76911	STI001	5	---
76.91	0	76911	Trigger	1	Movie onset
83.186	0	83187	STI101	6144	---
88.678	0	88679	STI101	1	Movie onset
88.678	0	88679	STI001	5	---
88.678	0	88679	Trigger	1	Movie onset
94.356	0	94357	STI101	5888	---
99.938	0	99939	STI101	1	Movie onset
99.938	0	99939	STI001	5	---
99.938	0	99939	Trigger	1	Movie onset
107.042	0	107043	STI101	6144	---
112.565	0	112566	STI101	1	Movie onset
112.565	0	112566	STI001	5	---
112.565	0	112566	Trigger	1	Movie onset
118.254	0	118255	STI101	5888	---
123.582	0	123583	STI101	1	Movie onset
123.582	0	123583	STI001	5	---
123.582	0	123583	Trigger	1	Movie onset
129.882	0	129883	STI101	5888	---
135.167	0	135168	STI101	1	Movie onset
135.167	0	135168	STI001	5	---
135.167	0	135168	Trigger	1	Movie onset
140.959	0	140960	STI101	5888	---
146.427	0	146428	STI101	1	Movie onset
146.427	0	146428	STI001	5	---
146.427	0	146428	Trigger	1	Movie onset
152.278	0	152279	STI101	6144	---
157.72	0	157721	STI101	1	Movie onset
157.72	0	157721	STI001	5	---
157.72	0	157721	Trigger	1	Movie onset
163.733	0	163734	STI101	5888	---
169.154	0	169155	STI101	1	Movie onset
169.154	0	169155	STI001	5	---
169.154	0	169155	Trigger	1	Movie onset
174.656	0	174657	STI101	6144	---
179.964	0	179965	STI101	1	Movie onset
179.964	0	179965	STI001	5	---
179.964	0	179965	Trigger	1	Movie onset
185.426	0	185427	STI101	5888	---
190.856	0	190857	STI101	1	Movie onset
190.856	0	190857	STI001	5	---
190.856	0	190857	Trigger	1	Movie onset
197.313	0	197314	STI101	5888	---
203.52	0	203521	STI101	5632	---
207.915	0	207916	STI101	6144	---
210.137	0	210138	STI101	5888	---
211.636	0	211637	STI101	6144	---
213.665	0	213666	STI101	5888	---
215.726	0	215727	STI101	6144	---
217.511	0	217512	STI101	5888	---
219.834	0	219835	STI101	6144	---
221.401	0	221402	STI101	6144	---
223.634	0	223635	STI101	6144	---
225.884	0	225885	STI101	5888	---
228.048	0	228049	STI101	5888	---
230.402	0	230403	STI101	6144	---
233.255	0	233256	STI101	5888	---
235.19	0	235191	STI101	6144	---
237.027	0	237028	STI101	6144	---
238.882	0	238883	STI101	5888	---
241.174	0	241175	STI101	6144	---
243.069	0	243070	STI101	5888	---
244.763	0	244764	STI101	6144	---
246.773	0	246774	STI101	6144	---
250.788	0	250789	STI101	5632	---
254.597	0	254598	STI101	5632	---
256.345	0	256346	STI101	2	Cue onset
256.345	0	256346	STI002	5	---
256.345	0	256346	Trigger	2	Cue onset
263.582	0	263583	STI101	5888	---
263.584	0	263585	STI101	5892	---
263.584	0	263585	STI003	5	---
263.584	0	263585	Trigger	4	Sound1 onset
269.6	0	269601	STI101	6144	---
269.602	0	269603	STI101	6152	---
269.602	0	269603	STI004	5	---
269.602	0	269603	Trigger	8	Sound2 onset
274.719	0	274720	STI101	16	Probe response
274.719	0	274720	STI005	5	---
274.719	0	274720	Trigger	16	Probe response
276.976	0	276977	STI101	5888	---
278.68	0	278681	STI101	2	Cue onset
278.68	0	278681	STI002	5	---
278.68	0	278681	Trigger	2	Cue onset
284.618	0	284619	STI101	5888	---
284.62	0	284621	STI101	5892	---
284.62	0	284621	STI003	5	---
284.62	0	284621	Trigger	4	Sound1 onset
290.239	0	290240	STI101	6144	---
290.241	0	290242	STI101	6152	---
290.241	0	290242	STI004	5	---
