onset	duration	sample	type	value	event
15.755	0	15756	STI101	5632	---
23.079	0	23080	STI101	5632	---
25.685	0	25686	STI101	1	Movie onset
25.685	0	25686	STI001	5	---
25.685	0	25686	Trigger	1	Movie onset
32.89	0	32891	STI101	6144	---
38.221	0	38222	STI101	1	Movie onset
38.221	0	38222	STI001	5	---
38.221	0	38222	Trigger	1	Movie onset
44.265	0	44266	STI101	5888	---
49.581	0	49582	STI101	1	Movie onset
49.581	0	49582	STI001	5	---
49.581	0	49582	Trigger	1	Movie onset
56.556	0	56557	STI101	5888	---
61.899	0	61900	STI101	1	Movie onset
61.899	0	61900	STI001	5	---
61.899	0	61900	Trigger	1	Movie onset
67.991	0	67992	STI101	5888	---
73.317	0	73318	STI101	1	Movie onset
73.317	0	73318	STI001	5	---
73.317	0	73318	Trigger	1	Movie onset
80.876	0	80877	STI101	6144	---
86.328	0	86329	STI101	1	Movie onset
86.328	0	86329	STI001	5	---
86.328	0	86329	Trigger	1	Movie onset
92.281	0	92282	STI101	5888	---
97.563	0	97564	STI101	1	Movie onset
97.563	0	97564	STI001	5	---
97.563	0	97564	Trigger	1	Movie onset
104.379	0	104380	STI101	5888	---
109.94	0	109941	STI101	1	Movie onset
109.94	0	109941	STI001	5	---
109.94	0	109941	Trigger	1	Movie onset
116.531	0	116532	STI101	5888	---
121.983	0	121984	STI101	1	Movie onset
121.983	0	121984	STI001	5	---
121.983	0	121984	Trigger	1	Movie onset
127.736	0	127737	STI101	6144	---
133.018	0	133019	STI101	1	Movie onset
133.018	0	133019	STI001	5	---
133.018	0	133019	Trigger	1	Movie onset
138.777	0	138778	STI101	5888	---
144.085	0	144086	STI101	1	Movie onset
144.085	0	144086	STI001	5	---
144.085	0	144086	Trigger	1	Movie onset
150.852	0	150853	STI101	6144	---
156.195	0	156196	STI101	1	Movie onset
156.195	0	156196	STI001	5	---
156.195	0	156196	Trigger	1	Movie onset
162.559	0	162560	STI101	6144	---
168.022	0	168023	STI101	1	Movie onset
168.022	0	168023	STI001	5	---
168.022	0	168023	Trigger	1	Movie onset
173.926	0	173927	STI101	5888	---
179.323	0	179324	STI101	1	Movie onset
179.323	0	179324	STI001	5	---
179.323	0	179324	Trigger	1	Movie onset
185.027	0	185028	STI101	6144	---
190.441	0	190442	STI101	1	Movie onset
190.441	0	190442	STI001	5	---
190.441	0	190442	Trigger	1	Movie onset
196.647	0	196648	STI101	5888	---
202.101	0	202102	STI101	1	Movie onset
202.101	0	202102	STI001	5	---
202.101	0	202102	Trigger	1	Movie onset
207.767	0	207768	STI101	6144	---
213.177	0	213178	STI101	1	Movie onset
213.177	0	213178	STI001	5	---
213.177	0	213178	Trigger	1	Movie onset
218.787	0	218788	STI101	5888	---
224.303	0	224304	STI101	1	Movie onset
224.303	0	224304	STI001	5	---
224.303	0	224304	Trigger	1	Movie onset
229.716	0	229717	STI101	6144	---
235.246	0	235247	STI101	1	Movie onset
235.246	0	235247	STI001	5	---
235.246	0	235247	Trigger	1	Movie onset
241.171	0	241172	STI101	5888	---
246.497	0	246498	STI101	1	Movie onset
246.497	0	246498	STI001	5	---
246.497	0	246498	Trigger	1	Movie onset
253.127	0	253128	STI101	5888	---
258.482	0	258483	STI101	1	Movie onset
258.482	0	258483	STI001	5	---
258.482	0	258483	Trigger	1	Movie onset
265.24	0	265241	STI101	5888	---
270.559	0	270560	STI101	1	Movie onset
270.559	0	270560	STI001	5	---
270.559	0	270560	Trigger	1	Movie onset
276.17	0	276171	STI101	5888	---
281.526	0	281527	STI101	1	Movie onset
281.526	0	281527	STI001	5	---
281.526	0	281527	Trigger	1	Movie onset
289.247	0	289248	STI101	5888	---
294.737	0	294738	STI101	1	Movie onset
294.737	0	294738	STI001	5	---
294.737	0	294738	Trigger	1	Movie onset
301.362	0	301363	STI101	5888	---
304.676	0	304677	STI101	5632	---
308.929	0	308930	STI101	6144	---
312.424	0	312425	STI101	6144	---
314.007	0	314008	STI101	5888	---
315.537	0	315538	STI101	5888	---
318.694	0	318695	STI101	6144	---
320.533	0	320534	STI101	6144	---
322.138	0	322139	STI101	5888	---
325.304	0	325305	STI101	6144	---
328.126	0	328127	STI101	5888	---
329.541	0	329542	STI101	6144	---
330.942	0	330943	STI101	6144	---
332.082	0	332083	STI101	6144	---
333.883	0	333884	STI101	6144	---
335.584	0	335585	STI101	5888	---
339.443	0	339444	STI101	5888	---
342.558	0	342559	STI101	5888	---
343.847	0	343848	STI101	6144	---
346.292	0	346293	STI101	6144	---
348.746	0	348747	STI101	6144	---
350.093	0	350094	STI101	5888	---
352.698	0	352699	STI101	5632	---
353.757	0	353758	STI101	5632	---
355.431	0	355432	STI101	2	Cue onset
355.431	0	355432	STI002	5	---
355.431	0	355432	Trigger	2	Cue onset
360.912	0	360913	STI101	5888	---
360.914	0	360915	STI101	5892	---
360.914	0	360915	STI003	5	---
360.914	0	360915	Trigger	4	Sound1 onset
366.255	0	366256	STI101	6144	---
366.256	0	366257	STI101	6152	---
366.256	0	366257	STI004	5	---
366.256	0	366257	Trigger	8	Sound2 onset
371.372	0	371373	STI101	16	Probe response
371.372	0	371373	STI005	5	---
371.372	0	371373	Trigger	16	Probe response
371.713	0	371714	STI101	5888	---
373.437	0	373438	STI101	2	Cue onset
373.437	0	373438	STI002	5	---
373.437	0	373438	Trigger	2	Cue onset
378.767	0	378768	STI101	5888	---
378.768	0	378769	STI101	5892	---
378.768	0	378769	STI003	5	---
378.768	0	378769	Trigger	4	Sound1 onset
384.132	0	384133	STI101	6144	---
384.133	0	384134	STI101	6152	---
384.133	0	384134	STI004	5	---
384.133	0	384134	Trigger	8	Sound2 onset
389.248	0	389249	STI101	16	Probe response
389.248	0	389249	STI005	5	---
389.248	0	389249	Trigger	16	Probe response
389.525	0	389526	STI101	6144	---
391.211	0	391212	STI101	2	Cue onset
391.211	0	391212	STI002	5	---
391.211	0	391212	Trigger	2	Cue onset
396.466	0	396467	STI101	5888	---
396.468	0	396469	STI101	5892	---
396.468	0	396469	STI003	5	---
396.468	0	396469	Trigger	4	Sound1 onset
401.908	0	401909	STI101	6144	---
401.91	0	401911	STI101	6152	---
401.91	0	401911	STI004	5	---
401.91	0	401911	Trigger	8	Sound2 onset
407.025	0	407026	STI101	16	Probe response
407.025	0	407026	STI005	5	---
407.025	0	407026	Trigger	16	Probe response
412.4	0	412401	STI101	5888	---
414.147	0	414148	STI101	2	Cue onset
414.147	0	414148	STI002	5	---
414.147	0	414148	Trigger	2	Cue onset
419.451	0	419452	STI101	5888	---
419.453	0	419454	STI101	5892	---
419.453	0	419454	STI003	5	---
419.453	0	419454	Trigger	4	Sound1 onset
424.804	0	424805	STI101	6144	---
424.806	0	424807	STI101	6152	---
424.806	0	424807	STI004	5	---
424.806	0	424807	Trigger	8	Sound2 onset
429.922	0	429923	STI101	16	Probe response
429.922	0	429923	STI005	5	---
429.922	0	429923	Trigger	16	Probe response
430.224	0	430225	STI101	5888	---
431.895	0	431896	STI101	2	Cue onset
431.895	0	431896	STI002	5	---
431.895	0	431896	Trigger	2	Cue onset
437.192	0	437193	STI101	5888	---
437.193	0	437194	STI101	5892	---
437.193	0	437194	STI003	5	---
437.193	0	437194	Trigger	4	Sound1 onset
442.518	0	442519	STI101	6144	---
442.52	0	442521	STI101	6152	---
442.52	0	442521	STI004	5	---
442.52	0	442521	Trigger	8	Sound2 onset
447.635	0	447636	STI101	16	Probe response
447.635	0	447636	STI005	5	---
447.635	0	447636	Trigger	16	Probe response
448.045	0	448046	STI101	6144	---
449.702	0	449703	STI101	2	Cue onset
449.702	0	449703	STI002	5	---
449.702	0	449703	Trigger	2	Cue onset
455.138	0	455139	STI101	5888	---
455.14	0	455141	STI101	5892	---
455.14	0	455141	STI003	5	---
