onset	duration	trial_type	response_time	trust_value	choice	cLow	cHigh
4.014334	1.501101	choice_close_bad	1.501101	16	high	10	16
10.765868	2.000000	outcome_close_bad_defect	1.501101	16	high	10	16
13.576467	1.288905	choice_far_good	1.288905	20	high	0	20
18.829598	2.000000	outcome_far_good_defect	1.288905	20	high	0	20
28.100416	1.533192	choice_close_good	1.533192	20	high	10	20
33.353204	2.000000	outcome_close_good_recip	1.533192	20	high	10	20
39.393796	1.239131	choice_far_bad	1.239131	20	high	4	20
44.646514	2.000000	outcome_far_bad_defect	1.239131	20	high	4	20
47.455066	2.160625	choice_far_bad	2.160625	0	low	0	16
58.632677	1.749975	choice_far_good	1.749975	4	low	4	20
63.884894	2.000000	outcome_far_good_defect	1.749975	4	low	4	20
66.696660	1.319249	choice_close_good	1.319249	0	low	0	4
77.990119	1.458760	choice_close_bad	1.458760	4	high	0	4
86.242818	2.000000	outcome_close_bad_defect	1.458760	4	high	0	4
89.053445	1.346618	choice_close_good	1.346618	16	high	0	16
94.306074	2.000000	outcome_close_good_defect	1.346618	16	high	0	16
97.116665	1.999486	choice_far_bad	1.999486	10	high	4	10
105.368440	2.000000	outcome_far_bad_defect	1.999486	10	high	4	10
116.253008	1.946917	choice_far_bad	1.946917	0	low	0	20
124.315510	1.601040	choice_far_good	1.601040	10	high	0	10
131.068549	2.000000	outcome_far_good_recip	1.601040	10	high	0	10
140.338800	1.360899	choice_close_good	1.360899	10	high	0	10
145.590448	2.000000	outcome_close_good_defect	1.360899	10	high	0	10
148.402270	2.013971	choice_far_good	2.013971	10	low	10	20
153.654935	2.000000	outcome_far_good_defect	2.013971	10	low	10	20
161.308093	1.607879	choice_far_good	1.607879	0	low	0	20
172.369793	1.513013	choice_far_good	1.513013	4	high	0	4
179.121335	2.000000	outcome_far_good_defect	1.513013	4	high	0	4
181.933395	1.701380	choice_close_bad	1.701380	10	high	0	10
188.685324	2.000000	outcome_close_bad_defect	1.701380	10	high	0	10
197.956344	1.610271	choice_close_good	1.610271	4	high	0	4
203.209043	2.000000	outcome_close_good_recip	1.610271	4	high	0	4
207.632915	1.367499	choice_close_good	1.367499	20	high	4	20
212.884871	2.000000	outcome_close_good_recip	1.367499	20	high	4	20
217.310761	1.673931	choice_close_bad	1.673931	10	low	10	20
222.562468	2.000000	outcome_close_bad_defect	1.673931	10	low	10	20
230.218002	1.499225	choice_far_good	1.499225	0	low	0	4
242.896231	1.687982	choice_far_bad	1.687982	10	low	10	20
251.148441	2.000000	outcome_far_bad_defect	1.687982	10	low	10	20
253.957135	1.443630	choice_far_bad	1.443630	0	low	0	4
262.019728	1.831434	choice_close_good	1.831434	16	high	10	16
270.272717	2.000000	outcome_close_good_recip	1.831434	16	high	10	16
273.081927	1.952970	choice_far_good	1.952970	10	low	10	16
279.833618	2.000000	outcome_far_good_defect	1.952970	10	low	10	16
284.259859	1.557591	choice_close_bad	1.557591	4	low	4	20
291.012540	2.000000	outcome_close_bad_defect	1.557591	4	low	4	20
298.667059	1.783631	choice_far_good	1.783631	16	low	16	20
303.919258	2.000000	outcome_far_good_recip	1.783631	16	low	16	20
309.959317	1.807716	choice_close_bad	1.807716	16	low	16	20
316.711853	2.000000	outcome_close_bad_recip	1.807716	16	low	16	20
321.137776	1.697250	choice_far_bad	1.697250	10	low	10	16
327.890099	2.000000	outcome_far_bad_recip	1.697250	10	low	10	16
337.161406	1.540666	choice_far_good	1.540666	16	high	4	16
342.414421	2.000000	outcome_far_good_defect	1.540666	16	high	4	16
345.224321	1.409620	choice_close_good	1.409620	20	high	0	20
353.477402	2.000000	outcome_close_good_defect	1.409620	20	high	0	20
356.288336	1.462573	choice_close_bad	1.462573	10	high	4	10
363.040284	2.000000	outcome_close_bad_defect	1.462573	10	high	4	10
365.852025	2.065881	choice_far_bad	2.065881	16	low	16	20
372.603886	2.000000	outcome_far_bad_defect	2.065881	16	low	16	20
378.646025	1.222679	choice_close_bad	1.222679	0	low	0	20
