onset	duration	trial_type	response_time	trust_value	choice	cLow	cHigh
4.011903	1.561974	choice_close_good	1.561974	16	high	4	16
10.764556	2.000000	outcome_close_good_defect	1.561974	16	high	4	16
13.575040	2.365739	choice_far_good	2.365739	4	low	4	20
18.826716	2.000000	outcome_far_good_recip	2.365739	4	low	4	20
24.868310	1.539206	choice_close_bad	1.539206	20	high	16	20
30.120185	2.000000	outcome_close_bad_defect	1.539206	20	high	16	20
36.161330	1.546720	choice_close_good	1.546720	0	low	0	10
52.069938	1.204372	choice_far_bad	1.204372	20	high	0	20
57.322360	2.000000	outcome_far_bad_defect	1.204372	20	high	0	20
63.363599	1.444641	choice_close_bad	1.444641	16	high	0	16
71.615698	2.000000	outcome_close_bad_defect	1.444641	16	high	0	16
74.424653	1.616929	choice_close_bad	1.616929	0	low	0	10
85.600167	1.641666	choice_close_bad	1.641666	20	high	4	20
90.851859	2.000000	outcome_close_bad_recip	1.641666	20	high	4	20
93.663148	1.511501	choice_far_good	1.511501	16	high	0	16
98.916151	2.000000	outcome_far_good_recip	1.511501	16	high	0	16
101.725102	1.933478	choice_far_bad	1.933478	4	high	0	4
108.477819	2.000000	outcome_far_bad_recip	1.933478	4	high	0	4
119.361910	1.147046	choice_far_bad	1.147046	20	high	0	20
124.613963	2.000000	outcome_far_bad_defect	1.147046	20	high	0	20
127.423807	1.534858	choice_far_bad	1.534858	0	low	0	16
135.486153	1.455861	choice_far_good	1.455861	10	high	4	10
140.738934	2.000000	outcome_far_good_defect	1.455861	10	high	4	10
148.394083	1.331523	choice_far_bad	1.331523	10	low	10	20
155.146461	2.000000	outcome_far_bad_recip	1.331523	10	low	10	20
159.570490	1.788643	choice_far_bad	1.788643	16	high	10	16
167.823449	2.000000	outcome_far_bad_defect	1.788643	16	high	10	16
177.092758	1.416199	choice_close_bad	1.416199	20	high	0	20
182.344799	2.000000	outcome_close_bad_defect	1.416199	20	high	0	20
186.771323	1.404194	choice_far_bad	1.404194	10	high	4	10
193.524396	2.000000	outcome_far_bad_recip	1.404194	10	high	4	10
202.794185	1.181776	choice_close_good	1.181776	20	high	10	20
209.546235	2.000000	outcome_close_good_recip	1.181776	20	high	10	20
212.355113	2.753979	choice_close_good	2.753979	10	low	10	16
217.605925	2.000000	outcome_close_good_recip	2.753979	10	low	10	16
220.418681	1.640700	choice_close_bad	1.640700	16	high	10	16
225.670757	2.000000	outcome_close_bad_defect	1.640700	16	high	10	16
231.712622	1.346864	choice_far_bad	1.346864	20	high	4	20
236.964446	2.000000	outcome_far_bad_recip	1.346864	20	high	4	20
244.620934	1.171952	choice_close_bad	1.171952	20	high	10	20
251.374004	2.000000	outcome_close_bad_defect	1.171952	20	high	10	20
255.797456	1.529728	choice_close_bad	1.529728	10	high	4	10
261.050261	2.000000	outcome_close_bad_recip	1.529728	10	high	4	10
268.706459	1.470293	choice_close_good	1.470293	20	high	16	20
275.458097	2.000000	outcome_close_good_recip	1.470293	20	high	16	20
278.267637	1.642431	choice_close_good	1.642431	0	low	0	16
286.330331	1.512621	choice_far_good	1.512621	16	high	4	16
294.582853	2.000000	outcome_far_good_recip	1.512621	16	high	4	16
302.239426	1.520674	choice_far_bad	1.520674	20	high	16	20
310.490670	2.000000	outcome_far_bad_defect	1.520674	20	high	16	20
314.917526	1.226586	choice_close_bad	1.226586	20	high	0	20
323.169513	2.000000	outcome_close_bad_recip	1.226586	20	high	0	20
325.980909	1.612311	choice_far_bad	1.612311	4	high	0	4
331.233051	2.000000	outcome_far_bad_recip	1.612311	4	high	0	4
335.657451	2.502852	choice_far_bad	2.502852	16	high	4	16
340.909036	2.000000	outcome_far_bad_defect	2.502852	16	high	4	16
343.719907	1.524056	choice_close_bad	1.524056	4	high	0	4
351.972324	2.000000	outcome_close_bad_defect	1.524056	4	high	0	4
361.243287	1.533451	choice_close_good	1.533451	20	high	4	20
369.494549	2.000000	outcome_close_good_defect	1.533451	20	high	4	20
373.920361	2.456973	choice_close_bad	2.456973	0	low	0	4
385.097585	2.212505	choice_far_good	2.212505	10	high	0	10
391.851643	2.000000	outcome_far_good_recip	2.212505	10	high	0	10
394.658660	1.602749	choice_far_good	1.602749	20	high	10	20
399.911303	2.000000	outcome_far_good_defect	1.602749	20	high	10	20
402.719787	1.457823	choice_far_good	1.457823	20	high	0	20
407.972886	2.000000	outcome_far_good_recip	1.457823	20	high	0	20
414.013624	1.780671	choice_close_good	1.780671	10	high	4	10
419.266107	2.000000	outcome_close_good_recip	1.780671	10	high	4	10
423.691172	1.953156	choice_far_bad	1.953156	10	high	0	10
431.943492	2.000000	outcome_far_bad_defect	1.953156	10	high	0	10
434.753352	1.492269	choice_far_good	1.492269	4	high	0	4
441.505912	2.000000	outcome_far_good_defect	1.492269	4	high	0	4
444.314047	2.030733	choice_far_good	2.030733	10	low	10	16
449.566244	2.000000	outcome_far_good_recip	2.030733	10	low	10	16
453.989868	2.071399	choice_far_good	2.071399	0	low	0	4
463.553456	1.224932	choice_close_good	1.224932	20	high	0	20
468.805989	2.000000	outcome_close_good_defect	1.224932	20	high	0	20
471.616372	1.545368	choice_far_good	1.545368	20	high	0	20
476.868577	2.000000	outcome_far_good_recip	1.545368	20	high	0	20
479.679151	1.764814	choice_close_good	1.764814	0	low	0	4
487.739883	1.471966	choice_close_good	1.471966	4	high	0	4
495.992598	2.000000	outcome_close_good_defect	1.471966	4	high	0	4
505.263004	1.465256	choice_close_bad	1.465256	16	high	4	16
