onset	duration	weight	memtype	resolution	memcond	phase	trial	run	eye
63.1493163999966	0.504	1	2	1	1	2	2	16	1
63.6773163999966	0.07	1	2	1	1	2	2	16	1
63.7653163999966	0.058	1	2	1	1	2	2	16	1
63.8353163999966	0.198	1	2	1	1	2	2	16	1
64.1033163999966	0.218	1	2	1	1	2	2	16	1
64.3393163999966	0.208	1	2	1	1	2	2	16	1
64.5773163999966	0.476	1	2	1	1	2	2	16	1
66.9969760999957	3	1	2	1	1	3	2	16	0
74.496607100009	0.318	1	3	2	3	1	3	16	1
74.496607100009	5	1	3	2	3	1	3	16	0
74.864607100009	0.122	1	3	2	3	1	3	16	1
75.008607100009	0.178	1	3	2	3	1	3	16	1
75.370607100009	0.058	1	3	2	3	1	3	16	1
75.456607100009	0.172	1	3	2	3	1	3	16	1
75.644607100009	0.046	1	3	2	3	1	3	16	1
75.708607100009	0.05	1	3	2	3	1	3	16	1
75.816607100009	0.126	1	3	2	3	1	3	16	1
75.960607100009	0.556	1	3	2	3	1	3	16	1
76.616607100009	0.124	1	3	2	3	1	3	16	1
76.770607100009	0.152	1	3	2	3	1	3	16	1
76.936607100009	0.026	1	3	2	3	1	3	16	1
77.020607100009	0.05	1	3	2	3	1	3	16	1
77.094607100009	0.164	1	3	2	3	1	3	16	1
77.306607100009	0.098	1	3	2	3	1	3	16	1
77.422607100009	0.378	1	3	2	3	1	3	16	1
78.202607100009	0.524	1	3	2	3	1	3	16	1
78.736607100009	0.052	1	3	2	3	1	3	16	1
78.808607100009	0.04	1	3	2	3	1	3	16	1
78.860607100009	0.06	1	3	2	3	1	3	16	1
78.936607100009	0.066	1	3	2	3	1	3	16	1
79.118607100009	0.034	1	3	2	3	1	3	16	1
79.196607100009	0.066	1	3	2	3	1	3	16	1
79.284607100009	0.216	1	3	2	3	1	3	16	1
88.495916600019	0.016	1	3	2	3	2	3	16	1
88.495916600019	5	1	3	2	3	2	3	16	0
88.545916600019	0.168	1	3	2	3	2	3	16	1
88.809916600019	0.146	1	3	2	3	2	3	16	1
89.005916600019	0.404	1	3	2	3	2	3	16	1
89.443916600019	0.224	1	3	2	3	2	3	16	1
89.695916600019	0.178	1	3	2	3	2	3	16	1
89.883916600019	0.238	1	3	2	3	2	3	16	1
90.161916600019	0.538	1	3	2	3	2	3	16	1
90.719916600019	0.376	1	3	2	3	2	3	16	1
91.141916600019	0.12	1	3	2	3	2	3	16	1
91.275916600019	0.126	1	3	2	3	2	3	16	1
91.427916600019	0.084	1	3	2	3	2	3	16	1
91.527916600019	0.124	1	3	2	3	2	3	16	1
