onset	duration	trial_type	accuracy	response_time
8.851	2	remov	0	0
13.467	2	rest	n/a	n/a
23.568	2	encod	1	1.009
27.534	2	rest	n/a	n/a
37.601	2	maint	1	0.891
41.168	2	rest	n/a	n/a
52.618	2	maint	1	0.644
56.502	2	rest	n/a	n/a
67.635	2	remov	1	1.782
72.169	2	rest	n/a	n/a
82.969	2	encod	1	0.994
87.269	2	rest	n/a	n/a
97.42	2	remov	0	0
102.286	2	rest	n/a	n/a
112.82	2	maint	1	0.943
116.47	2	rest	n/a	n/a
126.57	2	maint	1	0.821
129.987	2	rest	n/a	n/a
140.837	2	encod	0	0
146.087	2	rest	n/a	n/a
155.971	2	remov	1	0.984
160.271	2	rest	n/a	n/a
171.071	2	encod	1	1.02
174.988	2	rest	n/a	n/a
185.788	2	remov	1	1.282
190.289	2	rest	n/a	n/a
201.255	2	maint	1	0.691
205.072	2	rest	n/a	n/a
215.839	2	encod	1	1.292
219.823	2	rest	n/a	n/a
230.573	2	encod	1	0.62
234.156	2	rest	n/a	n/a
245.006	2	maint	1	0.93
249.307	2	rest	n/a	n/a
260.374	2	maint	1	1.302
264.757	2	rest	n/a	n/a
275.307	2	encod	1	0.842
279.391	2	rest	n/a	n/a
290.324	2	maint	1	0.906
294.241	2	rest	n/a	n/a
304.408	2	encod	1	0.976
308.158	2	rest	n/a	n/a
318.875	2	encod	1	1.092
322.775	2	rest	n/a	n/a
332.959	2	remov	0	0.943
337.142	2	rest	n/a	n/a
347.609	2	remov	1	1.684
351.959	2	rest	n/a	n/a
362.476	2	maint	1	0.681
366.426	2	rest	n/a	n/a
376.576	2	encod	1	0.884
380.727	2	rest	n/a	n/a
391.21	2	maint	1	0.842
395.31	2	rest	n/a	n/a
405.994	2	maint	1	0.905
409.994	2	rest	n/a	n/a
419.994	2	encod	1	1.064
424.378	2	rest	n/a	n/a
435.578	2	maint	1	0.974
439.128	2	rest	n/a	n/a
