onset	duration	cueid	targetid
8	4	82	173053
20	4	85	367743
28	4	91	36953
36	4	86	367835
44	4	99	159446
52	4	90	36382
64	4	98	158757
72	4	89	576695
80	4	88	467461
88	4	96	72740
96	4	92	37210
104	4	87	367959
116	4	81	11519
124	4	83	349512
136	4	84	359947
144	4	94	58690
156	4	97	81556
164	4	93	54869
172	4	95	69983
180	4	100	347926
188	4	87	367959
196	4	90	36382
204	4	96	72740
212	4	100	347926
220	4	89	576695
228	4	93	54869
240	4	94	58690
248	4	81	11519
256	4	88	467461
264	4	84	359947
272	4	97	81556
280	4	99	159446
292	4	82	173053
304	4	95	69983
316	4	92	37210
324	4	83	349512
332	4	85	367743
340	4	91	36953
348	4	86	367835
356	4	98	158757
