onset	duration	imageid
8	4	479941
12	4	143151
16	4	523831
20	4	581906
24	4	132991
28	4	526861
36	4	460342
40	4	87144
44	4	500525
48	4	491823
52	4	239464
56	4	131190
60	4	59997
68	4	178460
72	4	298290
80	4	203102
84	4	200305
88	4	246616
92	4	295412
96	4	162952
100	4	393228
104	4	28285
112	4	308119
116	4	303370
120	4	414982
124	4	33727
128	4	339916
132	4	314357
136	4	291506
140	4	366025
144	4	343215
148	4	549535
152	4	330311
156	4	358291
160	4	211918
164	4	452058
168	4	185108
172	4	175038
176	4	358252
180	4	495199
184	4	526105
188	4	367087
192	4	189645
196	4	318598
200	4	243792
204	4	456478
208	4	370999
212	4	363806
216	4	140640
220	4	309721
224	4	495580
228	4	219855
232	4	279708
240	4	311056
244	4	492540
248	4	237919
252	4	371255
256	4	65455
264	4	177937
268	4	563559
272	4	416095
276	4	554699
280	4	358874
284	4	245683
288	4	325220
292	4	521236
296	4	471816
300	4	543371
304	4	28555
308	4	386179
312	4	442774
316	4	246248
320	4	531322
324	4	174711
328	4	340876
332	4	550113
336	4	469364
340	4	445395
344	4	363061
348	4	225053
352	4	351875
356	4	358868
360	4	254585
364	4	418313
368	4	294403
