onset	duration	imageid
8	4	418394
12	4	509350
16	4	391422
20	4	342367
24	4	224878
28	4	558910
32	4	378700
36	4	9479
40	4	511537
44	4	292330
48	4	140286
52	4	432016
56	4	212514
60	4	408815
64	4	439465
68	4	139109
72	4	167755
76	4	457976
80	4	255016
84	4	184889
88	4	493286
92	4	292146
96	4	551794
100	4	361246
104	4	230321
108	4	509691
112	4	451698
116	4	61410
120	4	312024
124	4	3804
128	4	361120
132	4	328301
136	4	384563
140	4	349582
144	4	261118
148	4	567438
152	4	494852
156	4	166356
160	4	470704
164	4	556369
168	4	140736
172	4	343857
176	4	11260
180	4	347405
184	4	22623
188	4	73174
192	4	270333
196	4	21879
200	4	254997
204	4	276720
208	4	206613
212	4	301602
216	4	178742
220	4	205238
224	4	196510
228	4	313454
232	4	9462
236	4	293252
240	4	358646
244	4	372855
248	4	289693
252	4	314292
256	4	482810
260	4	443363
264	4	309695
268	4	300388
276	4	175994
284	4	511848
288	4	282143
292	4	234757
296	4	505104
300	4	281127
304	4	504709
308	4	181149
312	4	424940
316	4	333749
324	4	420396
332	4	459668
336	4	282032
340	4	175998
344	4	577657
352	4	34687
356	4	194161
364	4	179940
368	4	299270
