onset	duration	cueid	targetid
8	4	91	36953
16	4	81	11519
28	4	97	81556
36	4	92	37210
48	4	82	173053
56	4	88	467461
64	4	98	158757
72	4	89	576695
80	4	87	367959
88	4	93	54869
96	4	95	69983
104	4	90	36382
112	4	84	359947
120	4	85	367743
128	4	96	72740
136	4	100	347926
144	4	94	58690
152	4	99	159446
164	4	86	367835
176	4	83	349512
192	4	87	367959
200	4	100	347926
212	4	91	36953
220	4	97	81556
228	4	94	58690
240	4	86	367835
248	4	95	69983
256	4	81	11519
264	4	85	367743
272	4	89	576695
280	4	99	159446
288	4	96	72740
296	4	83	349512
304	4	98	158757
316	4	84	359947
324	4	82	173053
332	4	88	467461
340	4	90	36382
348	4	92	37210
360	4	93	54869
