onset	duration	imageid
8	4	468379
12	4	417987
16	4	507575
20	4	193879
24	4	416387
32	4	337269
36	4	489983
40	4	223095
44	4	246161
48	4	544556
52	4	287289
56	4	515390
60	4	80339
64	4	144224
68	4	334883
72	4	313116
76	4	325523
80	4	223719
84	4	546877
88	4	310419
96	4	331588
100	4	348314
104	4	521048
108	4	183829
112	4	575008
116	4	420823
120	4	51326
124	4	321500
128	4	329276
136	4	386154
140	4	329127
144	4	339295
148	4	207749
152	4	519768
156	4	510594
160	4	288751
164	4	44825
168	4	143192
172	4	294020
180	4	207803
184	4	183151
188	4	327529
192	4	301885
196	4	386164
200	4	284127
208	4	408528
212	4	307511
216	4	47928
220	4	339491
224	4	205272
228	4	302432
232	4	417299
236	4	429361
240	4	252188
244	4	488201
248	4	428460
252	4	454271
256	4	521739
260	4	36728
264	4	300644
268	4	11667
272	4	232762
280	4	456343
284	4	521231
288	4	127406
292	4	281634
296	4	279661
300	4	269932
304	4	504657
308	4	239158
312	4	215221
316	4	433103
320	4	288453
324	4	353999
328	4	493300
332	4	480057
336	4	487144
340	4	422310
344	4	196
348	4	560629
352	4	307136
356	4	291504
360	4	240288
364	4	327813
368	4	391531
