onset	duration	trial	value	instruction
5015	6	1	1	rest
10985	1	1	2	ready
11988	6	1	3	task
17921	8	1	4	interval
25995	6	2	1	rest
31957	1	2	2	ready
32966	6	2	3	task
38918	8	2	4	interval
46999	6	3	1	rest
52971	1	3	2	ready
53986	6	3	3	task
59916	8	3	4	interval
68000	6	4	1	rest
73961	1	4	2	ready
74966	6	4	3	task
80921	8	4	4	interval
88997	6	5	1	rest
94966	1	5	2	ready
95984	6	5	3	task
101922	8	5	4	interval
110001	6	6	1	rest
115994	1	6	2	ready
116976	6	6	3	task
122928	8	6	4	interval
131007	6	7	1	rest
136973	1	7	2	ready
137981	6	7	3	task
143944	8	7	4	interval
152017	6	8	1	rest
157988	1	8	2	ready
158999	6	8	3	task
164935	8	8	4	interval
173017	6	9	1	rest
178981	1	9	2	ready
179981	6	9	3	task
185936	8	9	4	interval
194016	6	10	1	rest
199986	1	10	2	ready
201007	6	10	3	task
206940	8	10	4	interval
215026	6	11	1	rest
221016	1	11	2	ready
222007	6	11	3	task
227943	8	11	4	interval
236027	6	12	1	rest
241992	1	12	2	ready
243007	6	12	3	task
248951	8	12	4	interval
257033	6	13	1	rest
263013	1	13	2	ready
264005	6	13	3	task
269963	8	13	4	interval
278032	6	14	1	rest
283999	1	14	2	ready
285010	6	14	3	task
290955	8	14	4	interval
299034	6	15	1	rest
305006	1	15	2	ready
306022	6	15	3	task
311957	8	15	4	interval
320036	6	16	1	rest
326012	1	16	2	ready
327016	6	16	3	task
332963	8	16	4	interval
341038	6	17	1	rest
347001	1	17	2	ready
348026	6	17	3	task
353963	8	17	4	interval
362040	6	18	1	rest
368030	1	18	2	ready
369015	6	18	3	task
374964	8	18	4	interval
383041	6	19	1	rest
389036	1	19	2	ready
390030	6	19	3	task
395963	8	19	4	interval
404046	6	20	1	rest
410006	1	20	2	ready
411032	6	20	3	task
416968	8	20	4	interval
