onset	duration	trial_type	item	key	RT
0.0023249920000125712	14	OtherHarmOther	17	1	1.439
18.3788606549997	14	SelfHarmOther	21	3	0.615
34.58618989899969	14	SelfNeutOther	26	3	1.691
48.769974160999936	14	CompHarmOther	8	3	1.361
62.98912246200007	14	CompHarmSelf	17	3	0.662
81.19402014599973	14	OtherHarmOther	31	3	0.967
95.40742659599982	14	OtherHarmOther	20	1	2.667
109.61483479799972	14	OtherHarmOther	15	3	0.883
127.80046685299976	14	OtherHarmOther	19	3	2.123
144.0018474909998	14	OtherHarmOther	16	1	1.21
160.18982956799982	14	OtherHarmOther	4	1	0.912
178.37519306700005	14	OtherHarmOther	10	1	0.709
196.56289414599996	14	OtherHarmOther	25	1	1.589
212.7650537239997	14	OtherNeutOther	29	1	1.538
226.9498708369997	14	OtherNeutOther	27	1	1.371
243.13555179800005	14	OtherHarmOther	14	1	2.001
261.3393296049999	14	OtherNeutOther	21	1	2.288
277.52485735699975	14	OtherHarmOther	29	3	1.157
293.71158308099984	14	OtherNeutOther	15	1	1.602
307.89717789199995	14	OtherHarmOther	27	3	2.46
326.081056299	14	OtherNeutOther	18	1	1.066
340.28433820600003	14	OtherNeutOther	2	1	2.17
356.4386640919997	14	OtherNeutOther	24	1	1.044
374.65732614299986	14	OtherHarmOther	5	3	2.247
