onset	duration	trial_type	item	key	RT
7	7	belief	[6]	0	0
20	7	belief	[6]	0	0
33	7	photo	[7]	0	0
46	7	belief	[7]	0	0
59	7	belief	[8]	0	0
72	7	photo	[8]	0	0
85	7	photo	[9]	0	0
98	7	belief	[9]	0	0
111	7	photo	[10]	0	0
124	7	belief	[10]	0	0
