onset	duration	trial_type	item	key	RT
0.0028648950001297635	14	SelfHarmOther	7	0	0.0
15.290217082000026	14	SelfHarmOther	32	3	1.346
29.44989928400014	14	SelfHarmOther	11	3	1.332
45.670409141000164	14	SelfHarmOther	16	1	1.806
59.837956392000024	14	SelfNeutOther	17	3	1.357
76.00666196700013	14	SelfNeutOther	24	1	0.999
90.20969463300003	14	SelfNeutOther	4	1	1.027
104.3952957890001	14	SelfNeutOther	2	1	1.051
120.59919616100001	14	SelfHarmOther	22	3	1.67
136.7847880710001	14	SelfHarmOther	3	3	1.214
154.9881624080001	14	SelfNeutOther	18	1	1.663
173.17306897799995	14	SelfNeutOther	20	1	1.664
189.36077607700008	14	SelfNeutOther	29	1	0.761
205.54613628200013	14	SelfHarmOther	34	3	1.04
223.749545722	14	SelfHarmOther	28	3	1.463
241.91996812699995	14	SelfHarmOther	16	1	1.326
260.13781667800004	14	SelfHarmOther	33	3	1.911
274.32304066999995	14	SelfHarmOther	30	3	0.803
288.50824776900004	14	SelfNeutOther	10	1	1.079
306.67899543800013	14	SelfHarmOther	35	3	1.679
322.88170375699997	14	SelfNeutOther	15	0	0.0
341.051136476	14	SelfHarmOther	6	3	1.15
357.25463470800014	14	SelfNeutOther	21	1	1.701
375.4392914	14	SelfNeutOther	27	1	1.115
