onset	duration	trial_type	item	key	RT
0.002834958999983428	14	SelfHarmOther	9	1	1.503
18.411669459999985	14	SelfNeutOther	22	1	0.885
36.635191461999966	14	SelfNeutOther	19	1	1.087
52.800835323	14	SelfHarmOther	36	3	2.11
67.02374029499993	14	SelfHarmOther	12	3	1.43
85.22588078800004	14	SelfNeutOther	28	1	1.917
103.412829224	14	SelfNeutOther	31	1	1.78
117.58187333599994	14	SelfNeutOther	13	1	1.975
133.78597321999996	14	SelfNeutOther	30	1	1.42
147.98552620700002	14	SelfHarmOther	9	3	1.323
166.1732041790001	14	SelfHarmOther	2	3	1.323
182.37603819200012	14	SelfNeutOther	32	1	2.546
200.55622507199996	14	SelfHarmOther	24	3	0.689
216.76589231499997	14	SelfHarmOther	4	3	0.945
232.95092893200012	14	SelfHarmOther	13	3	1.247
247.15324190900014	14	SelfNeutOther	35	1	1.819
261.3385359709998	14	SelfHarmOther	23	3	0.898
277.5425673420002	14	SelfHarmOther	1	3	0.79
291.7095329010001	14	SelfHarmOther	18	3	1.378
309.94687953300013	14	SelfNeutOther	33	1	2.156
324.1316918949999	14	SelfNeutOther	34	1	1.393
340.3528445499999	14	SelfNeutOther	36	1	1.278
358.52098121799986	14	SelfHarmOther	20	2	1.947
374.74089004400025	14	SelfHarmOther	10	3	0.697
