onset	duration	trial_type	item	key	RT
7	7	belief	[1]	0	0
20	7	belief	[1]	0	0
33	7	photo	[2]	0	0
46	7	belief	[2]	0	0
59	7	photo	[3]	0	0
72	7	belief	[3]	0	0
85	7	photo	[4]	0	0
98	7	belief	[4]	0	0
111	7	belief	[5]	0	0
124	7	photo	[5]	0	0
